角色代号,中文角色名,语音文件名/句ID,台词文本
len,蕾娜,len415_026,あはは、お恥ずかしいであります
len,蕾娜,len415_027,でも、皆さんにはもう話したのですが――
len,蕾娜,len415_028,はい、でもわたしがお姉ちゃんじゃないとわかって、急に怒り始めたのですよ
len,蕾娜,len415_029,そしたら誰かに肩へ担がれる感覚がして……これはマサオミだったんですよね？
len,蕾娜,len415_030,それから、急にご馳走が出てくる夢に変わったのです
len,蕾娜,len415_031,うーん、わたしにも犬の弟はいないはずですよ？それとも、わたしも犬だったんでしょうか？
len,蕾娜,len415_032,あの、夢の中ではですが
len,蕾娜,len415_033,マサオミ？心配しても、わからないものはわからないですよ
len,蕾娜,len415_034,ん？なんですか、マサオミ？
len,蕾娜,len415_035,ご、ごめんなさい！もちろん、聞いてなかったわけではないですよ？
len,蕾娜,len415_036,なんだか勝手に頬が緩んでしまいまして……マサオミが真剣だとわかってるから余計に、と言いますか
len,蕾娜,len415_037,そ、そうそう！それに欠片もまだ、全部集まったわけではないですよね？
len,蕾娜,len415_038,マサオミもですか！？
len,蕾娜,len415_039,はい、なんですか？
len,蕾娜,len415_040,もちろんいいですよ！
len,蕾娜,len415_041,えへへ、そうですか？ムラサメちゃんこそ、小さくて温かい手ですねー
len,蕾娜,len415_042,ああ、そうでした！ムラサメちゃんには触れられないはずでしたね
len,蕾娜,len415_043,そう言えば前に、小さい頃、川で溺れたことがあると聞いた気がしますよ？
len,蕾娜,len415_044,なら、せめてマサオミの欠片だけでも、取り出してあげられないですか？
len,蕾娜,len415_045,お、おー、確かにそうでしたね
len,蕾娜,len415_046,いえ、わたしはむしろ、皆さんに迷惑をおかけしたと思ってますから
len,蕾娜,len415_047,それにいろいろわかってくれば、取り出せるんですよね？
len,蕾娜,len415_048,わたしはビザが切れる頃には、一度帰国しないといけませんが
len,蕾娜,len415_049,わかりました……おっと！
len,蕾娜,len415_050,そろそろわたしは、お仕事へ戻らないといけませんね
len,蕾娜,len415_051,それくらい、当然のことでありますよ！
len,蕾娜,len415_052,いいですいいです！お見送りなんてしないで、マサオミは寝ていてください
len,蕾娜,len415_053,うう、面目ありませぬ……ダイエットしまする
len,蕾娜,len415_054,ヨシノも、昨日から同じこと何度も言ってますよ？あんまり気にしないでください
len,蕾娜,len415_056,むしろわたしも、なにかお役に立ちたいと思っていたくらいですよ
len,蕾娜,len415_057,まあ、かえってご迷惑をおかけしてる気もしますが
len,蕾娜,len415_058,…………は、はい
len,蕾娜,len415_059,ちょ、ちょっとだけマサオミを借りてもいいでしょうか？
len,蕾娜,len415_060,え、えーっと、マサオミ？わたし夢の中でご飯を食べちゃいけないってこと、後で教えてもらったんですよ
len,蕾娜,len415_061,実は、けっこう危ないところだったのですが
len,蕾娜,len415_062,はい……マサオミが、夢だって気付かせてくれたんですよ
len,蕾娜,len415_063,どうして気付いたかは……ちょっと言いづらいのですが、とにかくマサオミのおかげであります
len,蕾娜,len415_064,祟り神から守ってくれただけではなくて、そのこともお礼を言っておきたかったです
len,蕾娜,len415_065,ありがとうございました、マサオミ
len,蕾娜,len415_066,…………。っ
len,蕾娜,len415_067,マサオミは…………
len,蕾娜,len415_068,わたしじゃなくても、頑張って助けようとしてくれたのでしょうか？それとも……
len,蕾娜,len415_069,……そうですか、うーーん……そうですね！
len,蕾娜,len415_070,誰にでも優しい方が本当に優しいってことでしょうから、そのほうがいいかもしれないですね！
len,蕾娜,len415_071,ん？んー、えへへ……内緒です
len,蕾娜,len415_072,それじゃあ、マサオミ！また明日、会いましょうね
len,蕾娜,len416_002,はい！　おはようございますっ
len,蕾娜,len416_003,マサオミ、やっぱりまだどこか痛むんですか！
len,蕾娜,len416_004,はい！女将にも許可をいただいておりますゆえ
len,蕾娜,len416_005,そのために、急いで朝のお仕事を終わらせてきたのですよっ
len,蕾娜,len416_006,どうしても、今日はマサオミのマネージャーさんをしたかったですから
len,蕾娜,len416_007,トレーニングの間は、なんでもわたしに言い付けて欲しいですね！
len,蕾娜,len416_008,スポーツドリンクも凍らせて持って来てるのです
len,蕾娜,len416_009,マサオミもやりますか？昨夜、思いついて用意しました
len,蕾娜,len416_011,マサオミは、わたしを守ってくれましたからね
len,蕾娜,len416_012,だから、わたしもマサオミをいっぱい応援したくなったのでありますよ！
len,蕾娜,len416_013,お、おう、朝からけっこうハードなトレーニングですね
len,蕾娜,len416_014,そうなのですか！？
len,蕾娜,len416_015,はい！お任せあれですよっ
len,蕾娜,len416_016,ではマサオミ、準備はいいですか？よーい……スタートですっ
len,蕾娜,len416_017,わざわざ送ってくれて、ありがとうですね！この後、学院もありますのに
len,蕾娜,len416_018,そんなことないですよ！マサオミを応援するのは、とっても楽しかったですので
len,蕾娜,len416_019,それに、走ってる背中も……じっくり見れましたからね
len,蕾娜,len416_020,ん？……おー、そうでしたね
len,蕾娜,len416_021,確かに、今日のはあんまりサムライっぽくはありませんでしたが
len,蕾娜,len416_022,けどマサオミが頑張ってるところは、見てても飽きたりしませんよっ
len,蕾娜,len416_024,えへへ、マサオミが喜んでくれたなら、わたしもすっごく嬉しいですよ！
len,蕾娜,len416_025,ですが、放課後は……さすがに、お仕事を抜けられそうにないですね
len,蕾娜,len416_026,むむむ、マサオミが剣道するところも見てみたかったですが、残念です……
len,蕾娜,len416_027,おー、大旦那さんは、そんなに強いのですか？
len,蕾娜,len416_028,負けてるなら、わたしは余計に応援したくなりますけどねぇ
len,蕾娜,len416_029,それにマサオミは、弱くないと思うのですよ！あんなに頑張ってるんですから
len,蕾娜,len416_030,女将！お掃除、手伝いますよ
len,蕾娜,len416_031,かしこまりましてござります！
len,蕾娜,len416_032,お、おー、日本の敬語は難しいですね……
len,蕾娜,len416_034,おー、お供えあれば、幽霊なしですね！
len,蕾娜,len416_035,あ！きっと、それですね！備えあれば憂い無しですねっ
len,蕾娜,len416_036,おー、マサオミは女将にも頼りにされてるですね！
len,蕾娜,len416_037,わたしのことですか？
len,蕾娜,len416_038,ホアッ！？お……女将、わたし、な、なにかまたソソウをしましたか？
len,蕾娜,len416_039,そ、そうですか？少し照れてしまいますね……ありがとうございます、女将！
len,蕾娜,len416_040,お、おー、申し訳ごじゃりませぬ
len,蕾娜,len416_041,ど、どうでしょう？たまたまのような……たまたまではないような……
len,蕾娜,len416_042,いえ！きっとたまたまではないですねっ
len,蕾娜,len416_043,はいっ、きっとマサオミだから……覚えやすかったと、私も思いますね！
len,蕾娜,len416_044,えへへ、ではマサオミ？学院でも、よろしくですね
len,蕾娜,len416_045,いただけましたですね！
len,蕾娜,len416_046,もちろんですよ！できるだけ参加してもらえたほうが、わたしは助かりますねっ
len,蕾娜,len416_047,はい、よろしくお願いしますね！
len,蕾娜,len416_048,はい、私も皆さんに協力してもらえると助かります！どうでありましょうか？
len,蕾娜,len416_049,ん？……はいっ、頑張りましょうね、ヨシノ！
len,蕾娜,len416_050,おー！おすもう、わたしも大好きです！
len,蕾娜,len416_051,はい！ウチは一族郎党、みんなお相撲が大好きですねっ
len,蕾娜,len416_053,おー、シンジというと……お相撲には宗教的な意味があったんですか！？　勉強になりました
len,蕾娜,len416_054,あははは、ひょっとしてマサオミ？日本の人なのに、知らないですか？
len,蕾娜,len416_055,お相撲取る前、日本の人、必ずクレイジーと言うでありますよ
len,蕾娜,len416_056,ん？お相撲って、こういうのではなかったですか？
len,蕾娜,len416_057,審判の人が、こんな感じで……
len,蕾娜,len416_059,オーコッター、オーコッター……！
len,蕾娜,len416_061,ハッケヨイですか？　おー、知らない言葉でしたね、なにか意味があるのですか、マサオミ？
len,蕾娜,len416_062,あはは、わたしだけではなくて、ほっとしました
len,蕾娜,len416_063,お相撲はＴＶで何度も観ましたけど、どうして発狂する必要があるのか、ずっと疑問だったですよ
len,蕾娜,len416_065,はい！　わたしも前よりお相撲のこと詳しくなれて嬉しいですねっ
len,蕾娜,len416_066,ありがとうございます、マサオミ！今日は勉強になりました
len,蕾娜,len416_067,わたしは平気ですね、そういう変化は起きないのかもしれないですよ
len,蕾娜,len416_068,はい、なにかあったらすぐに知らせますね！マサオミこそ、大丈夫なのですか？
len,蕾娜,len416_069,もちろんそれも心配ですが、マサオミの中にも欠片が吸収されているのですよね？
len,蕾娜,len416_070,量は少なくても、わたしよりずっと長く身体の中に入っていたんですよね？
len,蕾娜,len416_071,でしたら、マサオミの方が強い影響を受けていることも考えられませんか
len,蕾娜,len416_072,わたしも似たようなものですね……けど
len,蕾娜,len416_073,マサオミは……万一のことがあるかもしれないと、心配してくれているんですよね？
len,蕾娜,len416_074,えへへ……ありがとうございます、マサオミ
len,蕾娜,len416_075,ですが、わたしのことは本当に心配ないですよ！むしろ……ちょっと、嬉しいところもありますから
len,蕾娜,len416_076,それもあるかもしれないですが……マサオミが、たくさん心配してくれますし
len,蕾娜,len416_077,マサオミの中にも欠片があるなら、わたし達……一緒ですよね？
len,蕾娜,len416_078,……はい、少し変かもですが……マサオミと一緒なのは、嬉しいですよ？
len,蕾娜,len416_079,マサオミこそ、ちゃんと注意して欲しいですね。マサオミに万一のことがあったら……困りますから
len,蕾娜,len416_080,むー、なんだか信用できないですね
len,蕾娜,len416_081,いいえ、マサオミの自分のことを後回しにしようとするところが、信用できません
len,蕾娜,len416_082,ですから……
len,蕾娜,len416_083,こ……こうしておけば、安心ですね？
len,蕾娜,len416_084,もし……急に体調が悪くなったとしても、すぐ気づけるはずですから
len,蕾娜,len416_085,……。。。。。っ
len,蕾娜,len416_086,えへへ、い……行きましょう、マサオミ？
len,蕾娜,len416_087,も……もう、ついてしまいましたか
len,蕾娜,len416_088,あ……あの、マサオミ？わたしは、お仕事がありますから
len,蕾娜,len416_089,では、マサオミ……
len,蕾娜,len416_090,お……おう？……そうでした、日本では挨拶のハグをしてはいけないのでしたね
len,蕾娜,len416_091,はい、わたしの国では親しい人同士ではハグをします
len,蕾娜,len416_092,つい忘れて、癖が出てしまうところでしたよ、驚かせて申し訳ないです
len,蕾娜,len416_093,で……では、マサオミは……わたしと、ハグしてくれますか？
len,蕾娜,len416_094,それとも……やっぱりわたしとハグするのは、嫌でしたか？
len,蕾娜,len416_095,お、女将！ただいま、戻りましてございます
len,蕾娜,len416_096,はい！お相撲はクレイジーではなく、発揮揚揚だと伝えていくつもりですっ
len,蕾娜,len416_097,マサオミ！ひょっとしたらですけど、ケンドウの練習終わった頃なら、少し顔出せるかもしれません
len,蕾娜,len416_098,それまでには、一段落するはずです
len,蕾娜,len416_099,大丈夫です、マサオミこそ無理しないでくださいね
len,蕾娜,len416_100,マサオミ？ひょっとして目が覚めたですか、マサオミ！？
len,蕾娜,len416_102,ひゃん！？
len,蕾娜,len416_103,いいですから、マサオミ？ちゃんと大人しくしててください
len,蕾娜,len416_104,頭を打って、ここへ運び込まれたんですよ？
len,蕾娜,len416_105,駒川先生は往診へ出てたみたいです、大旦那さんが捜しに行ってくれましたので
len,蕾娜,len416_106,その間、マサオミを見てるよう頼まれたですね
len,蕾娜,len416_107,動いちゃダメですよ、マサオミっ
len,蕾娜,len416_108,……心配、したんですからね？
len,蕾娜,len416_109,わたし、無理はしないで欲しいとお願いしましたよ？
len,蕾娜,len416_110,マサオミ？ちゃんと聞いてるでありますか！
len,蕾娜,len416_111,マサオミ、顔が真っ赤になってますよ？さては……
len,蕾娜,len416_112,膝枕されるのが、恥ずかしいんですね！
len,蕾娜,len416_113,んー、ダメですね
len,蕾娜,len416_114,むむむ、しょれは……そうですが、やっぱりダメですねっ
len,蕾娜,len416_115,マサオミがちゃんと約束してくれるまで、離してあげません！
len,蕾娜,len416_116,今度こそ、もう無理しないって約束して欲しいです
len,蕾娜,len416_117,大旦那さん言ってました、今日はときどき動きがおかしいのに気付いていたそうです
len,蕾娜,len416_118,マサオミはたぶん、後から出てきた痛みを甘く見たのではないかと
len,蕾娜,len416_119,だとしたら、わたしのせいですから……
len,蕾娜,len416_120,祟り神と戦ったときの怪我のせいですよね？
len,蕾娜,len416_121,なのに、応援なんかしたから……かえって無理をさせたのではありませんか？
len,蕾娜,len416_122,わたしが、マサオミよりですか？
len,蕾娜,len416_124,マサオミはなにか勘違いしてますね？　わたしは、そんなに頑張ってないですよ
len,蕾娜,len416_125,女将には叱られてばかりですし、しょっちゅう失敗ばかりしてますね
len,蕾娜,len416_126,旅館のお仕事は大変ですが、だからこそみんな、隙を見つけてはこっそり休んでたりするのですよ
len,蕾娜,len416_127,自慢ではありませんがここだけの話、わたしはこっそり力を抜くのが上手いんです
len,蕾娜,len416_128,だいたい、わたしがそんなにしっかりしてたらですね
len,蕾娜,len416_129,マサオミも常識を教えて欲しいなどと頼まれないですよ
len,蕾娜,len416_130,とにかくわたしのほうが全然ダメダメなのに、マサオミばっかり頑張ってはダメですよ？
len,蕾娜,len416_131,うーん……それは別にいいですけどね、ちょっぴり……役得でありますから
len,蕾娜,len416_132,マサオミの寝顔を、じっくり見れますからね
len,蕾娜,len416_133,とにかくもう、無理はしないで欲しいです
len,蕾娜,len416_134,きゃん！？
len,蕾娜,len416_135,も、もうなにしてるですか、マサオミ？
len,蕾娜,len416_136,ハグはしてくれないのに……大胆すぎますよぉ。
len,蕾娜,len416_137,はい！欠片のことを調べるんですね
len,蕾娜,len417_001,おー、やっぱり夢でしたか？
len,蕾娜,len417_002,マサオミこそ、けど……ここは夢で志那都荘なのですから、当然かもしれないですね
len,蕾娜,len417_003,え？マサオミが、わたしの夢ではありませんか？
len,蕾娜,len417_004,……？
len,蕾娜,len417_005,んー、まあいいですね！えへへ、つまりわたしは……夢の中でも、マサオミに会えたというわけですね
len,蕾娜,len417_006,あっ、待って下さい！マサオミっ、マサオミィー！？
len,蕾娜,len417_007,すぴー……ふひゅひゅ。……
len,蕾娜,len417_008,……う、うぅ。ん、マサオミぃ
len,蕾娜,len417_010,…………ふあ？
len,蕾娜,len417_011,あれぇ……マサオミがいますね。、夢の中では急にいなくなったから……心配、したでありますよぉ
len,蕾娜,len417_012,はいぃ……おはようございますぅ
len,蕾娜,len417_014,………………………………
len,蕾娜,len417_015,…………………………………………………………ふぇ？
len,蕾娜,len417_016,ま、マサオミ！？
len,蕾娜,len417_018,ひょえ～ッ、申し訳ごじゃりませぬ！　申し訳ごじゃりませぬ！
len,蕾娜,len417_019,そうです、女将！マサオミは今朝起きたら、いつの間にか、わたしの部屋にいただけで
len,蕾娜,len417_020,ヨバイ……というのがなにかは、まだ教わってないです！本当です
len,蕾娜,len417_021,んー……ひょっとして、ヨバイというのはお泊まり会のことだったんですか？
len,蕾娜,len417_022,でしたら、昨夜、わたしとマサオミはヨバイしたことに……
len,蕾娜,len417_023,ですが……わたしとマサオミが、一晩中一緒だったのは……事実ですよね？
len,蕾娜,len417_024,突然、夜に部屋へ来るなんて、大胆過ぎてびっくり仰天でしたが……
len,蕾娜,len417_025,わたしは、マサオミとなら……お泊まり会してみても……
len,蕾娜,len417_026,マサオミは指一本触れていなかったのですか！
len,蕾娜,len417_027,え？そ、それは……だって指一本触れなかったんですよね！寝込みを襲っておきながら
len,蕾娜,len417_028,ちょ……ちょっとくらい触ってみたいとも、思わなかったですか？
len,蕾娜,len417_029,ムラサメちゃん、ひょっとしてずっといたのですか？
len,蕾娜,len417_030,お、おう、か……かくなる上は、責任を取ってマサオミをわたしの嫁に……
len,蕾娜,len417_031,わたしも今、同じ事を言おうとしてました
len,蕾娜,len417_032,ま、マサオミ……それって、わたしが見てた夢とまったく同じですよ！
len,蕾娜,len417_033,はい！マサオミは、こんなの夢に決まってると言ってましたね
len,蕾娜,len417_034,おー、わたしもたぶん同じ感覚です。マサオミに言われて、同じだと思いました
len,蕾娜,len417_035,そうなのですか！
len,蕾娜,len417_036,あります！ありますっ、写真で見たお祖父ちゃんのお祖父ちゃんの若い頃にそっくりの人が出てきました
len,蕾娜,len417_037,お祖父ちゃんのお祖母ちゃんもですっ
len,蕾娜,len417_039,んー、実はそこまで聞いてなかったのですが……ドイツなら、わたしは納得かもしれませんね
len,蕾娜,len417_040,リヒテナウアーは、ドイツっぽい名字なのですよ
len,蕾娜,len417_041,おー、ムラサメちゃんも昔からいたのでしたね！
len,蕾娜,len417_042,どういうことですか？
len,蕾娜,len417_043,い、いいえ！マサオミにそこまでさせては悪いですよっ
len,蕾娜,len417_044,わたしが大声を上げたせいでバレたんですから、来るとわかっていればそんなに驚かなかったです
len,蕾娜,len417_045,そ、それに、夢でもっといろんなことがわかるかもしれないですよね？
len,蕾娜,len417_046,だったら大切なことですし、マサオミが来てくれたことは、そんなに……嫌ではなかったですから
len,蕾娜,len417_047,今夜も、へ……部屋の鍵は、開けておきますね？
len,蕾娜,len417_048,えへへ、ではわたしは仕事へ行きますけど、学校には一緒に行きましょうね？
len,蕾娜,len417_049,はい！朝ご飯、先に食べてて下さいねー
len,蕾娜,len417_050,マサオミ。っ、早く早くですよ！
len,蕾娜,len417_051,もういいですよ？わたしこそ驚き過ぎましたし、マサオミが悪いわけでもないですから
len,蕾娜,len417_052,これもわたし達の中に、欠片が残ってるせいですよね？
len,蕾娜,len417_053,んー、呪いのことを知ったのが最近ということもあるのでしょうが
len,蕾娜,len417_054,わたしには、憑代の欠片があんまり悪いものと思えないのですよ
len,蕾娜,len417_055,もともと、わたしにとってお守りだったというのもありますが
len,蕾娜,len417_056,おかげでお祖父ちゃんのお祖父ちゃんのこと、夢で知ることもできましたしね！
len,蕾娜,len417_057,びっくりしましたけど、嬉しいことでしたよ
len,蕾娜,len417_058,あはは、マサオミ？くよくよしてもなにもいいことありませんよ！
len,蕾娜,len417_059,日本語でも、過保護は寝て待て、と言いますので
len,蕾娜,len417_060,お、おー……カホゴ……カホー……カホウ！覚えました
len,蕾娜,len417_061,ですが、欠片を取り込んだのはやっぱり悪いことばかりじゃないですよね？
len,蕾娜,len417_064,ほえー、マサオミはいろいろ考えてるんですね？凄いです！
len,蕾娜,len417_065,そうなのですか？
len,蕾娜,len417_066,んー、えへへ……だったらわたしのこと、もっと見習うといいですよ、マサオミ？
len,蕾娜,len417_067,はい？わたしの国ですか？
len,蕾娜,len417_068,あー、どうしてですかね？わたしにも、そこまではわからないですが
len,蕾娜,len417_069,あははは、冬はマイナス３０℃以下になりますけどね
len,蕾娜,len417_070,わたしの村は、ラップランド……日本の言葉で、北極圏でしたかね？かなり北の方にありますから
len,蕾娜,len417_071,わたしも日本の一年中、毎日、太陽が沈んだり昇ったりするの、想像できなかったです
len,蕾娜,len417_072,はい、だからわたしの国、一言で表すとしたら……そうですね……
len,蕾娜,len417_073,オーロラの国ですよ
len,蕾娜,len417_074,夏は、森と湖とベリーがいいです
len,蕾娜,len417_075,けどわたしにとっては、冬に見えるオーロラが一番ですよ！
len,蕾娜,len417_076,わたしもいつか、マサオミと見てみたいですね
len,蕾娜,len417_077,わたしの国のオーロラを……
len,蕾娜,len417_078,むー
len,蕾娜,len417_079,ヨシノ！マコー、おはようございます！
len,蕾娜,len417_086,誤解じゃないですのに！
len,蕾娜,len417_087,ヨバイしておきながら、指一本触れなかったりッ！！
len,蕾娜,len417_088,こういうとき、マサオミのことが……少し、嫌いになりますね
len,蕾娜,len417_089,……ですが、本当は……そうではなくて
len,蕾娜,len417_090,…………はあ。
len,蕾娜,len417_091,またまた、よろしくお願いしますね！
len,蕾娜,len417_092,はい！警察は力なりですよ、マサオミ？
len,蕾娜,len417_093,お、おー、けいぞく？……けいぞくですね、覚えましたっ
len,蕾娜,len417_094,さすがは巫女姫さまですね、ヨシノ！
len,蕾娜,len417_095,テンション上げてガンバロウ、ではなかったですか？
len,蕾娜,len417_096,まあまあ、ヨシノ？誰にでも失敗はありますから
len,蕾娜,len417_097,まあまあ、でもさすがは女将ですよ？確かにこれは、わたしにとって不思議の言葉ですね
len,蕾娜,len417_098,それもありますが……たとえば“お尻”という言葉は、最初びっくりしましたね
len,蕾娜,len417_099,わたしの国だけではないですが、たぶんヨーロッパの国では、尻という言葉にあまりいい意味はありません
len,蕾娜,len417_100,はい！なのに日本の人は、お尻と丁寧に表現します
len,蕾娜,len417_101,そこに、日本のワビサビ、オクユカシイの心、感じました！
len,蕾娜,len417_102,わたしの行ってた日本語学校では、おまんじゅうとまんじゅう、おネギやネギは
len,蕾娜,len417_103,別の言葉として覚えるよう指導されました
len,蕾娜,len417_104,お買い物でありますね！
len,蕾娜,len417_105,えへへ、マサオミとお二人様でですねっ
len,蕾娜,len417_106,日本はエコのお心も素晴らしいです
len,蕾娜,len417_107,ほら、ゴミ箱にも、缶・ビン・ペットボトルを分けて入れられるようになってますね
len,蕾娜,len417_108,はい、ゴミ箱があってもゴミ箱入れない人多いです
len,蕾娜,len417_109,なのに日本はわざわざ鞄へ入れてお持ち帰りする人も多いのでびっくりしましたよ
len,蕾娜,len417_110,旅館のゴミ箱に捨てないで、お持ち帰りされるお客様までいるくらいです
len,蕾娜,len417_111,それにお買い物のときも、エコバッグを持ってる人すごく多いですね
len,蕾娜,len417_112,お断りすればいいですよ、お店でどっちも選べる感じじゃないですか？
len,蕾娜,len417_113,はい！だからわたしもエコバッグを持ち歩くようにしてます
len,蕾娜,len417_114,あ、ここのお店ですね！では悪いですがマサオミ、少し待っててもらえますか？
len,蕾娜,len417_115,はい、では終わってからお願いしますね！すぐ済ませてきますので
len,蕾娜,len417_116,あ、お袋はけっこうです
len,蕾娜,len417_117,お、おうふ、い……今まで毎回言ってましたのに、どうしてどの店員さんも教えてくれなかったですか？
len,蕾娜,len417_118,“お”を付けると意味の変わる言葉まであるなんて
len,蕾娜,len417_120,こういうとき、日本の人はちょっと優しすぎます
len,蕾娜,len417_121,間違ってるときは、ちゃんと注意して欲しいですよ
len,蕾娜,len417_122,お、おー、何事ですか？
len,蕾娜,len417_123,で……ですが、わたしは買い出しの途中で、お仕事がありますので……
len,蕾娜,len417_124,い、いったい、なにが始まるのでしょうか？
len,蕾娜,len417_125,さっきもそんなこと言ってましたね？試食すればいいのでしょうか？
len,蕾娜,len417_126,は、はい、本当にいいのでしょうか？
len,蕾娜,len417_127,緑色をしてますが……抹茶とは違うようですね
len,蕾娜,len417_129,わたしもやっぱり、志那都荘が心配ですから
len,蕾娜,len417_130,そうです！わたしも食べてみますから、ケンカはやめてほしいですね
len,蕾娜,len417_131,いいえ、実はわたしも、どんな味かちょっとだけ興味があったのですよ
len,蕾娜,len417_132,で、では、マサオミ？２人一緒に口へ入れませんか？
len,蕾娜,len417_133,あむっ
len,蕾娜,len417_134,うっ……ううっ、は、はい、マサオミの言う通り、とっても美味し、ぐすっ
len,蕾娜,len417_135,い、いえ、これは目から……心の汗が、うううっ
len,蕾娜,len417_136,美味しいのは、本当に……美味しいと、しゅ……しゅみましぇん、ずずずっ
len,蕾娜,len417_138,あ、あの、わたしが慣れてないだけで、本当に美味しいと思いましたよ
len,蕾娜,len417_139,おー、なるほどです
len,蕾娜,len417_140,ふふふふ
len,蕾娜,len417_141,ロカとロカのお父さんは仲良しですね！
len,蕾娜,len417_142,でも仲直りできるケンカは、いいケンカです！
len,蕾娜,len417_143,それは仲良しの証拠ですよっ
len,蕾娜,len417_144,そうでした！調べた方がいいと話してましたねっ
len,蕾娜,len417_145,ドイツ製なのですか！それも、間違いないですか？
len,蕾娜,len417_146,まさか、もちろん初めて聞きました……
len,蕾娜,len417_148,その間、穂織に滞在してたかもしれないのですが、なにか知らないですか？
len,蕾娜,len417_150,はい……お祖父ちゃんのお祖父ちゃんが、穂織の人だとは知っていましたが
len,蕾娜,len417_151,全部、知ってたわけではないですから……
len,蕾娜,len417_152,エニシ、ですか？
len,蕾娜,len418_001,ホアッ！？わたしも初耳です
len,蕾娜,len418_002,は、はい
len,蕾娜,len418_003,お祖父ちゃんのお祖母ちゃん、可哀想ですね……
len,蕾娜,len418_004,で、ですが
len,蕾娜,len418_006,（お祖父ちゃんのお祖母ちゃんとお祖父ちゃんのお祖母ちゃんが結ばれないと、わ、わたしも生まれてきませんよ！？）
len,蕾娜,len418_007,ですが、お祖父ちゃんは２人を仲良し夫婦だと言ってたはずなのに……
len,蕾娜,len418_008,た、祟り神ですねっ！
len,蕾娜,len418_009,お祖父ちゃんの、お祖母ちゃん！？
len,蕾娜,len418_010,わたしの家に伝わってたのと同じですね
len,蕾娜,len418_011,……
len,蕾娜,len418_013,すぴ～……ふひゅひゅ～……すぅ～……ふふふふふ
len,蕾娜,len418_014,ふひゅひゅ……あーマサオミだぁ。、えいっ
len,蕾娜,len418_015,んぅ。、ハグは……ただの挨拶、ふにゅにゅ…………すぴ。
len,蕾娜,len418_017,ふにゃふにゃ……んんぅ～、ぽかぽかですねぇ
len,蕾娜,len418_018,ふにゃふにゃ…………おやぁ。、マサオミがいますねぇ？
len,蕾娜,len418_020,ドイツで暮らすうちに……ラブラブに、なっていったですねぇ、えへへへ
len,蕾娜,len418_021,おやぁ、マサオミはどうして？わたしのほうを見な…………ふぇああッ！？
len,蕾娜,len418_022,ま、待って欲しいです、マサオミ！
len,蕾娜,len418_023,か……帰らないで、欲しいですよ
len,蕾娜,len418_024,きょ、今日もまた、マサオミと一緒に学校へ行きたいので
len,蕾娜,len418_025,だから……帰らないで、待ってて欲しいです
len,蕾娜,len418_026,えへへ、わたしこそ、ちょっと寝ぼけてましたね
len,蕾娜,len418_027,お待たせしました、マサオミ！
len,蕾娜,len418_028,はい、これからお仕事ですから、またしばらく待たせてしまいますが……
len,蕾娜,len418_029,それよりマサオミ？まだ言ってなかったですね
len,蕾娜,len418_030,おはようございます、マサオミ？
len,蕾娜,len418_032,……～～っ
len,蕾娜,len418_033,そ、そう言えば
len,蕾娜,len418_034,ゆ、夢のこと……みんなに相談しなくていいですか？
len,蕾娜,len418_035,そうだったのですか……
len,蕾娜,len418_037,も、もう、行かないとですね
len,蕾娜,len418_038,……はい、ではまた後でっ
len,蕾娜,len418_039,始めたいと思います！
len,蕾娜,len418_040,はい？わたしは気になりませんけどねぇ？
len,蕾娜,len418_041,むしろ、日本のこといろいろ教えてもらって、とても助かってますよ
len,蕾娜,len418_042,それは、そういうものではないですか？
len,蕾娜,len418_043,わたしも自分の国のこと、ちゃんと説明できない気がしますね
len,蕾娜,len418_044,お、おー、マサオミもヨシノも、そんなにお固くならなくて大丈夫ですよ？
len,蕾娜,len418_045,そうかもしれませんね、マコ
len,蕾娜,len418_046,今回は、わたしから質問があります
len,蕾娜,len418_047,はい！ですが女将に聞くのは、なんとなく失礼ではないかという気がしていて
len,蕾娜,len418_048,いいえ、最初は女将だけと思ってましたが、どうも違うようでして
len,蕾娜,len418_049,志那都荘の中の人も、外の人も、同じことをします
len,蕾娜,len418_050,はい、日本の人は……
len,蕾娜,len418_051,どうして携帯電話で話しながら、お辞儀をするのですか？
len,蕾娜,len418_052,まあまあ、２人とも落ち着いて下さい
len,蕾娜,len418_053,全然伝わってないと思いますけど、それでも礼儀を尽くすということでしょうか？
len,蕾娜,len418_054,なるほどです、確かに電話以外でも、日本の人はよく……
len,蕾娜,len418_055,おー、申し訳ないですね！わたしの携帯です
len,蕾娜,len418_056,あ！女将でありますかっ、はいっ、はいっ……わおっ、そうでありますか！
len,蕾娜,len418_057,それはお手間を取らせましてっ、いえ！とんでもないです、はいっ、はいっ、ありがとうございますっ
len,蕾娜,len418_058,はいっ！はいー、それでは、いえいえっ……失礼いたしますっ
len,蕾娜,len418_059,わたしの実家から国際便が届いたようで、女将から連絡がありました
len,蕾娜,len418_060,それはわかりませんが、楽しみですね！それよりお話の途中で、申し訳ないです
len,蕾娜,len418_061,日本の人はお辞儀が癖になってるのですね？癖なら気付かないうちにやっていても、仕方ないかもしれません
len,蕾娜,len418_062,ん？２人とも、なんの話です？
len,蕾娜,len418_063,わおっ！ひょっとして、免許皆伝ですか！？
len,蕾娜,len418_064,えへへへ、そんなことないですよ？ヨシノにも、まだまだたくさん教えて欲しいですねっ
len,蕾娜,len418_065,駒川先生、わたし達になんのご用でしょうか？
