=== 蕾娜 (len) 剧情配音文本 ===
共计 2466 句台词

[len006_002] きゃああああぁぁぁぁっ！？
[len111_029] その一言で、わたし全てが恐ろしくなりました
[len111_030] ……ゴクリッ
[len111_031] おお……そこまで幸せなものですか
[len111_033] 触れ合う肌の面積！？
[len111_034] わっ、わたしも、物足りませぬ……っ
[len111_035] はい。逃げましたね
[len202_001] では“美味しそう”は違いますね。“美味しい”に決まっておりますよ
[len202_002] マコは料理が上手でありますからね
[len202_003] そんなことはありません。わたしは常々思っていたのです
[len202_004] マコはよいお嫁さんになります。むしろ、わたしの嫁に欲しいぐらいです
[len204_001] おー、知ってますよ、打算的、と言うのでありますよね
[len204_002] ジョシリョク……とは何でありますか？
[len204_003] つまり、女子力の高い女性とは、マコのような人を言うのでありますね
[len204_005] な……なんでありますか？　胸を見ないで欲しいのですが……
[len204_006] ありゃりゃ？何故こんなところに子犬がいるのでありましょう？
[len204_007] おっほぅ、可愛いのでありますね。
[len204_008] どちらも可愛くて好きでありますよ
[len204_009] さぁ……？気付いたら足元におりましたので……
[len204_010] 本当でありますね
[len204_012] 何を言っているのですか、ヨシノ。。わかっておりますよ、そんなこと
[len204_013] おおー、そうでありましたか
[len204_014] では、この子はどうすればよいのでしょうか？もうすぐ授業も始まってしまいますので
[len204_015] マサオミが？
[len204_016] 走っても、１５分はかかりますね
[len204_017] はい。それではよろしくお願いしますね、マサオミ
[len204_018] おおー、気持ちよさそうな声でありますね
[len204_020] やはりわたしも一緒にと思ったのでありますが……
[len204_021] ま、マコ……まさか、そんな……マコが、マコが
[len204_022] マコが露出プレイをしているだなんて――！？
[len204_023] メス犬になってしまった！？
[len204_024] マコに露出プレイの趣味は……ないのですか？
[len204_025] ………な、なるほど
[len204_026] ……はい
[len204_028] なんという……っ。マサオミは、タイヘン鬼畜ですっ
[len204_029] あ……申し訳ないです。日本語を間違いました
[len204_030] ヘンタイ鬼畜でありますっ
[len204_031] い、いくら合意の上でありましても、学院で裸になって調教するなど……調教……調教……なんというエロ同人……
[len204_033] な……なるほど。大体の事情は分かりました
[len204_034] 確かになんとも不思議な話ではありますが、タタミ神のことはわたしも実際に目にしました
[len204_035] ですので、信じておりますよ
[len204_036] ちょっと安心しました。マコやマサオミに特殊な趣味があったわけではなくて
[len204_037] しかし、取り憑かれてしまうだなんて……
[len204_038] 本当に大丈夫なのですか？犬になる以外に、何か困ったことは？
[len204_039] ずっと、このままなのですか？
[len204_040] 恋？恋とはいわゆる……ラヴでありますか？
[len204_041] おお、王子様のキスが起こす奇蹟でありますね！愛の奇蹟ですね！
[len204_042] なるほど。それは……なかなか大変な話でありますね
[len204_043] 恥ずかしながら、わたしも恋をしたことはありませぬゆえ、よくわからないのでありますが――
[len204_044] “恋をする”とは具体的に何か線引きがあるのでしょうか？
[len204_045] でしたら……例えばなのですが、恋をしたふりで欺くことは不可能なのでしょうか？
[len204_046] そういうことでありますね
[len204_047] 今すぐ恋をするのも難しいと思いまして。そう言ったことを試してみるのも良いのではないかと――
[len204_048] 思いつきで言っただけなのですが……
[len204_049] 女将、どうかしましたか？
[len204_050] 申し訳ないです。ですが、もうへっちゃらですので
[len204_051] ちゃんと夜のお仕事、頑張りますよ
[len204_052] たまごのお酒……エッグノッグみたいなものでしょうか？
[len204_053] 本当にもう問題ないのでありますが……
[len204_054] ……はい。ありがとうございます、女将。ではいただきます
[len204_056] はい、承知しました
[len204_057] 非常に申し訳ないです。そう言った理由で眩暈を起こしていたわけではないのですが……
[len204_058] はい。そうですね。では今日は女将のお言葉に甘えます
[len204_059] んっ……はぁ、卵酒おいしぃ……クピクピ
[len204_060] はい、お２人ともまた明日
[len205_001] おはようございますです！
[len205_002] マコのことが気になりまして、様子を見に来ました
[len205_003] それと昨日はご心配をおかけしましたので。元気なお知らせと、お迎えに上がりました
[len205_004] 昨日休んだ分、今日は午後から旅館のお仕事を頑張らねばなりませんので！
[len205_005] なんと！？それは、やはり例の子犬の一件でありますか？
[len205_006] だから制服ではないのですね……
[len205_007] マサオミも制服ではありませんが、もしやマサオミもお休みですか？
[len205_008] わたしのアイディアとは、もしや代役の話ですか？
[len205_009] わたしでもお役に立てたなら大変嬉しいです
[len205_010] では、マコがデートしている間、ヨシノのサポートはわたしに任せて下さい
[len205_011] はい。ではお２人ともいってきます。デートをお楽しみくださいませ。
[len205_012] 今日はムラサメちゃんも学院に行くのですか？
[len205_013] では一緒にお勉強でありますね。ムラサメちゃんとお勉強だなんて、楽しみです
[len205_014] そうでありました！気を付けますので！
[len205_015] いえいえ、ヘーキでありますよ。大旦那さんからも許可をいただいておりますので
[len205_016] それよりも何か必要な物はありますか？
[len205_017] わかりました。では、ご用があればお呼び下さいませ
[len206_001] おー！おめでとうございますですよ。
[len207_001] おやや？マサオミとマコではありませんか
[len207_002] はい。届け物をするように、女将に言われました
[len207_003] マサオミとマコは……もしや、デートでありますか？
[len207_004] はい、モチはロンでありますよ！手を繋いだ仲良しさんですので。むしろデート以外に見えません
[len207_005] わたしは思いつきを口にしただけですよ。そんなお礼を言われるようなことでは
[len207_006] 少しでもお役に立てたなら、なにより
[len207_007] 代役ではなく本当の恋人、おめでとうございます
[len207_008] おおっと、デートの邪魔をしてしまいましたね。これは失敬
[len207_009] あはは、そこまで言われると照れてしまいますねー
[len207_010] とはいえ、わたしもお仕事がありますので。そろそろ戻らねばなりません
[len207_011] いえ、ヘーキでありますよ。幸せそうな２人を見られて、わたしも幸せでありました
[len207_012] いつかわたしも、好きな人ができて、手を繋いで、キスをして、そして………………
[len207_013] あわ！？あわわ、こんな往来で、なんて破廉恥なことを……っ！
[len207_014] しょっ、しょれでは失礼つかまちゅりましゅっ
[len301_001] おう、大旦那さんばっさりですね！これぞ一刀両断言でありますか？
[len301_002] マサオミの背中、一生懸命押してますよー
[len301_003] 大旦那さん、ムラサメちゃん、すっごく頷いてます
[len301_004] 大旦那さん、ヨシノはマサオミととっても仲良しですよ
[len301_005] マサオミと話す時は、空気やわらかな感じです
[len301_006] そうですよー
[len301_007] とにかく、いただきましょう
[len301_008] わたし、とても空腹であります
[len301_010] おおっ、もしかして、ミズコの霊ですか、マサオミ
[len301_011] ヨシノにお祓いしてもらうのがいいです
[len301_012] わおっ、マサオミ、今、すっごい観察されてまーす！
[len301_013] 家政婦さんに、秘密握られてしまいますね
[len302_001] はーい、わたしも出るでありますよー
[len302_002] はい、女将もりょーかいしてくれました
[len302_003] マサオミ、レンタロウが誘われたということは、コハルもですか？
[len302_004] はい、今から楽しみですよ
[len302_005] マサオミ、お昼、ご一緒しましょー
[len303_001] マサオミ、わたし何すればいいですかー？
[len303_002] マサオミ、いないですかー？
[len303_003] 皆さん、今日のお料理はすごいですよ。大ごちそうです
[len303_004] マサオミは、いつも優しいですよー
[len303_005] うーん、レンタロウも優しいでーす
[len303_006] でも、下心感じますです
[len303_008] ちなみにわたしも知ってますよー
[len303_009] というか、わたし、ムラサメちゃん見えますし、お話もできます
[len303_010] マジです
[len303_011] 違いますよ、レンタロウ
[len303_012] マサオミは今、ムラサメちゃんと仲良く喧嘩してるのですよ
[len303_014] 怒ったムラサメちゃんに、報復されてまーす
[len303_015] 和風美少女ですねー
[len304_001] わたしも見ましたですよ
[len304_002] わおっ、もしかしてわたし達が、粗相をしちゃったかもってことですか？
[len304_003] ありましたねー
[len304_004] では、どうしてムラサメちゃん、元気がないのですか？
[len304_005] わたし、ムラサメちゃん好きなので元気になって欲しいですよ
[len304_006] 皆、マサオミに期待しましょう
[len305_001] わおっ、マサオミにムラサメちゃん
[len305_002] おはようございまーす！
[len305_003] こんなに早くから、二人ともどうしたでありますか？
[len305_004] あ、手をつないでますね。。相変わらず仲良しさんです
[len305_005] 大丈夫大丈夫です、二人とも
[len305_006] わたし、これでも空気読めます。接客してますので
[len305_007] ちゃんと、皆には内密にするのでご安心していいのですよ
[len305_008] いえいえ、わたしわかってます
[len305_009] いやよいやよも、好きのうちというのですよね？
[len305_010] では、さらに空気を読んで、お邪魔虫は退散するであります
[len305_011] さらばなのです！
[len305_012] それはレンタロウが悪いですよ。当然であります
[len305_013] マサオミ、箸が進んでませんよ？
[len305_014] マサオミ、早く食べないとお昼休みが終わりますよ
[len305_015] 疾風怒濤ですねー、マサオミ、疾きこと風のごとしです
[len306_001] わたしでお役に立てるならいいですよ
[len306_002] お礼なんていらないですよ
[len306_003] お友達のために頑張るのは、当たり前なのです。万国共通なのであります
[len306_004] そうしていただけると助かりますね
[len306_005] 大旦那さんと女将のお許しをいただかないといけないですので
[len306_006] 皆で、がんばるのですよ、レンタロウ
[len306_007] ん？マサオミがリーダーじゃないのですか？
[len306_009] マサオミがいいでーす
[len306_010] わぉっ、皆、ありがとうございます！
[len306_011] 大旦那さんはともかく女将はいますよ
[len306_012] あ、女将すみませんです
[len306_013] わたしの仕事でしたのに
[len306_014] 恐れ入ります
[len306_015] はい、そうです
[len306_016] わたしは穂織が好きです。永く栄えてほしいのです
[len306_017] 第一、穂織が寂れたら、ここのお客様も減ります
[len306_018] そしたら、わたしも、クビかもです
[len306_019] 今はマサオミ達を手伝うことが、この旅館のためになると考えました
[len306_020] どうぞ、ご配慮お願いしたいです
[len306_021] わおっ、大旦那さん、女将、ありがとうございまーす！
[len306_022] わたし、新しいお茶もらってきまーす。皆は一休みしててください
[len306_023] お番茶淹れてきたですよ。
[len306_024] おや？ヨシノとマコはいずこに行きましたか？
[len306_025] りょーかいであります！
[len306_026] マサオミ、レンタロウ、コハル、水分摂って復活してください
[len306_027] そうですか。良かったです
[len306_028] 何度も女将に教えてもらいましたので、きっとその成果ですよ
[len306_029] マサオミ、直接手に注ぐのは無茶です
[len306_030] 湯のみを、マサオミが持つのではダメですか？
[len306_031] そうですか、残念です
[len306_032] わたしのお茶、ムラサメちゃんにも飲んで欲しかったですから……
[len306_033] おおっ、ムラサメちゃんは優しいです
[len306_034] ぎゅーっと抱きしめたいですよ
[len306_035] そうですよ、次の会議で重複した意見が出ないようにしないと時間無駄にします
[len306_036] マサオミ、ムラサメちゃん、また明日ですね！
[len306_037] りょーかいであります
[len306_038] はい、こちらこそ！
[len308_002] マサオミ、お見舞いに行ってもいいですか？
[len308_003] りょーかいであります
[len308_004] ムラサメちゃんに、お大事にとお伝えください
[len308_005] カリンののどアメです
[len308_006] ムラサメちゃんに、あげてくださいませ
[len308_007] マサオミは、早く帰ってあげてください
[len308_008] わぉっ、マサオミ全力疾走ですね
[len308_009] はい、わたしも恋したくなりますよ
[len308_010] マサオミ、今日も忙しそうですね
[len308_011] ムラサメちゃんの看病、そんなに大変なのですか？
[len308_012] マサオミ、そんなに尽くすタイプの男性でしたか
[len308_013] ムラサメちゃんが、ちょっとうらやましいです
[len308_014] う。ん、遠慮しときますです
[len310_001] おおう、ムラサメちゃん
[len310_002] 顔色いいですね、何よりです
[len310_003] おおっ、ムラサメちゃん、ちゃんと触れます！
[len310_004] 温かいです
[len310_005] 今日のムラサメちゃん、甘えっ子モードですね、マサオミ
[len310_006] あとは、名物料理を増やすとかですよ
[len310_007] マサオミ、わたしをお忘れではないですか？
[len310_008] ロカはたくましいでありますね
[len310_009] 今のマサオミは、ムラサメちゃん以外、アウトオブ眼中なのですよ
[len310_010] マサオミ、わたし達もお店に入りたいです
[len310_011] ロカのお店に来るのは久し振りです
[len310_012] このまま穂織の土地が寂れるのは、わたしも嫌です
[len310_013] 頑張って良いイベント考えましょう
[len310_014] ヨシノは舞に集中なのですよ
[len310_015] わたし達で、良いイベントを考えてお客さんを呼び戻すのが一番ですよ
[len310_017] 今日もいっぱい話し合いましょう
[len310_018] この中で決めてしまうしかないのでしょうか？
[len310_019] マサオミ、今日こそはイベントを決めましょう
[len310_020] 大旦那さん、毎日、わたしに進捗聞いてくるのです
[len310_021] そろそろ進捗ダメです、と言いづらいであります
[len310_022] レンタロウ、それ短絡的ですよ
[len310_024] つまり、マサオミは御神刀をまた岩に刺すつもりですか？
[len310_025] 上手くいくといいですね、マサオミ
[len311_001] わおっ、ホントですか、マサオミ
[len311_002] そうしないと、ムラサメちゃんは完全には人に戻れないというわけですね
[len311_003] わおっ、レンタロウ、急に出世しましたね
[len311_004] おめでとうございます！
[len311_005] マサオミ、大旦那さんに相談しましょう
[len311_006] どの道、剣術の特訓をするのですから、大旦那さんにはお話するのですよね？
[len311_007] もうあまり猶予はないのですね
[len311_008] すごいです。大旦那さんもマサオミも現代のサムライです
[len311_009] ビラを配ったり、宣伝のホームページを作ったりやることたくさんですよ
[len311_010] でも何ですか？レンタロウ
[len312_001] おはようございますです
[len312_002] やや、マサオミ、どうして朝からそんなにぐったりしてるのですか？！
[len312_003] マサオミ、どうしてこんなことになってるのですか？
[len312_004] それについては、わたしから説明します
[len312_005] まず場所は建実神社です
[len312_006] あの岩の前に、飾りつけをして派手にします
[len312_007] そのあたりは、町内会の人達が業者さんに頼むので問題ないです
[len312_008] あと、招待客も呼ぶんですよ
[len312_009] 有名な人が来れば、それだけでマスコミが話題にしてくれます――
[len312_010] ――とマコが言ってました
[len312_011] ＰＲは主にインターネットと、新聞広告にしようと思います
[len312_012] 海外のブロガーさんには、わたしが頼んでみますよ
[len312_013] 新しい名物の誕生の予感がしますね
[len312_014] わたしも、板長に御神刀料理、考えてもらいますよ
[len312_015] マサオミ、顔が引きつっているようですが……
[len313_001] ムラサメちゃんとマサオミも、おはようございますです
[len313_002] あっ、それ知ってますよ
[len313_003] 白虎、玄武、朱雀、青龍ですね
[len313_004] わたしの友達のブロガーにめいっぱい宣伝してもらいましたよ！
[len313_005] 本人も来るってメールもらいました！
[len313_006] マサオミが奉納した後、御神刀を抜くのが楽しみだと書いてありました
[len313_007] ムラサメちゃん、指きりするのです
[len313_008] ややっ、さすがにさよならはマズイであります
[len313_009] 人は機械ではないですから、ムラサメちゃんの言いたいことはわかります
[len313_010] はい、それがわたし達の最善ですね
[len313_012] 当日はイベントをメインにしたツアーもやるらしいですよ
[len314_001] コハル、わたしも一緒ですから心配ないですよ
[len314_002] それに、穂織にいらっしゃる外国の方、たいてい日本語達者です
[len314_003] わたしに任せて、コハルは笑顔で愛嬌ふりまいてくださーい
[len314_004] 頑張ったかいがありました！
[len314_005] マサオミの準備は、どうなのですか？
[len314_006] 大旦那さんに訊いても、『大丈夫だ。心配ない』しか言ってくれないので
[len314_007] わおっ！マサオミも大旦那さんと同じです！
[len314_008] 何の参考にもなりません！
[len314_009] でも、何か安心しましたので、良いです！
[len314_010] 頑張りますですよ！
[len314_011] よろしくなのですよ
[len314_012] わたし達も、応援してます！
[len314_013] 男らしい感じです。頼りになります
[len314_014] あの大旦那さんに毎日、シゴかれていますから、自信がつくのは当然でありますよ
[len314_015] おおっ、レンタロウも自信を持っているのでありますか？
[len315_001] ですよー、マサオミが岩を一刀両断にするんです！
[len315_002] ロープから出てはいけませんよー
[len315_003] 御神刀抜きたい人、もう列いっぱいできてますよ
[len414_001] おーマサオミ、ムラサメちゃん！ヨシノのところへ行っていたのですか？
[len414_002] はい！でも今晩が勝負と聞いて、気になっていたのですよ
[len414_003] 友達なのですから、当然です！ヨシノは大丈夫なのですか？
[len414_004] んー……確かに、こっちへ来てちょっと強くなった感じはありますが
[len414_005] 大丈夫です！もうだいぶ慣れましたから
[len414_006] それにマサオミこそ、今朝は体調が悪そうでしたよ？今も顔が少し赤いです
[len414_007] 熱があるのではないですか？
[len414_008] でしたら、もう一度測った方がいいでありますよ！ほら、ちょうどここに
[len414_009] どうかしましたか、ムラサメちゃん？
[len414_011] 言われてみれば、そうでありますが……んー、わたしはよくわかりません
[len414_012] ……。っ！
[len414_013] ん？んー……そうでありますか、でも無理は禁物ですよ？
[len414_014] ……はい、もうヘーキですので
[len414_015] いえ！本当にもうヘーキでありますよ？一瞬だけ、強くなっただけでありますので
[len414_016] それは危険ですね。祟り神というのがいなくても、夜の山は危ないですから
[len414_017] だったらたとえば、いつも持ち歩いてる物はないですか？
[len414_018] マサオミも、わたしみたいにトロルのお守りと思ってただけかもしれませんよ
[len414_019] はい、わたしのウチではそう信じておりましたから
[len414_020] ……どうでしょう？
[len414_021] 日本には、妖怪、モノノケ、ゆるキャラ、ヤオヨロズ、いろんなフェアリーがおりますけど
[len414_022] わたしの国では、フェアリーと言えばトロルのことでありますね
[len414_023] そんなに驚くことですか？
[len414_024] あははは！ゲームや映画、日本のコミックでは、巨人に描かれますが
[len414_025] わたしの国では、ただのイタズラ好きの森の妖精ですね
[len414_026] ゲームや映画だと、ホビット族に近い小人のイメージでありますよ
[len414_027] おそらくですが、エッダ……こっちの人がいう北欧神話に出てくるタイターンと一緒に思われてしまったのですね
[len414_028] はい！……あれ？言ってませんでしたか？
[len414_029] トロルの話は、よくお祖父ちゃんに聞かせてもらいました
[len414_031] 欠片のこともトロルの贈り物と思って、先祖代々、大事にしてたのでありますよ
[len414_032] トロルは、幸福を運んでくれる妖精ですから！
[len414_033] あれ、変でありましたか？
[len414_034] ……。っ
[len414_035] へ……ヘーキでありますよ！ただ、大きい音を聞くと、ちょっとだけ……耳鳴りが強くなるみたいですね
[len414_036] いえ、とんでもないです
[len414_037] こ、こんなの、へっちゃらでありますからっ
[len414_038] い、いえ！本当に大丈夫ですので、ご迷惑をおかけするわけには参りません
[len414_039] ですが……
[len414_040] ううっ、勝手に様子を見に来たばっかりに、かえってご迷惑を……面目ないです
[len414_041] あはは……それこそ、気にしないで下さい。強くなったのは、ついさっきでありますから
[len414_043] …………っ
[len414_044] ……んぅ。……どうして……みんな？
[len414_045] わああ……すごい、ごちそうで……ありますよぉ、むにゃむにゃ
[len414_046] ふみゅ。……そうですよぉ、みんな……しなつそうの、いたちょうが……うでに、よりをかけて、ふみゅむにゃ
[len414_047] えー……ダメ、ですよぉ……ふふふ、わたしは……なかいさん、ですから……え？ちょっとだけでありますか、ふみゃふみゃ
[len414_048] あ、あー、やっぱりわたしも……わたしのぶんも、残して……むにゃむにゃ
[len414_049] えふふふふっ……どれもおいしそうで、なにから……たべるか、まよっちゃいますね……ふひゅひゅ
[len414_050] では……そろそろ、おはしのおてほんを……うにゅうにゅ
[len414_051] あれ？ここはどこでありましょう？
[len414_052] そうでした、マサオミは……マコは？
[len414_053] みんなー、どこへ行ったでありますかー？
[len414_054] あー！あー！ちゃんと、自分の声は聞こえますね？
[len414_055] でも変な感じですね……おや？
[len414_056] ひょっとして…………トロル、ですか？
[len414_057] そう言えば、あまり山へ入るなと言われたんでした！
[len414_058] ……でも、どうせこれは夢の中ですからね
[len414_059] おー！
[len414_060] あの子、初めて見たはずですよね？なのに、どうしてでしょうか
[len414_061] とっても、とっても懐かしい感じがするのですよ
[len414_063] ……あれ？ひょっとしてわたし、今あの子の名前を呼びましたか？
[len414_065] けど、なんだかずいぶんと偉そうなしゃべり方に感じますね？
[len414_066] まるで女王様か、貴族のご令嬢みたいですよ
[len414_068] いったいなにを言ってるんでしょう？
[len414_069] アネギミ？……おー、お姉ちゃんのことですね！
[len414_070] え、えっと……ひょっとして、わたし変なこと言いましたか？
[len414_071] な、なにごとでありますか！？
[len414_072] いったいこれは……はわッ！
[len414_073] はわっ？ひゃわわッ！？い……いったい、誰でありますか！？
[len414_074] え？…………男の人の、汗の匂い？
[len414_076] 死ぬ前にせめて、ミートボールのベリーソースかけとニシンのソテー山盛り食べ放題へ行きたかっ……
[len414_077] って、はれ？ここは……し、志那都荘でありますか？
[len414_078] おっと！なら急いでお仕事しなくてはっ、また女将に叱られてしまいます！
[len414_079] へっ、お祖父ちゃん？お祖父ちゃんが、どうして志那都荘に！
[len414_081] お祖父ちゃん……？　確かに……前から、そう思ってましたけど
[len414_082] そうですね……そうでした！日本も、穂織の町も、志那都荘も、とってもいいところでありますよ！
[len414_083] わたしもみんなを招待したかったんですっ
[len414_084] ……お料理でありますか？
[len414_085] わああっ！すごいご馳走ですよ！？
[len414_086] でも、板長が作ってくれたのでしょうか？
[len414_088] ……わたしの、大好きなお料理を？　みんな、覚えててくれたんですか？
[len414_089] はい！わたしも愛してますよ、お父さんっ、お母さん！
[len414_090] 愛してるから、なかなか会えなくても、離れて暮らしていても、私は寂しくないです
[len414_091] 一人で遠い国へ来たって、心が繋がってることはいつも感じられますからっ
[len414_092] ……え？
[len414_093] ど、どうしたんです、みんな？
[len414_094] ……っ
[len414_095] え、ええ……そうですよ！志那都荘の板長が腕によりをかけて作ったお料理なんですからっ
[len414_096] ですが……
[len414_097] やっぱりダメですよ、わたしは仲居さんですから、みんなのお世話がしたいです！
[len414_098] それがお仕事でありますよ
[len414_099] え？……ちょっとだけでありますか
[len414_100] ま、待って下さい！わたしも……さすがに少しは、わたしの分も残して欲しいのですが……
[len414_101] ……え？お箸でありますか？
[len414_102] えへへ、そう言われても……どれも美味しそうで、なにから食べるか迷っちゃいますね
[len414_103] 今のは……誰の声でしたか？
[len414_104] あ、はい。ではそろそろ、お箸のお手本を…………おや？
[len414_105] 男の人の、汗と……血の臭い？でも、このお料理からしてるわけじゃなさそうですね
[len414_106] ……そもそも、このお料理、なにも匂いがしないです
[len414_107] いえ……そ、そうです！私、さっきトロルを見た気がして
[len414_108] で、でも！その後、なぜか志那都荘へ戻ってきてて……あれ？その前は……えっと、ヨシノのウチで
[len414_109] マサオミと話してて……そうです、マサオミの匂い
[len414_110] マサオミ？マサオミが、近くにいるでありますか！？
[len414_111] だ、だって、みんな！みんななにか変ですよっ
[len414_112] ……ふえ？
[len414_114] ヒョェェ！？　や、やっぱりお祖父ちゃんじゃありませんッ
[len414_116] えっ……こ、これは！？
[len414_117] ま、マサオミッ！？
[len414_118] ……っ
[len414_119] ま……マサオミ？マサオミッ！？
[len414_120] あたたたたたっ！？な、なんですこれ、すごい痛いですっ
[len414_121] だ、大丈夫です！だって、マサオミがわたしを助けてくれたのでしょう？
[len414_122] だったら、わたしにも手伝わせてくださいっ
[len414_123] よくはわかりませんが、このおっきいヤツを倒せばＯＫなんですよねっ
[len414_125] マサオミッ！！
[len415_001] あ、目が覚めたのですね、マサオミ！
[len415_002] でも、もう少し寝てたほうがいいでありますよ
[len415_003] 慌てないで落ち着いてください、はいマサオミ
[len415_004] あ！少し冷たくし過ぎましたか？
[len415_005] でしたら、よかったです
[len415_006] は、はわわっ！今のはちょっと、馴れ馴れしかったですか？
[len415_007] ……そうですか？でしたら、もう少しだけ
[len415_008] ありがとうでありますよ、マサオミ……助けてくれて、とってもとっても嬉しかったですよ
[len415_009] わたしを助けて気を失ったわけですから、当たり前ですよ
[len415_010] 看病だって、わたしのほうが先に目を覚ましたんですから当然です
[len415_011] あ、ああっ！もちろん、ケガはしてませんよ？それは安心して欲しいであります
[len415_012] だいたい、マサオミのほうがいっぱい助けてくれたと思ってますから
[len415_013] わたしを担いで逃げてくれたのもなんとなく覚えてますし……わたしを庇って、踏みつけられたんですよね？
[len415_014] それに、夢から覚めたのも……マサオミの匂いのおかげですから
[len415_015] いいえ！男の子っぽい匂いがするだけでっ、あの場にいる男の子はマサオミだけでしたから……
[len415_016] きっと、そうだと思ったのです
[len415_017] はい、それは……
[len415_018] ひゃわ！？む、ムラサメちゃんっ、聞いていたのですか？
[len415_019] む、むむむムラしゃめちゃんっ！そ、それより、代わりに説明してくれるつもりだったのではないですか？
[len415_020] はい、そうみたいです
[len415_021] なんだか面目ないですが……ヨシノ達が持っていた憑代も、わたしが吸収してしまったようなのですよ
[len415_022] マサオミ、わたしなら平気ですよ？むしろ前より元気なくらいですからっ
[len415_023] はい、前より元気いっぱいなくらいなんですよ？わたしには実感ないですね
[len415_024] おー、ヨシノとマコはヘーキなのですか？
[len415_025] はい、実はマサオミ。あのとき、わたしは夢を見ていたんですよ
[len415_026] あはは、お恥ずかしいであります
[len415_027] でも、皆さんにはもう話したのですが――
[len415_028] はい、でもわたしがお姉ちゃんじゃないとわかって、急に怒り始めたのですよ
[len415_029] そしたら誰かに肩へ担がれる感覚がして……これはマサオミだったんですよね？
[len415_030] それから、急にご馳走が出てくる夢に変わったのです
[len415_031] うーん、わたしにも犬の弟はいないはずですよ？それとも、わたしも犬だったんでしょうか？
[len415_032] あの、夢の中ではですが
[len415_033] マサオミ？心配しても、わからないものはわからないですよ
[len415_034] ん？なんですか、マサオミ？
[len415_035] ご、ごめんなさい！もちろん、聞いてなかったわけではないですよ？
[len415_036] なんだか勝手に頬が緩んでしまいまして……マサオミが真剣だとわかってるから余計に、と言いますか
[len415_037] そ、そうそう！それに欠片もまだ、全部集まったわけではないですよね？
[len415_038] マサオミもですか！？
[len415_039] はい、なんですか？
[len415_040] もちろんいいですよ！
[len415_041] えへへ、そうですか？ムラサメちゃんこそ、小さくて温かい手ですねー
[len415_042] ああ、そうでした！ムラサメちゃんには触れられないはずでしたね
[len415_043] そう言えば前に、小さい頃、川で溺れたことがあると聞いた気がしますよ？
[len415_044] なら、せめてマサオミの欠片だけでも、取り出してあげられないですか？
[len415_045] お、おー、確かにそうでしたね
[len415_046] いえ、わたしはむしろ、皆さんに迷惑をおかけしたと思ってますから
[len415_047] それにいろいろわかってくれば、取り出せるんですよね？
[len415_048] わたしはビザが切れる頃には、一度帰国しないといけませんが
[len415_049] わかりました……おっと！
[len415_050] そろそろわたしは、お仕事へ戻らないといけませんね
[len415_051] それくらい、当然のことでありますよ！
[len415_052] いいですいいです！お見送りなんてしないで、マサオミは寝ていてください
[len415_053] うう、面目ありませぬ……ダイエットしまする
[len415_054] ヨシノも、昨日から同じこと何度も言ってますよ？あんまり気にしないでください
[len415_056] むしろわたしも、なにかお役に立ちたいと思っていたくらいですよ
[len415_057] まあ、かえってご迷惑をおかけしてる気もしますが
[len415_058] …………は、はい
[len415_059] ちょ、ちょっとだけマサオミを借りてもいいでしょうか？
[len415_060] え、えーっと、マサオミ？わたし夢の中でご飯を食べちゃいけないってこと、後で教えてもらったんですよ
[len415_061] 実は、けっこう危ないところだったのですが
[len415_062] はい……マサオミが、夢だって気付かせてくれたんですよ
[len415_063] どうして気付いたかは……ちょっと言いづらいのですが、とにかくマサオミのおかげであります
[len415_064] 祟り神から守ってくれただけではなくて、そのこともお礼を言っておきたかったです
[len415_065] ありがとうございました、マサオミ
[len415_066] …………。っ
[len415_067] マサオミは…………
[len415_068] わたしじゃなくても、頑張って助けようとしてくれたのでしょうか？それとも……
[len415_069] ……そうですか、うーーん……そうですね！
[len415_070] 誰にでも優しい方が本当に優しいってことでしょうから、そのほうがいいかもしれないですね！
[len415_071] ん？んー、えへへ……内緒です
[len415_072] それじゃあ、マサオミ！また明日、会いましょうね
[len416_002] はい！　おはようございますっ
[len416_003] マサオミ、やっぱりまだどこか痛むんですか！
[len416_004] はい！女将にも許可をいただいておりますゆえ
[len416_005] そのために、急いで朝のお仕事を終わらせてきたのですよっ
[len416_006] どうしても、今日はマサオミのマネージャーさんをしたかったですから
[len416_007] トレーニングの間は、なんでもわたしに言い付けて欲しいですね！
[len416_008] スポーツドリンクも凍らせて持って来てるのです
[len416_009] マサオミもやりますか？昨夜、思いついて用意しました
[len416_011] マサオミは、わたしを守ってくれましたからね
[len416_012] だから、わたしもマサオミをいっぱい応援したくなったのでありますよ！
[len416_013] お、おう、朝からけっこうハードなトレーニングですね
[len416_014] そうなのですか！？
[len416_015] はい！お任せあれですよっ
[len416_016] ではマサオミ、準備はいいですか？よーい……スタートですっ
[len416_017] わざわざ送ってくれて、ありがとうですね！この後、学院もありますのに
[len416_018] そんなことないですよ！マサオミを応援するのは、とっても楽しかったですので
[len416_019] それに、走ってる背中も……じっくり見れましたからね
[len416_020] ん？……おー、そうでしたね
[len416_021] 確かに、今日のはあんまりサムライっぽくはありませんでしたが
[len416_022] けどマサオミが頑張ってるところは、見てても飽きたりしませんよっ
[len416_024] えへへ、マサオミが喜んでくれたなら、わたしもすっごく嬉しいですよ！
[len416_025] ですが、放課後は……さすがに、お仕事を抜けられそうにないですね
