=== ren (ren) 剧情配音文本 ===
共计 983 句台词

[ren001_001] うん？なんだ、芦花姉
[ren105_026] 言葉で確認するとＹＥＳかＮＯで答えを出せと迫るってことだ。そういうのが答え辛いときもあるだろ？
[ren105_027] でも雰囲気で確認すれば『まっいっか……』みたいな感じで押し切れることもある
[ren105_028] 女の子に恥をかかせるもんじゃない。配慮ってやつだな
[ren105_029] なんだよ、老師って
[ren105_030] 嬉しくねぇな……その呼び名。バカにしてんのか
[ren105_031] まあいいや。とにかく余裕を持つこと……って言っても初デートじゃな
[ren105_032] 緊張は仕方ないかもしれないけど、変に焦らないようにすればいいんじゃないの？
[ren105_033] そんなもん人それぞれだろ？
[ren105_034] 深いアドバイスをしたって正解かどうかわかりゃしないんだから。適当なぐらいで丁度いいんだよ
[ren105_035] キスしたい！おっぱい揉みたい！とか考えすぎて、空回りの先走りする方が問題なんだから
[ren107_001] おい将臣、どうしたんだよ？何か問題でもあったのか？
[ren107_002] そうか？それなら……まあ、いいけど
[ren107_003] 結局、いちゃついてるだけだもんなぁ
[ren107_004] 女子の団結力……怖いっ
[ren107_005] ちょっと昔のことを思い出したから……
[ren110_001] なにを身悶えてるんだ、お前？
[ren110_002] あんなに幸せそうな時間を過ごしておいて、何が不満なんだ？
[ren110_003] なのに悩み事？なんか心配だ……
[ren110_004] 将臣と巫女姫様、見てると不安になるんだよな
[ren110_005] 喧々諤々ではないけどさ……なんかもどかしいっていうか、距離感が変っていうか……
[ren110_006] いや、それは大いに結構。キスでもセックスでもすればいいさ
[ren110_007] 問題は、それぐらい仲がいいのに、未だに苗字で呼び合ってるところだ
[ren110_008] お互いを本当に想い合うほど心は通い合ってるのに、どこかで遠慮し合ってる気がする
[ren110_009] 最近の雰囲気を見て、ようやく童貞捨てたか！？と思ってたんだけど……
[ren110_010] よくよく見ると、まだギクシャクしてる部分もある。だから変だと思ったんだよ
[ren110_011] あー……あるある。童貞だもんなぁ、失敗したらどうしようって悩むよなー
[ren110_012] 悩める将臣に一つアドバイスを授けよう
[ren110_013] ＡＶを信用するな。あれはいい感じに作ってあるだけで、マジで真似たら引かれるから
[ren110_014] ダメダメ。いくらマイルドな作りであったとしても、アレはある程度知識と経験のある人たち用
[ren110_015] 全くの初心者が真似ていいものじゃないんだよ
[ren110_016] そういうのは、お互いのペースでやるもんだよ
[ren110_017] 相手の反応を見て、して欲しい事して欲しくない事、弱点に、ベストな力加減を見つけていく
[ren110_018] そうやって、相性を合わせていくもんなの。初心者同士ならなおさらな
[ren110_019] だからその呼び方止めいっ
[ren110_020] とにかく俺が言いたいのは、独りよがりになるのが一番マズイわけよ。わかる？
[ren110_021] そう！それ！相手のことを知ろうって気持ちが大事
[ren110_022] 確かに童貞はコンプレックスかもしれない。けど相手はそこまで気にしてないかもしれない
[ren110_023] 勝手にコンプレックスを抱えて距離を取る。すると相手は嫌われたんじゃないかと心配になる
[ren110_024] そんなすれ違いで別れるなんて、悲しいっていうか虚しいだろ？
[ren110_025] それが心配なの、俺は
[ren110_026] 思ったよりって……。まあ、少しでも力になれたならいいけど
[ren111_002] んー？　んー？　んー？
[ren111_003] いや、なーんか雰囲気違う気がして
[ren111_004] ………。あー、なーるほど。そういうことか
[ren111_005] お前、やりやがったなぁ。昨日の今日とは素早いじゃないか、やるねぇ
[ren111_006] わかってるってー
[ren111_007] 大人の男同士の話だ。お子様は気にするな
[ren111_008] 俺は病原菌かなにかかよ
[ren111_009] おぅ。何にしろ、心配が杞憂で済んだならよかったよ
[ren201_001] ……？どうした？唸り声を上げたりして
[ren201_002] 祖父ちゃんのところ、早く行かないとドヤされるんじゃないのか？
[ren201_003] 先生ならもう職員室に戻ったよ
[ren201_004] 大丈夫か？
[ren201_005] なんだ？恋わずらいか？
[ren201_006] あれ？慌てる様子もなし……なーんだ。違うのか
[ren201_007] お前は一日中呆けてたからな。好きな人のことをずーっと考えてるんじゃないかと思った
[ren201_008] というか、他の理由が思いつかなかっただけだな
[ren201_009] そりゃそうだろ。その人の一挙手一投足が気になって、四六時中考えるぐらいで普通だと思うぞ
[ren201_010] 当然個人差はあるだろうけど。っていうか、やっぱり恋わずらい？
[ren201_011] なら何を悩んでる？
[ren201_012] ……ま、そういうならいいけど。無理せず困ったことがあれば言えよ
[ren201_013] 行くわけないだろっ、祖父ちゃんのトレーニングなんて！
[ren202_001] ………？どうした、女子の方を見つめたりして
[ren202_002] 賑やかだなぁ。もうちょっと声を落とさないと、女子にまで聞こえるぞ？
[ren202_003] あー……教室内での立場がわりとギリギリだから
[ren202_004] それにまあ、下着に興味がないわけじゃないけど……やっぱり布より身体の方がいいな、俺は
[ren202_005] で？なんで見てたんだ？
[ren202_006] おっと……こいつは、いきなりだな
[ren202_007] そんじょそこらにはいないぐらいに可愛いな
[ren202_008] あー……それか
[ren202_009] しかも相手は巫女姫様だ。そんなの止めてこっちを優先に！とも言えんだろ
[ren202_010] 子供の頃からずっとそういう姿を見てきてるから……みんな自然と諦めてるんだ
[ren202_011] 気取ってるとか思ってるわけじゃないけどな、やっぱり距離があるんだよ
[ren202_013] 巫女姫様と言えども、今は普通の神社の娘だろ？
[ren202_014] 鞍馬家ってうちか。まあ祖父ちゃんを見てると納得かもな
[ren204_001] どうした？難しい顔しちゃって
[ren204_002] なんか知らんが失礼だな、お前
[ren204_003] お前本当に大丈夫か？
[ren204_004] 相談なら乗ってやるぞ？
[ren204_005] そうか？まあ、言えないのなら仕方ない……
[ren204_006] 今からか？昼休み終わっちまうぞ
[ren204_007] いや無理だろ、あと１０分ないんだぞ？
[ren204_008] わかった。先生には俺から言っといてやるよ
[ren204_009] ほれ、１分でも早く戻ってこれるように、とっとと行ってこい
[ren206_001] ……質問。なんで２人っきりで食べるの？
[ren206_003] 付き合ってるぅぅ！？
[ren209_001] お？なんだ、２人でデートか？
[ren209_002] いいなー……俺なんて、これから調理場の手伝いだぜ？疲れるから嫌なんだよなぁ
[ren209_003] 出ないことはないけど、俺としては労働に見合ってるとは思えない
[ren209_004] シゲさん、すっげー厳しいしさ
[ren209_006] いきなり何？　その変な質問
[ren209_007] いわくつきねぇ……うーん……
[ren209_008] いわくってことなら叢雨丸だけど、アレは別に呪いのアイテムじゃないしなー
[ren209_009] もういいか？遅刻すると怒られるから
[ren209_010] これぐらい別にいいけどさ。んじゃなー
[ren301_001] そうそう
[ren301_002] そうだぞ、将臣
[ren301_003] もっとも、俺がそれを伝え忘れたかもだが
[ren301_004] 誰が駄兄だ、誰がっ
[ren301_005] まあ、将臣も男だしさ
[ren301_006] そのうち、巫女姫様か常陸さんの着替え覗いて追い出されるだろ
[ren301_007] そしたら、ウチ来ればいいんじゃね？
[ren301_008] ……女子はたくましいな、将臣
[ren301_009] どうした？将臣
[ren301_010] マジで何かいるの？！幽霊か？！学院の七不思議的な？！
[ren301_011] メシまだ残ってるじゃねーか
[ren302_001] なあ、将臣
[ren302_002] 明後日の――えっと、何だっけ？巫女姫様の家でやる宴会のことなんだけどさ
[ren302_003] お前と巫女姫様、それに常陸さんと安晴さんは当然として
[ren302_004] あと、誰が参加するんだ？そんでお終いか？
[ren302_005] うわっ、いきなり厳しい人来たな……
[ren302_006] 俺、遠慮しとこうかな……
[ren302_007] だって酔った祖父ちゃんに、皆の前で説教くらうとかマジ勘弁だぞ
[ren302_008] え？レナちゃんも来るのか？！
[ren302_009] よし、俺も参加するぞ、将臣！
[ren302_010] 小春と同じ店で働いてるからなあ
[ren302_011] 小春がＯＫってことは、無理なんじゃね？
[ren302_012] やべ、次の英語俺、たぶん当てられるんだよ！じゃあな！
[ren302_013] やっぱ、そうなるんすか！
[ren302_014] ちょっ、このスペルなんて読むんだ？！
[ren303_001] うっす、将臣！
[ren303_002] 常陸さんの料理は、美味いしな。またとない機会だ
[ren303_003] それにレナちゃんや巫女姫様も一緒だろ……
[ren303_004] 目移りしちまうぜ、なあ、将臣！
[ren303_005] ――なっ？！嘘吐け、将臣
[ren303_006] 俺からエロ本借りたじゃねーか！
[ren303_007] そんなことねーよ、俺だって優しいよ！ね、レナちゃん
[ren303_008] でしょ！
[ren303_009] く、何が……何が将臣と違うって言うんだ……！
[ren303_010] 嘘くせーぞ、将臣
[ren303_011] 嘘だろ、そんなのいたらこえーよ！
[ren303_012] 良かったー、マジビビった。……
[ren303_013] お前、ヤケに気安いな
[ren303_015] そうなのかよ、祖父ちゃん！
[ren303_016] えっ？！レナちゃんマジで？
[ren303_017] おい、将臣が一人で誰かと会話を始めたぞ……
[ren303_019] うおっ、将臣の手から肉が消えたっ？！
[ren303_020] なあ、ぶっちゃけ、美人なのか？可愛いのか？なあ将臣！
[ren303_021] そんな美少女神様が、将臣とだけ毎日イチャイチャしてるのかよ……
[ren303_022] 人生はなんて不公平なんだ……！
[ren303_023] してるじゃん！さっき、指かじられたんだろう？！
[ren304_001] うめー！常陸さんの卵焼き超うめーっ！
[ren304_002] 何でだよ！
[ren304_003] 小春も納得するなよ！くそっ、何か俺最近アウェーすぎるっ！
[ren304_004] え？マジ？マジで俺のせいなの？！
[ren304_005] やめろ！リアル神様に嫌われたくねー！
[ren304_006] 何せ、ムラサメ様のご主人らしいしな
[ren305_001] それで、また祖父ちゃんに怒鳴られてさ。
[ren305_002] あ、おい、将臣
[ren305_003] 悪いけど、将臣、今日の掃除当番代わって――
[ren305_004] 早っ？！まだ全部言ってねぇよ！
[ren305_005] ヤケに忙しそうだな、アイツ……
[ren306_001] はあ？！町おこし準備会のメンバー？！
[ren306_002] そーいうの、フツー町役場の人達の仕事じゃね？
[ren306_003] メンドーなことになったな……
[ren306_004] 失点なんてねーよ！
[ren306_005] ため息吐くなよ！誰が駄兄だっ！
[ren306_006] ちょっ、おまっ、いきなり飛び道具か？！
[ren306_007] 従兄なんだからもっと優しくしろよ！
[ren306_009] 俺の柄じゃないだろ
[ren306_010] うわ。、祖父ちゃんいませんように……
[ren306_011] うわっ、祖父ちゃん何か怒ってね？怖くね？
[ren306_012] やっぱ、無理なんじゃね？
[ren306_013] 話しすぎて、ノドカラカラだぜ……
[ren306_014] おおっ！レナちゃんの淹れてくれたお茶……！
[ren306_015] 将臣、なあ、今日はこれくらいにしないか？
[ren306_016] 疲れた頭で、これ以上考えてもいいアイデアなんて出ねーよ
[ren306_017] うわっ、お前真面目だな
[ren306_018] な、なるほど……
[ren306_019] 将臣、お前ちゃんと考えてるんだな
[ren306_020] そうだな！
[ren306_021] じゃあ、また明日な
[ren308_002] てことはさ、将臣っ！
[ren308_003] ムラサメ様を俺達でも見られるんだろう？
[ren308_004] 和風美少女のお姿を、俺も拝めるんだろう？！
[ren308_005] 何でだよ！俺にも会わせてくれよ！
[ren308_006] くっ……、まるで彼氏気取りだな！
[ren308_007] な、何っ？！
[ren308_008] マジかよ？！お前、彼女出来ちゃったのかよ？！
[ren308_009] 穂織に来て、そんなに経ってないのに！
[ren308_011] くそっ、俺の彼女候補がまた一人消えた……！
[ren308_012] 二人とも、それって遠まわしに俺には見舞いに来るなって、言ってるんだよね？！
[ren308_013] くそっ、このアウェー感はいつまで続くんだよ……？
[ren308_014] いいから、行けよ
[ren308_015] 歩いて帰っても１０分も違わないだろうに
[ren308_016] はいはいはい！
[ren308_017] ちょっ、スルーはやめてよ、常陸さん！
[ren308_018] ……こっちが挨拶するヒマもなしかよ
[ren308_019] レナちゃん、こう見えても俺も尽くす男だよ！どう？
[ren308_020] 何で？！
[ren308_021] 五月蠅い！ていうかお前いつから居たんだよ？！
[ren310_001] あんたが、いや、あなたがムラサメ様なんすか？！
[ren310_002] え？いや従兄弟だし、まあマブダチっすから……
[ren310_003] あー、そういや、そうすっね
[ren310_004] ……ありえるっすね
[ren310_005] ていうか、最近、あいつばっかモテるのが、気に入らないっす！
[ren310_006] わかりました！
[ren310_007] 廉太郎っす！廉太郎！
[ren310_008] く、いいな、ムラサメ様……
[ren310_009] 俺も実体に戻って、レナちゃんの豊かな胸に、思いっきり顔を……！
[ren310_010] 俺だ
[ren310_011] そう、俺だったのだ！
[ren310_012] 神々の遊び……！
[ren310_013] 俺だ
[ren310_014] ちょっ、それひどくね？！
[ren310_015] 俺はめいっぱい、経済効果を考えてだな……
[ren310_016] そんなもん、やってみないとわからないだろう？！
[ren310_017] 誰が駄兄だっ、誰がっ！
[ren310_018] 見ました。あと廉太郎っす！
[ren310_019] んでさ、何食べる？
[ren310_020] んじゃ、早めに行こうぜ
[ren310_021] 日曜はさすがに混むだろう？これだけの人数座れるかわかんねぇし
[ren310_022] くそっ、俺だって、今に見てろよ……！
[ren310_023] おい、入り口でいつまで突っ立ってんだよ？
[ren310_024] ふぅ、やっと入れたぜ
[ren310_025] ……観光客、マジで減ってるんだな
[ren310_026] いや、それが……
[ren310_027] 俺、今まで何気なく暮らしてきたけどさ……
[ren310_028] 今まで、周囲の大人達にすっげー守ってもらってたんだな……
[ren310_029] もっと前から色々してりゃ良かった。反省だ
[ren310_030] ああ、後は俺達に任してくださいよ
[ren310_031] うん！
[ren310_032] 了解！
[ren310_033] ……正直、停滞してきたよな
[ren310_034] よろしく、頼むぞリーダー！
[ren310_035] いや、俺はちょっと野暮用が……
[ren310_036] たぶん、一生だな！
[ren310_037] おう！
[ren310_038] それって、今かなりヤバイってことじゃね？
[ren310_039] 芦花姉も、毎日元気なさそうだしなぁ……
[ren310_040] はぁ。。っ……。何でこんなことになっちまったのかなぁ……
[ren310_041] いっそ、御神刀をもう一回、岩にブッ刺してあのイベント復活させようぜ
[ren310_043] お前、いくら焦ってるからって、俺は冗談で言っただけだぞ？！
[ren310_044] ムラサメ様的には、どうなんだろうな、それ
[ren310_045] ……しかし、どうなんだろうな……
[ren311_001] 祖父ちゃんの稽古をまた再開する？！マジかよ？！
[ren311_002] いや、まあ、御神刀イベントの復活はいいけどよ……
[ren311_003] 何で、また将臣が祖父ちゃんにシゴかれるハメになるんだ？
[ren311_004] それと町おこしに何の関係があるんだよ
[ren311_005] は？誰がそんなこと言ったんだ？
[ren311_006] いや、それ意味わからねーし……
[ren311_007] ふうん、ムラサメ様のためってことか
[ren311_008] それなら仕方ないな
[ren311_009] まあ、お前の彼女のためなんだから、頑張ってくれ
[ren311_010] じゃあ、俺は陰ながら、応援ってことで！
[ren311_011] え？何だよ？俺は御神刀扱えないから、特訓はしないぞ？
[ren311_012] 無論、付き合う気もないっ！絶対だ！絶対にだ！
[ren311_013] な、何っ？！
[ren311_014] な、なんっだってー？！
[ren311_015] この俺が……サブリーダー……だと……？！
[ren311_016] ねえ！今仕方なくって言わなかった？！言ったよね？！常陸さんっ！
[ren311_017] お、俺にそんな役目は無理だっての
[ren311_018] 俺は女子からの人望はイマイチだからな！
[ren311_019] 嫌だよ、メンドーだし
[ren311_020] いっそ、お前がやってくれ
[ren311_021] あっ、こらっ、痛いだろっ！やめろっ！
[ren311_022] 妹なんだから、大人しく兄の言うことを聞け！
[ren311_023] マジかよ……。まいったぜ……
[ren311_024] グロいのは勘弁してくれよ……
[ren311_025] は、はいっ！
[ren311_026] ――え？
[ren311_027] じ、祖父ちゃん……
[ren311_028] あ、ああ、意外だ……でも
[ren311_029] 俺、やる気出てきたわ、よし、やってやるぞ……！
[ren311_030] 任してください！巫女姫様！ムラサメ様！
[ren311_031] うるせえよ！いきなり萎える呼び方すんなっ！
[ren312_001] おーっす、将臣――って、お前、何、巫女姫様と常陸さんと朝からくっついてるんだよ？！
[ren312_002] イチャラヴか？！朝から主人公補正全開か？！ああっ？！
[ren312_003] お前には、ムラサメ様がいるだろうが！この女好きがっ！
[ren312_004] なっ？！マジかよ……
[ren312_005] お前、ちょっと前まで祟り神と戦うために、祖父ちゃんとトレーニングしてたじゃないか
[ren312_006] そのお前が……？
[ren312_007] うわ。。俺だったら、ぜってーできないわ
[ren312_008] 主人公じゃなくて、良かったぜ……
[ren312_009] 素人がやっても、ちゃっちくなるだけだしな
[ren312_010] 集客のためにやるんだから、なるべく派手にするつもりだ
[ren312_011] あとは、神社でグッズとかも売るといいかもな
[ren312_012] 御神刀スマホケースとか
[ren312_013] 芦花姉は器用だし、大喜びで作りそうだな
[ren312_014] とにかく、イベントのＰＲや設営なんかは、俺達が町内会の人達と協力してやる
[ren312_015] だから将臣、お前は当日、無事御神刀を奉納することだけ考えろ
[ren312_016] 俺、御神刀に選ばれなくて、マジ良かったわ……
[ren313_001] うっす、来たぜ、将臣
[ren313_003] なあ、将臣……
[ren313_004] 俺と常陸さん、どっちが頼りになると思う……？
[ren313_005] まあ、そういうことだ……
[ren313_006] うっせーよ！元々、汚名なんてねーよ！
[ren313_007] くそっ、相手が常陸さんじゃ、たいていの男は敵わねーよ！
[ren313_008] 何だよ！
[ren313_009] レナちゃん、すげー、俺、全然知らなかった！
[ren313_011] 本当か？　ぶっちゃけお前が失敗したら全部がおじゃんだぞ
[ren313_012] ていうか、もし御神刀ポッキリ折ったりしてみろ
[ren313_013] 復活祭どころか、さよなら御神刀パーティになっちまう
[ren313_014] んじゃま、あと１週間、頑張るか！
[ren313_015] 俺は最初からやる気はあるっつーの！
[ren313_016] は？ガイドに俺達も協力すんの？
[ren314_001] いよいよ明日か……
[ren314_002] えーっ？！こいつ愛嬌なんかないっすよ
[ren314_003] 何で、俺だけ外すんだよ？！
[ren314_004] 意味わかんねぇよ！
[ren314_005] すげーな、町おこし大成功じゃん！
[ren314_006] そんで、残った俺と常陸さんは列整理だな
[ren314_007] 一発決めろよ！
[ren314_008] く、将臣の株が女子の間で急上昇かよ……
[ren314_009] くそっ、俺と何が違うってんだよ！
[ren314_010] それは俺には絶対に無理だな
[ren314_011] 自信を持って言える！
[ren315_001] はいはい、列からはみ出さないでくださいよー！
[ren315_002] ちょっ、まっ、押さないで！押さないで！
[ren416_001] 別にいいんじゃないの？俺だって、帰れとは言われてないし
[ren416_002] あー、なるほどなぁ
[ren416_003] そりゃそうなんじゃね？相撲って海外でも有名なんだろ？
[ren416_004] 奇遇だな。実は俺も、そう思ってたところだ
[ren416_005] そうなんすか！言われてみれば、儀式っぽいとこありますね
[ren416_006] ……っ
[ren416_008] へー、日本人でも案外知らないもんだなぁ
[ren417_001] 将臣、お前……！
[ren417_003] だがそのときは、小春と母さん以外、全員男だった！
[ren417_004] なのに人んちで海外の女の子と……しかも二人っきりでお泊まり会を開くとは、このやろう！
[ren417_006] いや、いいんだいいんだ……グッジョブだ！
[ren417_007] 祝福させてもらうぜ
[ren417_008] ち、違うって！ねつ造だっ！！
[ren417_009] おい、小春！俺に前科があるみたいだろう？とんでもない飛び火させるんじゃねえよ
[ren417_010] こ、こえぇ。
[ren417_011] あははは！確かに昨日の、発狂怒っただっけ？それで終わりってわけにいかないよな
[ren417_012] いや、他にも話してた気がするけど……なんだっけ？
[ren417_013] あ！そうそう、思い出しました
[ren417_014] ……全部甘いものだな
[ren417_015] あーそういや、ハリウッド映画で、お前の尻を嫌というほど蹴っ飛ばしてやるとかあるよな？
[ren417_016] 確かに……てか、おを付けていい基準ってなんなんだ？
[ren418_001] 一気に回数が飛んだな
[ren418_002] なに言ってんだ？お前もしてるぞ
[ren418_003] ほーら見ろ、１人だけ格好付けるからだぞ？
[ren418_004] そ……それは言わないでくれぇ！人の黒歴史を掘り返して楽しいのか？
[ren418_005] いや、ただの癖なんじゃないすか？
[ren418_006] 普段話すときの癖が、そのまま電話で話すときも出るんじゃねえかな
[ren418_007] マジで！？
[ren418_008] へ、へー
[ren419_001] てかこれ、そんなに不味いのか？
[ren419_002] へー、だったら俺も１個食べてみようかな
[ren419_003] あははは、いくらなんでも死ぬわけないだろ？
[ren419_004] むしろ、どれくらい不味いか気になってな
[ren419_005] あはは、無駄無駄。必死に止められると、逆に気になってくるだろ？
[ren419_006] うっせ！どれどれ……ん？？
[ren419_008] ああ、飴なのにしょっぱくて苦いけど、楽勝で許容はん、あ？　…………グゲョォッ！！？
[ren419_009] お、オーロラが……きれいな、オーロラが、しゅごぃ。……あれぇ？
[ren419_011] あ、ああ……正○丸と魚の内臓を磨り潰して混ぜ合わせたような味とハーブのような清涼感が同居していた
[ren419_012] なんだ、俺達は健康になっていたのか！無駄に死にかけたわけじゃなかったんだな？
[ren419_013] お前、勇気あるな
[ren419_014] 策士か！ずるいぞ、小春っ
[ren419_015] よしっ、それは俺がもらった！
[ren419_016] 今日はちょうどパンだし、ブルーベリーなら外れはないだろ？
[ren419_017] もたもたしてるほうが悪いんだよ、どれどれ……ん？
[ren419_018] んー……
[ren419_019] いや、不味いとかじゃなくて、なんか想像してた味と違う
[ren419_020] 甘いと思ったら、しょっぱい
[ren419_022] 女子ってやけにパンケーキが好きだよな？　巫女姫様でさえ、そうだったとは
[ren419_023] しかし飯マズはイギリスのイメージだったけどな
[ren419_024] つか、将来苦労するのはお前だろ？
[ren419_025] 飯マズは地味にきついぞ？なにせ、毎日のことだからな
[ren419_026] まさか俺達を騙して、地獄へ引きずり込もうとしてるってわけじゃないよな？
[ren419_027] 懐かしいな、ガキの頃やったようなヤツってことか？
[ren419_028] もちろん俺も参加ってことで
[ren419_029] たまには、妹の働きぶりでも観察してやろうと思ってな
[ren419_030] おーーっ、マジで！
[ren419_031] え？みんな一緒に寝れば、よくね？
[ren420_001] えっ、お……俺も！？
[ren420_002] あ、ああ、そりゃそうだよな、は……はは
[ren420_003] なんか、修学旅行みたいだな？
[ren420_004] そうだけどよ、気分の問題だって、気分の
[ren420_005] ……それによ
[ren420_006] やっぱレナちゃん、お前に気があるっぽいよな？
[ren420_007] だって、男にハグしたのはお前だけだったろ？
[ren420_008] 見えてたんだって。遠くからでも特別な感じしてたしな
[ren420_009] だったら、てっぺんもーらい！
[ren420_011] お、お前、食べる前に言えよ！
[ren420_012] ぐはッ！？またハズレかよぉ、なんで俺だけっ
[ren420_013] おうっ、今度こそアタリを引いてやる！
[ren420_015] 巫女姫様がそう言うなら、間違いないな！
[ren420_016] ……そうだな
[ren420_017] 現実逃避するな。ほら、カード引けよ
[ren420_018] ほ、本当かよ？
[ren420_019] おっ……マジだ、うめええ！トマトソースの方がさっぱりしてるけど
[ren420_020] 香辛料多めの味付けだと、こっちのが美味いかも
[ren420_021] 凄いなっ、今時のサンタ！？
[ren420_022] お前、まさかまだサンタなんて信じてるのか？
[ren420_023] いや、せっかく北欧まで行くなら、サンタの村は絶対外せないだろ？
[ren420_024] 俺もトナカイの橇が、本当に空を飛ぶのか体験してみたいしな
[ren420_025] さて、けどどうするよ？寝るにはまだちょっと早いし、もう一本ＤＶＤ観るか？
[ren420_026] え？なに？
[ren420_027] いや、俺はそんなん……
[ren422_001] お、なんだ？今日は一緒に食べねえの？
[ren422_002] 変わったことしてるなあ
[ren422_003] ひょっとして、いつの間にか女子がいないのもそのせいか？
[ren422_004] しかし、これからはお前と一緒に飯食う機会も減っちまうのかな？
[ren422_005] ははは、まさか！野郎の友達なんていくらでもくれてやりますって
[ren422_006] ただなあ、ああ……将臣がいないと、女子と一緒に昼飯が食えないからな
[ren422_007] なんだよ？どうかし……グエッ！？
[ren422_008] お、おいっ、小春！首の後ろを掴むなって、苦しいだろ？
[ren423_001] お前、そんなキャラだっけ？
[ren424_001] なあ、ひょっとしてお前ら、巫女姫様とケンカでもしてるのか？
[ren424_002] だよなあ、ケンカとは違うっぽいよな
[ren424_003] どっちかっていうと、試合前の控え室？
[ren424_004] なんだよ？やっぱりなんかあるのか？
[ren426_001] なんだ、今度は巫女姫様達が休んでるのか？
[ren426_002] こないだは、お前とレナちゃんが早退してたし
[ren426_004] さっきもなんか、古典の先生に質問したりしてなかった？
[ren426_005] ……お前、よく友達の目の前でイチャイチャできるな
[ren426_006] そうなのか？
[ren426_007] って、絶対イチャイチャしてるだろ！
[ren426_008] お前の普通に対する感覚は狂ってきていると思うが、まあいいよ
[ren426_009] 邪魔しない方がよさそうだしな
[ren426_010] いーよ、男同士でそういうのは
[ren426_011] なんか、将臣が忙しそうにしてるのはわかってるつもりだしな
[ren426_012] それにこないだ言ってたろ？ちゃんと話せるときってのが来たら、話してくれよな
[ren426_013] 俺とお前の間なら、それで充分じゃねーの？
[ren426_014] ハハハ！だから、そういうのいーって
[ren426_015] 俺も新しい彼女できたら、絶対お前より優先するに決まってるしな
[ren426_016] トーゼンっ
[ren426_017] ねえねえ、君、Ｌ○ＮＥやってる？いいじゃんいいじゃん
[ren426_019] ゲッ、小春！？　いてっ、痛いって！　違うんだって
[ren428_001] おー、将臣！　収穫したてのメロン、持って来てやったぞ
[ren428_002] こら、小春！バラすんじゃねえよっ、友達のためだろ、友達の！
[ren503_002] お？いたいた
[ren503_003] いや、お前がここでバイトを始めたって、小春に聞いて
[ren503_004] ……つまんねぇ。せっかく冷やかしに来たのに
[ren503_005] 和紅茶よろしく
[ren503_006] 真似すんなよ
[ren503_008] ぐぬぬ……
[ren503_009] で？もう祖父ちゃんとのトレーニングはやめたのか？
[ren503_010] へー……結構本気なんだな
[ren503_011] そっか……。なら俺もここで働いちゃおうかなぁー？
[ren503_012] なにおう、小生意気なっ
[ren503_013] 嫌がらせのためだけに働くなんて無駄なことするわけないだろ
[ren503_015] なにむくれてるんだ？　可愛くない顔が、余計に可愛くなくなるぞ
[ren503_016] のけ者にはしてないだろ。お前の足が遅くて追いつけないのが悪いんだよ
[ren503_017] そういう時、大抵将臣が慰めに行ってたよな
[ren503_018] そうか？
[ren503_019] お兄様を敬うのなら、少しは優しくしてやってもよいぞ？
[ren503_020] 本当に可愛げのない、ペタン子め
[ren503_021] ブースブース
[ren503_022] そうだ。お前、調子に乗ってるんじゃないよ
[ren503_023] え……それって……結局俺がけなされてるだけなんじゃ……？
[ren503_024] 笑ってんじゃねーよ！
[ren503_025] ……なんか俺ばっかり責められてない？
[ren503_026] ……子供の頃から理不尽な目に遭ってたんだな、俺
[ren503_027] お前は子供の頃から小生意気な奴だよ
[ren503_029] さてと、それじゃあ俺は、そろそろ帰るわ
[ren503_030] んじゃ、また明日な
[ren505_001] んー？何の話だ？
[ren505_002] おはよう、レナちゃん
[ren505_003] で、何の話をしてたんだ？
[ren505_004] げっ……俺には理解不能な世界だ
[ren505_005] そう言われてもなぁ……シゲさん、料理に関してはかなり厳しいもん
[ren505_007] そりゃお前は楽しそうだもんな
[ren505_008] だって最近、家に帰ってからも、田心屋の話ばっかりしてるしな
[ren505_010] 将臣が今日は失敗しなかったとか、助けてもらったとか、働きぶりがよくなってきたとか
[ren505_011] 晩飯の時にそんな話ばっかりなんだから、楽しそうなのが伝わってくるよ
[ren505_012] 俺は本当の事しか言ってないわけだが？
[ren505_013] それだけ、将臣とバイトするのが楽しいって事だろ？
[ren505_015] お前さ、よく鈍いって言われない？
[ren505_016] だろうなぁ……はぁ……
[ren505_017] んー……いや、止めとく。俺が口にするのはフェアじゃない気がする
[ren505_018] さすがになぁ……俺が気軽に言うと、奴もブチ切れるだろうしな
[ren505_019] まっ、俺の言葉は気にするな。とにかく、もうちょっと周りに気を遣ってやれよってこと
[ren505_020] これからかけるかもしれないってことだな
[ren505_021] 結構ヒント出したつもりなんだけどなぁ。やっぱり鈍すぎる
[ren505_022] まっ、だからこそなのかもしれないけど
[ren505_023] いいよ、お前はそのままで。あんま、深く考えなくて
[ren505_024] ただな、なんかちょっと変だな、って思った時にはスルーせずに考えてやれよ
[ren505_025] ああ。今はそれでいいんじゃないか。さて、俺たちも遅刻する前に行こうぜ
[ren507_001] 今日もバイトか？
[ren507_002] お前もよく、あんなの続けられるよな
[ren507_003] あー……それはあるかもな
[ren507_004] いきなり止めたりしたら、太りそうだし
[ren507_005] ぜってー嫌だ
[ren507_006] ああ、じゃあな
[ren507_007] なんだ？
[ren507_008] 小春。？
[ren507_009] ストーップ
[ren507_010] お前の言いたいことは予想がついた。けどな、そういうことは俺の口からは言えない
[ren507_011] 前にも言ったろ、俺が口にするのはフェアじゃないって。だから、多分その質問には答えない
