=== gen (gen) 剧情配音文本 ===
共计 670 句台词

[gen001_002] む
[gen313_020] 将臣、暢気に見とらんで、ムラサメ様を何とかしてくれっ！
[gen313_021] もっと気合いを入れろ、将臣っ！
[gen313_022] いいぞ！その調子だ！
[gen313_023] うむ……！
[gen314_002] よし、やめ……！
[gen314_003] 稽古は全て、終わりだ。将臣
[gen314_004] よくぞ、ここまで耐えた
[gen314_005] 明日の結果はどうあれ、お前は今日までのお前を誇っても良い
[gen314_006] ……ワシにとっても、お前は自慢の孫だ
[gen314_007] ワシは戻る。お前も風邪など引かぬようにな
[gen314_008] ムラサメ様、失礼します
[gen314_009] もったいないお言葉です。では
[gen315_001] うむ、よく言った、将臣
[gen315_002] よくぞ、その境地に達した
[gen315_003] そう、戦のない世には、もう刀は不要
[gen315_004] 御神刀には、これからはゆっくりと穂織の地を見守っていただけば良い……
[gen315_005] ムラサメ様も、人として幸せになってくだされば良い……
[gen315_006] 長い戦の歴史に、お前が終止符を打て、将臣
[gen315_007] はい、ワシの自慢の孫です
[gen316_001] さて、将臣、これで全員そろったわけだ
[gen316_002] 言いたいことがあるのだろう？言うがよい
[gen316_003] では、ワシは祖父ということですな
[gen416_001] 来たようだな。怪我をしたと聞いてるが、大丈夫なのか？
[gen416_002] わかった。走るのは、問題ないんだな？
[gen416_003] ふむ。せっかくだ、リヒテナウアーさんにタイムを計ってもらうか
[gen416_004] ３０周でいい
[gen416_005] スピードも全力の８０％くらいでいい。ただし、ペースは落とすな
[gen416_006] どうかしたのか、将臣？
[gen416_007] ならいいが……？
[gen416_008] なに！？将臣っ……おい、将臣！
[gen417_001] まあ、とにかくみんな落ち着きなさい
[gen417_002] 若い者同士がすることに、周りがとやかく言うべきではないだろう
[gen417_003] 若い者同士がすることに、周りがとやかく言うべきではない
[gen417_004] 騒ぎすぎては、返って自然な気持ちの成り行きを阻害してしまう可能性もある
[gen417_005] 悪いが女将、ここはワシに預からせてもらえんか？
[gen417_006] これは、家庭内の問題でもあるようだからなッ
[gen417_007] ほう、つまりリヒテナウアーさんには指一本触れていないというのだな？
[gen417_008] まずは、その辺りのことをはっきりさせたほうがよさそうだな
[gen417_009] お前の身の潔白を証明するためにも
[gen417_010] いいから、そこにムラサメ様はいないのか？
[gen417_011] うーむ、リヒテナウアーさんの高祖父が若い頃の話なんだろう？
[gen417_012] なら当然、ワシもまだ生まれておらん
[gen417_013] ただ穂織にも、もっと交通を整備しようという計画は何度かあったはずだ
[gen417_014] 機関車の話は不自然ではないだろう
[gen417_015] だが……その時代に外国の方が滞在していたという話まで、聞いたことがあったかどうか
[gen417_016] そういうことなら、こちらでも調べてみるが……
[gen417_018] いや、話の流れでわかってはいる
[gen417_019] だが欠片の共鳴とやらが原因なら、また夜這い紛いのことをしてしまう可能性があるわけだろう？
[gen417_020] それも含め、宿の者にどう説明したものかと思ってな……
[gen417_021] なに？
[gen417_023] いや、気付いていないなら気付いていないで……そのほうがいいのかもしれんな
[gen417_024] おー戻ってきたか！リヒテナウアーさん、これを見てくれんか？
[gen417_025] ほら、同じ姓が３つ並んでいるところだ。英語でさえないようだが、アルファベットとほとんど同じだろう？
[gen417_026] これはリヒテナウアーと読むのではないか、どうだ？
[gen417_027] おおっ、上２つは技師本人と奥方だろうから、娘さんのほうだろうな
[gen417_028] ひょっとしたらあるかもしれんと思ってな
[gen417_029] 倉の中を漁ってみたのだが、先程ようやく発掘したところだ
[gen417_030] 縁だな
[gen417_031] うむ、かつて先祖が泊まった宿で、その子孫であるリヒテナウアーさんが働いている
[gen417_032] そのことを誰も知らんかったというのにだ
[gen417_033] これはもう、縁としか言い様があるまい
[gen422_001] …………っ
[gen422_002] い……いや、お前の練習を見た後、先生方に捕まってしまってな
[gen422_003] 先程まで、碁を打っていたのだが
[gen422_004] 落ち着け、大丈夫だ
[gen422_005] 若いうちには色々あるものだからな
[gen422_006] んんッ、とにかく将臣
[gen422_007] その……お前も男なら、責任を取るか、責任を取れないようなことだけはするんじゃないぞ
[gen422_008] 将臣、お前まさかッ
[gen422_009] 言いたいことはあるが……まあいい
[gen422_010] 若い者の恋愛に年寄りが口を出すべきではないだろうからな
[gen424_001] ようやく持久力もついてきたようだな
[gen424_002] だが、おかげで中途半端に時間が余ってしまったか
[gen424_003] ほう、自分から言い出すとは、ずいぶん気合いが入っているようだが？
[gen424_004] 二人して、なにかあったのか？
[gen424_005] ここへ来て、いろいろ新しいことがわかるようになったとは聞いているが
[gen424_006] いや、その必要はないだろう
[gen424_007] どうやら、これ以上お前に教えることはなさそうだからな
[gen424_008] 当たり前だ、まだまだお前には負けん
[gen424_009] だがお前にはもう、気構えができているようだからな
[gen424_010] 常在戦陣の気構えというほどではないだろうが
[gen424_011] いつでも戦いへ行けるという、男の顔になっているようだからな
[gen424_012] リヒテナウアーさんも、しばらく仕事を休んでくれてもかまわない
[gen424_013] その代わり、将臣を支えてやってくれないか？
[gen424_014] なにを言っている、お前に心配されるほどのことではない
[gen424_015] そんなもの、説明などできることではないだろう？
[gen424_016] 呪いや叢雨丸のことも、皆、おとぎ話だと思っているのだからな
[gen424_017] なに、もしものときはワシが責任を取る
[gen424_018] しばらくなんでも好きにさせてやって欲しいと、頭を下げただけだ
[gen424_019] いいか将臣？目的は常に明確にしておくのだ
[gen424_020] そうすれば迷いは起きん
[gen424_021] 迷いさえなければ、お前なら決して間違いはしないはずだと信じているぞ
[gen424_022] 無論だ。いざというときの気構えさえあれば、本来、武器などいらぬのだ
[gen424_023] 多くの場合、敵はおのれの中にある
[gen424_024] おのれに勝てるのは、おのれの心だけだ。おのれに勝てなければ、実力を発揮することさえかなわぬものだ
[gen427_001] なんでも人手があるほうがいいと言うんでな
[gen427_002] それなら、廉太郎と小春も連れてこようかと思ったんだが
[gen427_003] そういうことらしい
[gen427_004] やはり若い者を連れて来た方が、よかったのではないか？
[gen427_005] むう、ならば仕方ないか
[gen427_006] とにかく、これを押さえていればいいのだな？
[gen427_007] ……バカを言え
[gen427_008] 鍛え方が違う、まだまだお前に心配されるほどではない
[gen427_009] それより、目的を見失うな
[gen427_010] ２人とも、そんな風に思えるのは、君達がまだ若い証拠だ
[gen427_011] 将臣！
[gen427_012] 任せるぞ
[gen428_001] ワシも氏子総代として、可能な限りの寄進をするつもりだ
[gen428_002] 感謝とは金の問題ではないはずだが、形に残し末代まで伝えていくためには必要経費というものがある
[gen501_001] 将臣、よいか？
[gen501_002] 掃除をしていたのか
[gen501_003] うむ。こちらこそよろしく頼む
[gen501_004] 手伝う？
[gen501_005] いや、それには及ばん
[gen501_006] お前にはこれまで苦労を掛けた。むしろ感謝している
[gen501_007] これからは、自分のために時間を使えばいい。こちらのことは気にするな
[gen501_008] リヒテナウアーさんが来てくれて、最低限ながらもちゃんと回っている
[gen501_009] 不測の事態には将臣の力も借りたいが、基本的には気にするな
[gen501_010] ああ、わかっている
[gen501_011] ゆっくり過ごすといい
[gen501_012] なに？アルバイト？
[gen501_013] ふむ。アルバイトか。お前は、やってみたいのか？
[gen501_014] 知り合いの店であろうと、対価をもらう以上、真面目に労働せねばいかん
[gen501_016] いいだろう。お前がやりたいのなら、それで構わない
[gen501_017] 最近のお前は鍛練もきっちり行って、信用できるからな
[gen501_018] 自分で稼ぐというのは、いい経験になるだろうしな
[gen501_019] だが、客商売とは難しいものだ。お前１人の失敗が店全体の失敗として見られることを忘れるな
[gen501_020] では好きにするといい
[gen501_021] それはワシではなく、芦花君に言うべき意気込みだ
[gen502_001] おはよう。では、行くか
[gen505_001] うむ、おはよう
[gen505_002] こちらでの生活にも慣れたか？
[gen505_003] そう言えばアルバイトの方はどうだ？迷惑をかけてはいないか？
[gen505_004] そうか。その自負が慢心にならぬように気を付けるんだぞ
[gen505_005] では、今日も鍛練に行くか
[gen507_001] 気を付けてな
[gen507_002] よし、今日はこれぐらいにしておくか
[gen507_003] それで、バイトの方はどうだ？
[gen507_004] 芦花君の店だな。噂では、かなり賑わっているそうだな
[gen507_005] そうだな。たまには団子ぐらいは食べてもいいかもしれんな
[gen507_006] だがその場合、従業員全員分でないとな
[gen507_007] お前、今日はもう真っ直ぐ戻るのか？
[gen507_008] わかった。芦花君にはよろしく言っておいてくれ
[gen507_009] あと、あんまり遅くならんようにな
[gen507_010] 将臣、なんだ？
[gen507_011] 頼み？お前がか？
[gen510_001] ほう、なるほど。確かに美味いな
[gen510_002] どうだろうか、猪谷さん
[gen510_003] リヒテナウアーさんは、どうだろう？
[gen510_004] うむ、では決まりだな
[gen510_005] この品質であれば、煎餅をお茶請けとして仕入れよう。それに、必要があれば売店に置いてもいい
[gen510_006] 気にするな。情けや付き合いではない。ちゃんと味で決めたことだ
[gen510_007] そうか……将臣がな
[gen510_008] すっかり和菓子屋の人間だな。まあ、打ち込めるものがあるのはいいことだ
[gen510_009] これからも、精進するようにな
[gen512_001] うむ
[gen512_002] ああ、おはよう。小春も一緒なのか？
[gen512_003] そうか
[gen512_004] で？用件は何だ？二人揃って神妙な顔で
[gen512_006] ………
[gen512_007] ………。……で？
[gen512_008] 何故ワシに言う？結婚の話ならば、互いの両親にすべきだろう
[gen512_009] まあ、色々と思うことがあるが……ワシのところに来た以上、２人とも覚悟はしているんだな
[gen512_010] では将臣、ちょっと場所を変えるか
[gen512_011] 男同士の語らいに言葉などいらぬ
[gen512_012] きえぇぇぇぇ！
[gen512_013] どうした将臣。覚悟はしているんだろう？
[gen512_014] 本気だというのならば、ワシから一本ぐらいは取ってみせんか。それともお前の本気とは、その程度なのか？
[gen512_015] こいっ
[gen512_016] 甘いっ！
[gen512_018] ど、どうした、息がっ、ごほっごほっ、息が、上がっているぞ
[gen512_019] それとも、もうお終いか？
[gen512_020] よしっ、こいっ！
[gen512_022] ワシの負けだ
[gen512_023] さすがにもう、手足がまともに動かん。ワシの根負けだ
[gen512_024] 好きにするといい。とはいえ、両親への挨拶は自分たちでするようにな
[gen512_025] 元々、反対するつもりはなかった
[gen512_026] ただお前の本気の覚悟を試したかっただけだ
[gen512_027] 大丈夫だろう。なにせ、ここは“穂織”だからな
[gen512_028] 他の土地から忌み嫌われておる。嫁入りも婿入りも、他から来ることはほとんどない
[gen512_029] もし例外があるとすれば、巫女姫様ぐらいなものだ
[gen512_030] さすがに兄妹での結婚となると法律的にも、町の目も厳しくなるが……
[gen512_031] 従兄妹同士であれば、この町ではよくあった話だ。特に、時代を遡れば遡るほどにな
[gen512_032] とはいえ、絶対に何もないとまでは言えん。だから将臣、もし何かあった時はお前が小春を守ってやるんだぞ
[gen512_033] そう決めたのなら、しっかりと貫くようにな
[gen512_034] ならばいい
