=== miz (miz) 剧情配音文本 ===
共计 516 句台词

[miz004_001] 待たせてしまったようで、申し訳ない
[miz418_035] むしろ私は、今の状況に気持ちが逸るのを感じているんだからね
[miz418_036] ああ、必死に押さえつけなきゃいけないくらいさ
[miz418_037] けど……そうだね、あまりプレッシャーをかけたくはないが、立場やらなにやらで口にできない者もいるだろうから
[miz418_038] 私達はね、ずっと綱渡りをしてきたんだ
[miz418_039] ああ、今の人達には想像しづらいことだろうけど、この呪いが始まった当時はまだ医学というものが充分に発達していなかった
[miz418_040] 本当に想像できているのかい？
[miz418_041] 昔の女性は、１０人に１人は不妊に悩まされていたし、１０人に１人は出産時の事故で亡くなっていた
[miz418_042] だというのに、朝武家には女性しか生まれず、しかも――
[miz418_043] 奇跡か……私には、ただ終わりのない綱渡りを強要されてきたように感じるがね
[miz418_044] もっとも、綱渡りは綱渡りだからこそ続けられたのかもしれない
[miz418_045] だが、最近になってようやく崖の向こう側が見えてきた
[miz418_046] 終わりがないと思っていた綱渡りにも、ゴールが用意されていたのかもしれない
[miz418_047] 陳腐に聞こえるかもしれないが、希望というやつだね
[miz418_048] おそらく私のように気持ちが逸るのを押さえつけている者は、君達が想像する以上にたくさんいるはずだ
[miz418_049] もちろん、最初に言ったようにプレッシャーをかけたいわけじゃない
[miz418_050] 気楽でいてくれた方がいいはずだからね
[miz418_051] さて、もし話しそびれていることや補足があるなら、今のうちに頼む
[miz418_052] 少しでも情報が欲しいのは、事実だからね
[miz418_053] 最初の夢ということは、祟り神に操られていたときに見たものと思っていいのかい？
[miz418_054] 立ち入ったことを聞くようだけど、リヒテナウアーさんのご両親というのは？
[miz418_055] いや、そう思うのが当然だろう
[miz418_056] だが隠された気持ちまで掘り起こす力があるとしたら、やはりただの白い犬ではないな
[miz418_057] 女神の弟だという点からしても、御使いではなく、彼自身も神の一柱なのかもしれん
[miz421_001] 巫女姫様も、なんだかんだでまだ学生だ
[miz421_002] 冷たく感じたとしたら、努めて冷静でいようとし過ぎていたせいだろう
[miz421_003] おそらく、そうでなくては冷静でいられなかったんだ
[miz421_004] まあ、なくはありません
[miz421_005] いや、それほど自信があるわけじゃないんでね
[miz421_006] だったらあまり、希望を持たせるべきじゃないと思ったんだ
[miz421_007] その女神は、玉石から生じたということですが
[miz421_008] 具体的には、大理石のことではないかと
[miz421_009] 大理石というのは、さまざまな鉱物が混じり合ってできているんだ
[miz421_010] ちなみに成分の大半は、石灰石だ。それが白い部分で
[miz421_011] 黒い部分は、瑪瑙なんだよ
[miz421_012] おそらく方解石のことだろう
[miz421_013] これも大理石には欠かせない成分だ
[miz421_014] そのはずです
[miz421_016] いや、だが、だからなんだと言われたらそれまでだろう？
[miz421_017] さっき言わなかったのも、そのためだ
[miz421_018] はい、穂織には伝わっていなくとも、採石場の近くにはまだ多少なりとも伝承が残されている可能性は
[miz421_019] ゼロではないと思っています
[miz421_020] ともかく、私は現地へ飛んでみるつもりだ
[miz421_021] 診療所の方は代わりの者を呼ばなくてはいけなくなるが……行くだけ行ってみよう
[miz421_022] なにもしないよりは、マシかもしれないからね
[miz424_001] おとぎ話は、しょせんおとぎ話だね
[miz424_002] 男が裏切ったのではなく、女が身を引いてしまったのか……
[miz424_003] ああ、ここまで来たら下手に憶測を加えるより、二人の夢見を待つ方が賢明でしょう
[miz424_004] なんだい？
[miz424_005] 確か、最初にリヒテナウアーさんが操られてしまったとき
[miz424_006] 君の家族が出てくる夢を見せられたんだったね？
[miz424_007] 祟り神には、他人に夢を見せる力もある
[miz424_008] なら、憑代の見せる夢へ侵入されても不自然ではないだろう
[miz424_009] はい、そのことも考慮してきたつもりですが……
[miz424_010] 古来、神仏の類が夢を通じて人に語りかけてくるというのは、よくあることだけどね
[miz424_011] 単に二人の関係が進んだことで、神と人の恋物語を読み込むことに成功した、とも取れる
[miz424_012] いえ、おっしゃる通りです
[miz424_013] 私もわからないことを考えるより、今できる対策について話しておきたかったので
[miz424_014] ああ、荒御霊が憑代を通じて力を発揮している以上
[miz424_015] 何らかの方法で憑代に残る怒りや憎しみを解消してやればいいわけだ
[miz424_016] 言い方を変えればね
[miz424_017] だが、それこそ君達の夢見を待つと言わなかったかな？
[miz424_018] 私の言う対策とは、リヒテナウアーさんと有地君が夢から帰って来られなくなった場合のことだ
[miz424_019] ともかく、私の方で命綱になるようなものを用意しようと思ってる
[miz424_020] ただ、まだ時間は掛かってしまいそうだけどね
[miz424_021] まさか、感謝していますよ
[miz424_022] 間に合わなければ、なんの意味もありませんからね
[miz424_023] なんだい？相談があるなら、話すだけ話してくれた方が助かるけどね
[miz424_024] ……ん？
[miz425_001] 私もずっと……我々は、終わりのない綱渡りをさせられているのだと思ってきました
[miz425_002] 今日まで続けて来られたのは、奇跡なのだと
[miz425_003] 朝武家で、お家騒動があったんだよ
[miz425_004] よりによって、叢雲の遺体である玉石を憑代に、白狛を生け贄にして呪詛をかけてしまった
[miz425_005] なんだろう？
[miz425_006] なるほど、いいね……来年の春に間に合わせるとなれば、なかなか忙しくなりそうだけど
[miz425_007] そんな研究なら、今すぐにでも始めてみたいくらいだ
[miz425_008] 君達が夢から帰って来られなくなった場合に備えて、対策をすると言っていただろう？
[miz425_009] そういうことだ
[miz427_001] いえ、事情を説明しても、今からオカルトを受け入れてもらうのは難しいでしょうから
[miz427_002] 充分に危険を認識できない者を儀式へ参加させるのは、さすがに賛成できません
[miz427_003] すでにもう目に入っていることと思うが、今回の儀式ではこれを使う
[miz427_004] この手の儀式は、まんまであるほうがいいんだ
[miz427_005] みんなのイメージを統一しやすくなるからね
[miz427_006] いざというとき、１人１人のイメージがちぐはぐだと力を合わせにくくなるんだ
[miz427_007] ここにいる皆の絆さえ確かなら、たとえ君達が深く意識の底へ沈んでしまっても
[miz427_008] 引っ張り上げることができるはずなんだ
[miz427_009] いいえ、人数が多すぎると、今度はイメージの統一が難しくなります
[miz427_010] それにはやはり、穂織の呪いを正しく認識している必要があるでしょうね
[miz427_011] みんないい覚悟だ、それに水を差すわけじゃないが
[miz427_012] １つだけ、先に断らせて欲しい
[miz427_013] ここまで本格的な儀式は、私にも経験がない。いや、日本中捜しても、そんな人間は１人もいないかもしれない
[miz427_014] 駒川の一族も、呪いを祓うことばかりに意識を向けてきたせいで
[miz427_015] 呪いに関係がなさそうな術ほど廃れさせてしまった
[miz427_016] おそらく私の次の世代になればもう、これからやろうとする儀式は完全に忘れ去られている可能性が高い
[miz427_017] そういうことだ
[miz427_018] だが私は、それを奇跡と信じたい！最初で最後だとしても、ようやく一度だけチャンスが巡ってきたことを
[miz427_019] 他のみんなも油断はしないでくれよ！祟り神がいつ、最後の抵抗をしてきても不思議はないからね
[miz427_020] ぜ、絶対に離すなッ……ぐあッ！？
[miz427_021] ……。っ
[miz427_022] ううっ……心配するな、全員が手を離さない限り……
[miz427_023] いくら祟り神でも、ここからリヒテナウアーさんを連れ出すことはできないはずだ
[miz427_024] 大丈夫と言ったところで、これでは説得力がないだろうね
[miz427_025] まったく……私はときどき自分が大人であることに、嫌気が差すことがあるよ
[miz427_026] いざというとき、足を引っ張る大人にだけは……なりたくないと思ってたはずなんだけどねっ
[miz428_001] 学生諸君？ここも一応、病院なんだ
[miz428_002] あまり騒がないでもらえると、助かるんだけどね
