=== mur (mur) 剧情配音文本 ===
共计 3300 句台词

[mur001_001] ふむ。お主が、吾輩のご主人か？
[mur015_025] そうだな。ご主人だけではなく、ここにいる全員がこうして出会えたのは、運命だったのだ
[mur015_026] 無論だ。レナが欠片を持って来てくれねば、憑代が揃うこともなかったのだから
[mur015_027] まあ、それは今話しても仕方なかろう
[mur015_028] どうしたのだ、ご主人。さっきからボーっとして
[mur015_029] なんだ？
[mur015_030] 今こうして会話できているということは、今すぐ変化は現れまい
[mur015_031] 欠片の影響が消えるとしても、先の話であろうよ
[mur015_032] ふむ。しかしご主人、見えなくなるだけではなく、吾輩が務めから解放される可能性もあるのだぞ？
[mur015_033] さてな。吾輩は神の使いとしてこの世に留まっておる
[mur015_034] もしかしたら、普通の人間としての死を迎えるかもしれんし、他の役目を与えられるかもしれん
[mur015_035] そう寂しそうな顔をするでない。ご主人たちとはすでに浅からぬ縁がある
[mur015_036] ちゃんと幸せになれるかどうかぐらいは見守ってやるとも
[mur015_037] 神とて、それぐらいの望みは許してくれるであろうよ。じゃからなご主人、早く吾輩を安心させてくれ
[mur015_038] わはは。嬉しいこと言ってくれるが、吾輩を言い訳にするな
[mur015_039] あったかもしれんな。ご主人が負の感情に取り憑かれれば、ご主人の魂も穢れた可能性はある
[mur015_040] つまり、心の底から憎しみを抱くようなことはなく、幸せに周りに育てられたということだな
[mur015_041] 小難しい顔をしておるのう、ご主人。気分を変えるためにも夜風に当たって頭を冷やしてみてはどうだ？
[mur101_001] どうした？体調でも悪いのか？今日の動きはいつもより鈍く見えるが……
[mur101_002] 今日は鍛練も一段と気合いが入っておったのう
[mur101_003] 珍しいのう。こんな時間でも芳乃が寝ぼけておらんのは
[mur101_005] 隠されると余計に気になるのう
[mur101_006] ほほう、なるほどのう。そういうわけかー
[mur101_007] むふ。吾輩のことは気にするでない。それよりも、手元を見なくてよいのか？
[mur101_008] ご主人、授業は終わったのか？
[mur101_009] うむ。だからこうして授業中は別行動しておるのだ
[mur101_010] それは……あまり付きまとわぬ方がよいか？
[mur101_011] ぷっ……わはは！さすがに冗談じゃよ。慌てずとも、別に傷ついておらん
[mur101_012] すまぬ。ご主人の言う通りだな。謝罪しよう
[mur101_013] だが、ご主人の側にいたいのは本当のことだぞ。１人でウロウロするのにも飽いておるからな
[mur101_014] その気持ち自体は冗談ではない。ご主人が迷惑でなければ、今のままで過ごしたいと思うのだ
[mur101_015] うむ。では行くか
[mur101_016] もしかして……吾輩も席を外した方がいい展開かのう？
[mur101_017] そうか？わかった、では一緒に行くか
[mur101_018] いやこれは……むしろいつもより厳しいような気がするぞ
[mur101_019] 芳乃が見る度にこんなに激しくなっては死んでしまいそうだな、主に玄十郎が
[mur101_020] ん？ん……おお！そうか
[mur101_021] すまぬ。ご主人、吾輩は先に戻らせてもらう
[mur101_022] ご主人は本当に鈍いのう……芳乃がわざわざ現れたのだ。何か話があるという事ではないか
[mur101_023] まあ、話というのもどうせ今朝のアレのことであろうが
[mur101_024] 気にするな。なんにせよ２人きりの方が色々と話しやすかろう。ゆえに先に戻る
[mur101_025] 吾輩、空気の読める女じゃからな、ふっふっふ
[mur101_026] 細かいことを言うでない。禿るぞ？
[mur101_027] ご主人の親はどうしてそうも悲観的なのだ……？とにかくそういう事だ。ではな
[mur102_001] ご主人。
[mur102_002] もう朝だぞ、ほれ。太陽もすっかり昇っておる
[mur102_003] 久々にご主人を起こしたな
[mur102_004] どうした？祟り神のことに一区切りついて、気が緩んだか？
[mur102_005] ふむ……昨日の夜は特に何もなかったと思うが、どうかしたのか？もしや……
[mur102_006] そうか。ならばよいのだが
[mur102_007] よっ
[mur102_008] しかしどうした？鍛練しておるせいか、いつものご主人なら布団に入ればすぐ寝てしまうであろう？
[mur102_009] ほほう……特別とな？
[mur102_010] 顔が緩んでおるぞ、ご主人
[mur102_011] そのいやらしい顔つき……さては女子の事じゃな？
[mur102_012] それは肯定しているのと同義だぞ
[mur102_013] まあよい。それよりもご主人、早く準備をせねば玄十郎にどやされるぞ
[mur102_014] ご主人、吾輩は先に出ておる。すぐに合流するから気にするな
[mur102_015] ちょっとな。憑代の様子を確認しに行くのだ。ではな
[mur102_016] だから言ったであろう。念のために確認しておるだけで、変化があったわけではないと
[mur102_017] 安晴がちゃんと祝詞をあげておる
[mur102_018] 芳乃も舞の奉納を続けておるのだから、滅多なことにはならんはずだ
[mur102_019] そうじゃな……一日休んだ程度で同じ状況になるとは思わん
[mur102_020] が、放置しておればそういう危険もあるであろうな
[mur102_021] とはいえ、これは未来永劫ではない。今は穢れを少しずつ祓っておるのだ
[mur102_022] それが終えれば、犬神はこの土地の神の使いになることができる
[mur102_023] 怒りを買うような真似をすれば、今度はバチが当たることはあるだろうがな。呪いとは別物じゃよ
[mur102_024] 以前のように祟り神を発生させるようなことにはなるまい
[mur102_025] しかも、思ったよりも早い。何十年もかかる話ではないぞ
[mur102_026] ほう、今日も芳乃の手作りか
[mur102_027] 出来が悪かったのか？
[mur102_028] 芳乃がご主人のために料理か……ふむ……
[mur102_029] まるで花嫁修業じゃな。ヒューヒュー
[mur102_030] 鍛練が終わっても疲労困憊といったことが少なくなってきたな
[mur102_031] それだけ体力が付いたということかのう。ま、昨日みたいなのは例外として
[mur102_032] そうだな。前は完全に日が暮れることも多かったな
[mur102_033] まーた顔が緩んでおるぞ、ご主人
[mur102_034] 気をつけた方がよいぞ。他の者から見れば１人でニヤニヤしておるのじゃから
[mur102_035] 何の話だ？
[mur102_036] ならば今日も先に戻るか
[mur102_037] 若い２人の邪魔をしてもアレじゃからのう……ふふふ
[mur102_038] ではな、ご主人、芳乃
[mur103_001] ………。おはよう
[mur103_003] 昨日？
[mur103_004] 朝の挨拶もしたばかりであろうが
[mur103_005] いや……なんというか、吾輩の方こそすまぬ。邪魔をしてしまったようで
[mur103_007] 芳乃が嘘を吐いておるのか？
[mur103_008] 無理せずご主人を頼った方がいいのではないか？
[mur103_009] なにか嫌われるようなことでもしたのか、ご主人？
[mur103_010] まっ、ギスギスとした嫌悪ではなさそうだし、深くは聞かぬ
[mur103_011] それはそれとして、駒川の者に連絡を入れておいた方が良いのではないか？
[mur103_012] では茉子がおらぬ間、吾輩が芳乃の様子を見ておくか
[mur104_001] うむ、めでたいのう。しかし……
[mur104_002] 吾輩はこれから、しっかり気を遣わねば、どえらい場面に遭遇するかもしれんのう
[mur104_003] だが事実ではないか
[mur104_004] まるで見せつけられておるようじゃのう
[mur104_005] よし、いけ、そこだ、お礼のちゅーをするのだ
[mur104_006] ご主人、男ならば大胆にならねばならん時もあるのだ
[mur104_007] ちぇー。つまらんのう
[mur104_008] じゃがご主人、女子もそういう行為を望むもんじゃぞ？
[mur104_009] むしろ女子の方が――
[mur104_010] わはは。ではな
[mur105_001] どうした、ご主人？起きるなりため息とは景気が悪いのう
[mur105_002] なんじゃ？興奮しすぎて暴走でもしてしまったのか？
[mur105_003] 脱線？よくわからぬが……謝るなら早目に謝った方がよいと思うぞ？
[mur106_001] ん？なにやら騒がしいのう、何かあったのか？
[mur106_002] しかし、髪の毛に食べ物をくっつけるなど、聞いたことがないのう
[mur106_003] あまりに違和感が大きすぎて、対処に困るな、それは
[mur106_004] さすがに今日は、吾輩もついて行かんから、気兼ねなく過ごすといい
[mur107_001] むぅ……これは間違いなく、あの耳じゃな
[mur107_002] うむ。祀られることで確実に穢れは弱まっておるのだ。なのに、何故……？
[mur107_003] 原因もなく呪いが続くわけがないが……問題はその原因だ
[mur107_004] ……まだ何とも言えん。とにかく今は起こり得る事態について考えよう
[mur107_006] いきなり青空の下でとは……やるのう、お主ら
[mur107_007] そうじゃぞ。吾輩、もう数百年生きておるゆえ、それぐらいのことは知っておる
[mur107_008] では何をしたのじゃ？
[mur107_009] やはり人には言えぬような破廉恥なことを
[mur107_010] 安晴の言う通りじゃな。特に芳乃、湯浴みでしっかりと穢れを流した方がよい
[mur107_011] ご主人、耳が生えた時の状況を詳しく説明してくれぬか？
[mur107_013] 山に入ったときに違和感を覚えたり、妙な気配を感じることもなかったのだな？
[mur107_014] ……すまん
[mur107_015] とにかく、今晩吾輩は夜通し憑代を見張ってみよう。今までは、朝と夕方に確認しておっただけだからな
[mur107_016] その必要はない。吾輩は夜を明かしたところで負担にはならぬ
[mur107_017] もし何かあればすぐさまご主人に報告すると約束する
[mur107_018] 大体、吾輩だけではどうしようもないしな
[mur107_019] うむ、頼まれた
[mur107_020] おはよう、ご主人
[mur107_021] 怪しげな反応はなかった
[mur107_022] それは……判断が難しいところじゃな
[mur107_023] あの耳からは以前の呪いと同じ気配がしておる。少なくとも同種の力が働いておるのは間違いないのだが……
[mur107_024] とにかく憑代の監視を続けてみよう。昼の間に変化が起きるとは思わぬが
[mur107_025] それで……芳乃の様子はどうじゃ？
[mur107_026] そうか……。………………
[mur107_027] いや、何でもない
[mur107_028] そう……だな
[mur107_029] じゃが、それこそが芳乃の意志だ。笑おうと、前向きに頑張っておるのだ
[mur107_030] ならばそれを支えてやるのが、吾輩たちのすべきことじゃよ
[mur107_031] ご主人、吾輩は様子を見てくる
[mur107_032] それも含めて、色々だ。何か見落としがないか……山の方も確認してみよう
[mur107_033] ご主人、起きたのだな
[mur107_034] どうした、ご主人？服も着替えぬままで。しかも……
[mur107_035] なにやら剣呑な雰囲気じゃな。叢雨丸まで持ち出したりして一体どうした？
[mur107_036] 事と次第によるな
[mur107_037] 一体何をするつもりなのだ、ご主人？
[mur107_038] 寝言は寝て言え、ご主人
[mur107_040] だから、憑代をもう一度砕くと言うのか？
[mur107_041] 自分がどれだけバカなことを言っておるか、ちゃんと理解しろ、ご主人
[mur107_042] いいや、わかっておらん。憑代を砕いたりすれば、今度はご主人まで巫女姫と同様の呪詛で祟られるのだぞ
[mur107_043] ご主人さえよければすむという話ではない！意味がないと何故わからぬのだ！
[mur107_044] ……それは……その気持ちはわかる。確かに、何ものにも代え難い時間であろう
[mur107_045] じゃがな、ご主人！そんな方法で手に入れた時間では芳乃をより苦しめるだけだ！
[mur107_046] 自分のせいでご主人が呪われたことに、責任を感じぬと思うてか！？
[mur107_047] 憑代を砕いて気付かれぬはずがなかろうが！
[mur107_048] 芳乃は『ご主人と一緒に生きたい』と言ったのであろう
[mur107_049] その時間を芳乃に重荷を背負わせるためだけに使うつもりか？
[mur107_050] さらに厄介なことになるぞ！短慮を起こすでない！
[mur107_051] このっ……たわけがっ！いい加減にせぬか！
[mur107_053] な……何をした、ご主人
[mur107_054] それは確かにそうじゃが。何もなければあのような反応が起きるはずが……
[mur107_055] しかも今の反応、穢れに近い……――まさか！？
[mur107_056] 動くな！
[mur107_057] ……どうやら元に戻ったようじゃな、よかった
[mur107_058] それもあるかもしれんがな、それだけではない
[mur107_059] 今、原因が分かった
[mur107_060] 全てはご主人に取り憑いた怨念が原因だ
[mur108_001] うむ
[mur108_002] ご主人の魂の中に、おそらく憑代の怨念が宿っておる
[mur108_003] 強大な祟り神と戦ったあの夜、ご主人は大量の穢れを浴びたであろう？
[mur108_004] あの時に、怨念がご主人の中に移動したのであろう。あのままでは、消滅させられたからな
[mur108_005] 普通であれば不可能であろうが、ご主人は憑代の欠片を魂に取り込んでおった
[mur108_007] それはない。憑代の外では存在するだけでも力を使う。放っておけば霧散する
[mur108_008] そのはずだったのだ。本来であれば
[mur108_009] ご主人と芳乃が気持ちを通わせ合い、深く繋がったからであろうな
[mur108_010] おそらくは……接吻をした際にでも、芳乃の魂に気付いたのだ
[mur108_011] 憎むべき対象に気付き、思念を維持できなくなることも気にせず力を呪詛に注いでおるのだ
[mur108_012] ゆえにご主人、今さら憑代を砕いたところで何の意味もないということだ
[mur108_013] そう責めるな。ご主人は、怨念の憎しみの煽りを受けてしまったのだ
[mur108_014] 短慮を起こしたのも、全ては怨念のせいじゃよ
[mur108_015] いくら強力な怨念であろうと、所詮は残留思念にすぎん。魂はあくまでご主人の物だ
[mur108_016] 意思を強く持っておれば、今回のような影響を及ぼすこともあるまい
[mur108_017] うむ。だがそれでは……芳乃の身体が衰弱するのが先か、怨念が消滅するのが先かの危険な賭けになる
[mur108_018] それもない。怨念と繋がりを持ってしまった以上、もはや物理的な距離は関係ない
[mur108_019] とはいえ、接吻のような接触は控えた方がいいであろうな
[mur108_020] あ、もちろん、男女のまぐわいもじゃぞ？
[mur108_021] 馬鹿を言うでない。そんなことをすれば、ご主人の魂まで傷ついてしまうわ
[mur108_022] 同様に、神力を魂に流し込むこともできんからな
[mur108_023] それは現実的ではないと思うがな
[mur108_024] な、なんじゃ、突然……
[mur108_025] 確かにそうじゃな
[mur108_026] 人の声……もしや、討たれた長男のことを言っておるのか？
[mur108_027] 憑代に、人間の怨念が共に……？
[mur108_029] 憑代が怨みある長男の血を浴びたとすれば、２つの怨念が混じり合った可能性はある
[mur108_030] もし、これらの推察が正しいとすれば……ご主人の魂から怨念を引きはがせるかも
[mur108_032] 怨念がご主人の魂に逃げ込んだのは、叢雨丸の力で消滅させられそうになったからだ
[mur108_033] 他よりマシとはいえ、このままでは消滅してしまうことに変わりはない
[mur108_034] ゆえに、ご主人の魂よりも適した逃げ場を整えてやれば……
[mur108_047] どうであった？
[mur108_048] ではやはり最悪を想定しておいた方がいいであろうな
[mur108_049] 決行は今晩だ
[mur108_050] 今は安晴が憑代の祈祷を行っておるところだ
[mur108_051] 問題ない。宿しておる犬神の気配はそのままだ。憑代に逃げ込むであろう
[mur108_052] じゃが、いざ宿ろうとしても、清められた憑代では以前のようにはいかぬ
[mur108_053] 憑代に宿れず、ご主人の魂にも戻れず、行き場を失いそのまま消失……というのが理想的ではあるが
[mur108_054] 清めるのは憑代だけではない。本殿そのものも清めておきたい
[mur108_055] じゃがその前に、芳乃自身も身を清めておくように
[mur108_056] ご主人もだぞ。怨念が剥がれやすくするためにも、しっかりと身を清めるのだ
[mur108_057] そして何が起きてもいいように、叢雨丸を忘れるな
[mur108_058] 危険だな。じゃが……安晴の気持ちも、理解はできる
[mur108_059] 呪詛に苦しむ人間の側で、ずっと支え続けてきたのはあやつだからな
[mur108_060] それに安晴は神主だ。祓いもできるし、祝詞もあげられる
[mur108_061] 祟り神が相手でなく、呪詛が相手であれば、安晴の力が必要になることもあるやもしれん
[mur108_062] では行くとするか
[mur108_063] 準備はすでに整っておる
[mur108_064] 憑代を手にして意識を繋げる。そうすれば、怨念が反応を示すはずだ
[mur108_065] それほど難しい話ではない。憑代の感覚に集中すれば、勝手に繋がるであろうよ
[mur108_066] 怨念が魂から剥がれるとき、ご主人は一時的に無防備になっておる
[mur108_067] もしもの時には、お主らが頼りじゃぞ
[mur108_068] 心の準備はよいか、ご主人
[mur108_069] ご主人！？
[mur108_070] そうではない。自分の身体を見てみろ
[mur108_071] 怨念だ。憑代に反応して、ご主人から剥がれたのだ
[mur108_072] まだ早い。怨念が全て出るまでは待つのだ
[mur108_073] 憑代を離せ、ご主人！
[mur108_074] ここまでは狙い通りだ……このまま、消滅すれば
[mur108_078] 意識を保て、呑みこまれるな！
[mur108_079] なっ、何事だ！？
[mur108_081] 安心しろ。呪詛は消えた。芳乃が勝ったのだ
[mur108_082] そうじゃな。愛し合う２人の邪魔をするなど言語道断
[mur108_083] ……ぷりん……いいのぅ
[mur108_084] なにかいい方法が見つかるといいんじゃがなぁ……
[mur109_001] ご主人、顔がゆるゆるじゃな
[mur109_002] あー、あついあつい
[mur109_003] それは大胆じゃのう
[mur109_004] 吾輩もちゃんと席を外すからな。気にするな
[mur110_001] どうした、ご主人。何やら浮かない顔をしておるな
[mur110_002] 芳乃と何かあったのか？
[mur110_003] それは結構なことだ
[mur110_004] しかしならば何故、浮かない顔をしておるのだ？
[mur110_005] あ！こらご主人、吾輩を置いて行くな！
[mur110_006] それで……これは一体何の集まりなのだ？
[mur110_007] つまり、学院では口にはできぬ話題なのか？
[mur110_008] もしや、呪いのことで何か気になることが――
[mur110_009] しかも毎日な
[mur110_010] 幸せなのはいいことだが、であれば何に悩む？もしや、まぐわいのことか？
[mur110_011] そう言えばレナは、そういう話が苦手であったな
[mur110_012] で、どうなのだ、芳乃？ご主人とのことに恐怖を抱いておるのか？
[mur110_013] なるほど。それで身動きが取れずに悩んでおるというわけか……
[mur110_014] ふむ……うむ……むむぅ……――ぷっ
[mur110_015] ぷははは！やはりダメじゃ、我慢できん。わははは！
[mur110_016] すまんすまん、芳乃を馬鹿にしたつもりはないのだ
[mur110_017] お主、接吻しておる時に耳が生えるかどうか不安に思っておるのか？
[mur110_018] 思っておらんはずだ。表情を見ておればわかる
[mur110_020] まあ、多少誇張はしたかもしれんが、丸きり嘘というわけでもない
[mur110_021] そして接吻の余韻に浸ってから、その不安を抱く
[mur110_022] つまりだな、芳乃が今感じておる不安は、自分への言い訳だ
[mur110_023] うむ。ズバリ、芳乃はご主人と接吻をしたいのだ。そして、まぐわいたいとも思っておるのだ！
[mur110_024] 芳乃はそんな自分の劣情を恥じた。その劣情に理由をつけた。それが、呪いの反応という訳だ
[mur110_025] 本当に不安に思っておるなら、あんな頻繁に接吻したりせぬよ
[mur110_026] ご主人への想いを持て余しておるのだ
[mur110_027] お主意外とアレだな。あー……そうそう、むっつりすけべぇというやつじゃな
[mur110_028] 経験談ではないのだな……
[mur110_029] ともかく！恥じる必要はないぞ、芳乃。それにご主人はその程度で、芳乃への気持ちを変えたりせぬ
[mur110_030] そう言えば……ご主人はご主人で浮かない表情をしておったな
[mur110_031] んー……もしかすると、芳乃の気持ちに気付いておるのかもしれんぞ
[mur110_032] だが言い訳とまでは見抜けず、芳乃の不安に配慮しておるのかもしれん
[mur110_033] 強引なようでヘタレという、面倒なヤツじゃからな、ご主人は
[mur110_034] このままでは勝手に身を引いてしまうかもしれんな。自分といては不幸になる、と
[mur110_035] では手遅れになる前に、芳乃の本心を伝えねばならん
[mur110_036] 親密になることに不安を抱いてはいない。むしろ望んでいると、ご主人にわからせるのだ
[mur110_037] そういうことは、授業で習うのではないのか？
[mur110_038] まあ、純粋無垢だと思っていた相手にそこまでされると、さすがのご主人も引くかもしれんしな
[mur110_039] そうじゃな。具体的な内容は、ご主人に任せればよい
[mur110_040] 芳乃はまず、ご主人とのことを望んでおると伝えねばならん
[mur110_041] では今度は、吾輩が初夜という儀式の行い方を伝授しよう
[mur110_042] 初夜という儀式には正装で挑まねばならぬ
[mur110_043] 下着はなるべく新しく、気合い入れて！清らかな白が望ましい！
[mur110_044] なければ薄い桃色など淡い色を選ぶのだ。だが茶色はいかんぞ！絶対に茶色だけは避けるべし！
[mur110_045] そして挨拶は座礼が基本。それから『処女をもらって下さい』とお願いをする！
[mur110_046] これが正しい初夜だ！！！
[mur110_047] ――くちゅんっ
[mur110_048] 風邪はないから、誰かが噂しておるのかもしれんな
[mur110_049] 別にからかったわけではない
[mur110_050] 芳乃のような知識のない者に“その場の流れ”や“空気を読め”と言っても、逆に竦んでしまうのがオチだ
[mur110_051] むしろ“こうするのだ！”と手引きを与えた方がよい
[mur110_052] ご主人はおそらく、清楚な色合いの方が好みじゃよ。なんせ童貞じゃしな
[mur110_053] 問題ない。ご主人ならば、あれでグッときておる。間違いない。なんせ童貞じゃしな
[mur110_054] 今頃は組んず解れつしっぽりな夜を過ごしておるに決まっておるとも
[mur110_055] それにだなぁ……吾輩からすれば、お主の知識の方が問題があると思うぞ？
[mur110_056] あのまぐわいの知識だ。処女があのようなことを口にするのは如何なものか？
[mur110_057] そういうものかのう……？
[mur111_001] いい加減、聞こえておることを教えてやるべきであろうか？
[mur111_002] な、なんじゃ、どうした？そんなに怖い声を出して
[mur111_003] 謀るとは、穏やかではないのう
[mur111_004] 確かに、絶対の約束事ではないが、冗談と言うわけでもない
[mur111_005] 実際、昨日は上手くいったのであろう？
[mur111_006] ご主人ならば、アレでツボにはまると思ったのだ
[mur111_007] 芳乃も誘い文句をどう口にするか困ると思ってな。ズバリと示したまでだ
[mur111_008] 何にせよ、落ち着くべきところに落ち着いて、よかったよかった
[mur111_009] 少しは落ち着いたらどうなのだ、ご主人
[mur111_010] 何をそんなに驚くことがある？今さらではないか
[mur111_011] なぜそんなことを確認するのだ？
[mur111_012] 今夜は新月だぞ
[mur111_013] ……はぁ……理由が雑すぎるぞ、ご主人
[mur111_014] 辛気くさいのはよせ。吾輩は、誤魔化したいならもっと上手く誤魔化せと言っておるだけだ
[mur111_015] まあよい。で、吾輩はどれぐらい帰って来ぬ方がいいのだ？２時間程か？それとも、一晩か？
[mur111_016] なんと！？ご主人、いくらなんでも早すぎではないか？
[mur111_017] いや、ご主人が早いのはこの際仕方ないとして
[mur111_018] せめて前戯は長めにとった方がよいと、吾輩思ひ候
[mur111_019] そうか。ならばよいが……ではまあ、適当にふらふらして来よう
[mur113_001] どうしたのだ、ご主人？
[mur113_002] いいや、見ておらんが……どうかしたのか？
[mur113_003] ふむ。買い物か何かに出ておるのであろう。心配し過ぎではないか？
[mur113_004] ここの所、四六時中ずっと一緒じゃろう？
[mur113_005] もう少し落ち着かねば、生活に支障をきたしてもしらんぞ？
[mur113_006] と言っても……芳乃の方は、それなりに落ち着いておるようだが
[mur113_007] 順調であるのは、非常にいいことではあるがな
[mur113_008] ダメじゃなこれは
[mur113_009] 懐かしいのう
[mur113_010] 確かにいい笑顔だ。とても幸せそうな顔をしておる
[mur113_011] これはおそらく結婚する前だな。撮ったのは安晴であろう
[mur113_012] じゃが、急にどうしたのだ？秋穂の写真など出してきて
[mur113_013] うむ、それは間違いない。秋穂は１人で過ごすよりも、誰かと一緒におる方が好きだったからな
[mur201_001] 意外と涙脆いやつなのだな、玄十郎は
[mur201_002] ほう、そうなのか。それはまた意外な……最初の頃は涙で枕を濡らしておったくせに
[mur201_004] ご主人
[mur201_005] 実はご主人に、伝えておかねばならんことがある
[mur201_006] そう深刻な話ではない。吾輩がちょっと神経質になっているだけ……と思ってはいるのだが
[mur201_007] 例の呪いについての話だ
[mur201_008] それはない
[mur201_009] ――はずだ。おそらくない、と吾輩も思っておるのだが……
[mur201_010] 正直に打ち明けよう。情けないが、あくまで吾輩は叢雨丸の管理者
[mur201_011] 呪いに関しての知識は、駒川の者よりも持ち合わせておらぬ
[mur201_012] 前例のない状況では、何が起こるか吾輩にも想像がつかぬ
[mur201_013] 憑代を集めて、獣の怒りは鎮まった。しかし、憑代に封じられておる怨みまで晴れたわけではない
[mur201_014] つまり、厳密には穢れはまだ残っておるのだ
[mur201_015] いや落ち着け。そうは言っても、憑代を使える術者はおらん
[mur201_016] それに神社に祀られ、安晴が毎日祝詞を上げることで、着実に穢れも祓われておる
[mur201_017] 問題がなければ……そうさな、例えばもう一度砕いたり、放り捨てたり
[mur201_018] 獣の怨みを買うような真似をしなければ、このまま平穏に過ごせるはず……だと、思う
[mur201_019] ……残念ながら、その通りだ
[mur201_020] あくまで万が一に備えて、心に留め置いて欲しいというだけだ
[mur201_021] もしご主人が町を出たいと思っているのならば、それを理由にするのは……少々卑怯かと思ってな
[mur201_022] そ、そうか。ならばよいのだ
[mur201_023] 吾輩もご主人と一緒におるのは嫌いではないからのう
[mur201_024] 芳乃はようやく呪いの重圧から逃れたのだ
[mur201_025] 些細なこととはいえ、不安を抱かせるようなことを告げていいものかどうか……
[mur201_026] 安晴ならば薄々は気付いておるはずだ
[mur201_027] 毎日祝詞をあげなければならぬと言われた時点で、おおよその察しはついておろう
[mur202_001] ん？妙な気配がすると思えば、茉子ではないか、天井裏で何をしておるのだ？
[mur202_002] なんじゃ？一体どうしたのだ？
[mur203_001] おはよう、ご主人
[mur203_002] まだ眠そうじゃのう
[mur203_003] そう言えば、茉子の代わりに色々しておったな
[mur203_004] 茉子の姿がないな
[mur203_006] この様子じゃと掃除もまだのようだな。今日は来ておらんのではないか？
[mur203_007] それどころか、遅刻自体が初めてだ
[mur203_008] 常陸家の者は代々生真面目に朝武家に仕えておる者ばかりじゃよ
[mur203_009] 本人から聞いたのか？
[mur203_010] その心配は無用だぞ。知っておるのは当事者の常陸家、朝武家を除いても片手で数えられる程度
[mur203_011] 芳乃が茉子に嫌がらせをしておると思うか？
[mur203_012] 大抵の者は、あの例の言い伝えの事実も知らんしな
[mur203_013] とはいえ、正直に言えば……色々と苦労しておる時期もあった
[mur203_014] だが昔のことだ。朝武家に対する献身の甲斐あって、その話は禁句になり、町の記憶からも薄れていった
[mur203_015] おそらくな。茉子だけでなく、代々常陸家の者には吾輩の姿が見えておった
[mur203_016] もうよそう、ご主人。全ては終わった話だ
[mur203_017] ぐっすり眠っておるのではないか？
[mur203_018] 家事をせぬ日などなかったからな。身体が今までの疲れを取ろうとしておるのかもしれん
[mur203_019] 祟り神に加えて、野犬にでも襲われたりしてみろ。たまったものではないぞ
[mur203_020] しかし……
[mur203_021] 随分となついておるのう。少なくとも野犬ではなさそうだ
[mur203_022] ほう、随分とご主人になついておるのう
[mur203_023] この暴れっぷり。どうやらご主人が預かるのが、一番よさそうじゃな
[mur203_024] 安晴と芳乃であれば、まあ大丈夫であろう
[mur203_025] 少なくとも、動物嫌いという話は聞いたことがない
[mur203_026] 拾ったときは、かなり元気だったのだがな
[mur203_027] 吾輩にはションボリしておるようにも見えるがのう
[mur203_028] 動物はその手の気配に鋭いとも聞く。見えておっても不思議ではないかもしれぬ
[mur203_029] しかし、こやつもしや……ジー……
[mur203_030] 腹を空かせておるのではないか？
[mur203_031] まだ来ておらんのか？
[mur203_032] ふむ……湯浴みが嫌いなのかのう？
[mur203_033] やはり野犬ではなさそうじゃな
[mur203_034] ほう、これはまた……真昼間からやるもんじゃのう
[mur203_035] それで、一体何がどうなっておるのだ？
[mur203_036] おそらく、まだ残っていた穢れであろうな……
[mur203_037] 身体を洗われておる最中に、人間の姿に戻ったというわけじゃな
[mur203_038] それなのだが……
[mur203_039] すまん！芳乃と茉子には隠していることがあったのだ
[mur203_040] いや、再びと言うよりも……新たに起きたと考えるべきであろう
[mur203_041] 耳が生えることはあっても、身体ごと犬になったのは初めてのことじゃからな
[mur203_042] それは……人を呪わば穴二つというものかもしれぬな
[mur203_043] 憑代に封印された怨みは、首を斬り落とされた怨みだ。それを呪術で制御しておった
[mur203_044] しかし、その制御をする者がおらぬとなれば……怨みはその血を引き継ぐ、常陸家の者を襲う
[mur203_045] 呪いとは……そういうものなのだ
[mur203_046] 祟り神を祓うようにはいかん
[mur203_047] 獣と接触した時に、何か思念を感じなかったか？呪いを解く手がかりになるような、何かを
[mur203_048] となると……うーむ。すまん、吾輩ではよくわからぬ
[mur203_049] なんじゃと？
[mur203_050] そ、そうなのか……すまん……吾輩、少々先走ってしまったようだ
[mur203_052] ハッキリ答えぬか！
[mur203_054] 恋について考えておると、祟り神が反応……するものなのか？
[mur203_055] 獣が……誰かを好きになりたいと、伝えてきたのか？
[mur203_056] 吾輩の予想はすでに外れておるからのう
[mur203_057] ……わかった
[mur203_058] だがその前に一つ確認をしておきたいのだ、茉子
[mur203_059] 獣の意思は“恋をしたい”、“好きになりたい”と言っておったのだな？
[mur203_060] であれば、獣が反応したのは恋の感情ではなく“誰かを好きになりたい”という欲求に対してではないか？
[mur203_061] 獣が恋をしておったのならば、茉子が感じた“好きになりたい”という意思はいささか妙だ
[mur203_062] 細かい事情までは分からぬが、獣は恋というものを知りたいと思っておる
[mur203_063] そして折り悪く“恋をしたい”と願う茉子が現れる
[mur203_064] 呪いというよりは……“取り憑かれた”と言うべきかもしれぬな
[mur203_065] 普通なら、憑依されてもこんなことにはならぬが、獣の力が強すぎる。ゆえに――
[mur203_066] そこについては問題ない。取り憑かれるということは、茉子の魂と獣の魂が繋がっておるということだ
[mur203_067] 茉子が恋をすれば、自然と獣も恋を知ることになる。つまり――
[mur203_068] その欲求に従って、恋をすればよいのだ！
[mur204_001] なーにをしておるのだ、ご主人
[mur204_002] ぶらじゃーを手にして感慨深そうに……吾輩、正直引いておるぞ
[mur204_003] そうか、また犬になってしまったか
