=== koh (koh) 剧情配音文本 ===
共计 1138 句台词

[koh001_001] どうしたの、お姉ちゃん
[koh501_050] ここに、頼りになる先輩もいるからね、えっへん！
[koh501_051] お兄ちゃんがいてくれたら私も嬉しい！
[koh501_052] あっ、お客様だ。いらっしゃいませー！
[koh502_001] おはよーございまーす
[koh502_002] 鞍馬小春です。よろしくお願いします
[koh502_003] 年下だけど、このお店では先輩だから、何かあればいつでも頼るように、なんちゃって……えへへ
[koh502_004] 何はともあれ、よろしくね、お兄ちゃん
[koh502_005] 従兄なんです
[koh502_006] プリン、３つお願いします。あと、和紅茶２つと抹茶１つ
[koh502_007] はぁ……ようやく、山は越えたね
[koh502_008] はーい
[koh502_009] ほうじ茶と抹茶おねがいしまーす
[koh502_010] ありがとうございましたー
[koh502_012] んん？　……あっ
[koh502_013] 抹茶のアイスクリームに白玉団子、きな粉のクッキーなどをトッピングした彩り豊かなパフェになっております
[koh502_014] 甘すぎるのが気になる方でも、抹茶のパウダーをご用意させていただきますので、お好みの味にできますよ
[koh502_015] 畏まりました。少々お待ちください
[koh502_016] 仕方ないよ。初日だもんね。それに急に仕事をすることになったんだから、わからないことも多いよね
[koh502_018] その分は、先輩となった今こそ返すときだから。それに、お兄ちゃんに頼られるのは悪い気がしないしね
[koh502_019] わからないことがあったら、何でも私に聞いてくれていいよ
[koh502_020] ふっふーん、いつでもどうぞ
[koh502_021] じょ、冗談だよ。そんな真面目に言わないでってば
[koh502_022] それにね……お兄ちゃんと一緒に働けて、楽しいから
[koh502_023] お姉ちゃんやお兄ちゃんと一緒に働いていると、昔みたいで楽しいから
[koh502_024] あのバカ兄はどうでもいいの。お店で働くと迷惑をかけるだけなんだから
[koh502_025] あ、はーい
[koh502_026] それじゃあ私は、ご注文を通してくるね
[koh502_027] お疲れ様です
[koh502_029] お兄ちゃん、何してるの？
[koh502_030] なに……？盗撮……？
[koh502_032] そうであることを切に願ってるよ、身内としては特に
[koh502_033] で？お兄ちゃんは、何を撮ってたの？
[koh502_034] メニュー？ふふふ、そっか、よかった
[koh502_035] お兄ちゃんがちゃんと続けるつもりになってくれて嬉しいなって
[koh502_036] これからも、よろしくね、お兄ちゃん
[koh502_037] 先輩……先輩……ふふっ、いい響きだね
[koh502_038] お疲れ様、お姉ちゃん
[koh503_001] お兄ちゃん
[koh503_002] だから今日はシフトじゃないって言ったのに
[koh503_003] あと冷やかしとかはお店に迷惑だから止めて
[koh503_005] 私も和紅茶で
[koh503_006] 真似したわけじゃないもん
[koh503_009] えぇー、止めてよ！私ヤだよ、廉兄と一緒に働くなんて
[koh503_010] ぶぅー……
[koh503_011] 余計なお世話ですーっ！廉兄は昔から意地悪で、すぐに私のことをのけ者にするんだから
[koh503_012] あの頃からお兄ちゃんは優しくて、廉兄は意地悪だったよね
[koh503_013] どこか一か所でも敬えるところを作ってから仰っていただけますか、お兄様
[koh503_014] ぺ、ペタ――ッ！
[koh503_015] バーカバーカ
[koh503_016] やーい、怒られてやんのー
[koh503_017] うっ……ごめんなさい……
[koh503_018] 理不尽じゃないと思う。むしろ自業自得だよ
[koh503_019] はーい
[koh503_020] じゃあ私も、もう少し
[koh503_022] 多分だけどね。バカな分というかなんというか、寂しがり屋だったりするから
[koh503_023] なに？
[koh503_024] そりゃね……不本意ながらも兄妹だから、少しぐらいはね
[koh503_025] え？私？
[koh503_026] そんなの思ってるわけないってば！むしろ……嬉しいぐらいだよ
[koh503_027] でも、また置いて行ったら許さないけど
[koh503_028] お兄ちゃんも優しかったけど……結局私を置いて遊びに行ってたもんね
[koh503_029] ……反省してる？
[koh503_030] それなら、許してしんぜよう
[koh503_033] ……お兄ちゃん……えへ、えへへ……そう言われると、なんか背中がむずむずしちゃうね
[koh503_034] あっ！でも、廉兄は含めなくていいから。お兄ちゃんとお姉ちゃんと、私の３人組でいいよ
[koh503_035] お兄ちゃんがそう言うのなら……まあ、仕方ないか
[koh503_036] でもね、お兄ちゃんが残ってくれて、一緒にアルバイトできて本当に嬉しいよ
[koh503_037] アルバイトに関しては、私の方が先輩なんだから
[koh503_038] うむ。よきにはからえ
[koh503_039] え！？そ、そうなの！？
[koh503_040] ぅぅっ……しまったぁ、間違えちゃうなんて……恥ずかしい……
[koh503_041] やめて言わないで辱めないでぇぇ！
[koh503_042] 笑わないでよ、もう！お兄ちゃん、ちょっと見ない間に意地悪になってない？
[koh503_043] ……意地悪されたあとだと、からかうために言ってる気がしちゃう
[koh503_044] そう思うのに……嬉しいと思っちゃうんだから……我ながら単純だよね、あはは、えへ、えへへ
[koh503_045] う、うん……ありがとう、お兄ちゃん。えへ、えへへ
[koh503_046] うん？なんでしょう？
[koh503_047] ほうほう、なるほど。お兄ちゃんって本当に真面目だね
[koh503_048] でもそういうことなら、お姉ちゃんに話せばタダで味見をさせてもらえるんじゃないかな？
[koh503_049] え？どうして？
[koh503_050] お兄ちゃん……なんか凄いね
[koh503_051] うーん……身近な比較対象が、どうしても廉兄になっちゃうからかな……？
[koh503_052] 人気メニューかぁ……そこまで人気が偏ってるわけじゃないんだよね
[koh503_053] このお店の客層はね、日本の人と外国の人が大体半々なの。だから人気もばらけちゃって
[koh503_054] でも……そうだね。とりあえず、ベーシックなのはあんみつじゃないかな？
[koh503_055] 餡子に白玉、ゼリーと簡単な果物なんだけど、白玉やゼリーは、他の商品にも使われてるでしょ？
[koh503_056] 餡子もね、とっても美味しいんだよ
[koh503_057] どうしたの、これ？もらいものか何か？
[koh503_059] 私も話で聞いただけだけど……若い頃はむしろ、そっちの方で修行してたらしいよ？
[koh503_060] でしょう？でしょう？実は、この美味しい甘味の側で働けることも……アルバイトを始めたキッカケだったりして
[koh503_061] お兄ちゃん、女の子に体重の話題を振らないで！
[koh503_063] ―――ッ
[koh503_064] おっ、おおおおっ、お兄ちゃん、そ、それは、ダメだよ
[koh503_065] だってほら……そのスプーン……お兄ちゃんが、く、口をつけた物じゃない
[koh503_066] いいよいいよ。ほら、練り切りもあるしね
[koh503_067] お兄ちゃんの言う通り……気をつけないと、すぐにプニプニになっちゃうから
[koh503_068] 変わるの、全然変わるの。そんなに美味しいあんみつを食べちゃったら、止まらなくなっちゃうから！
[koh503_069] うー……廉兄にも、よくバカにされるんだよね。食い意地が張ってるって……
[koh503_070] みたいだね
[koh503_071] 意味？
[koh503_072] なにか意味があるの？
[koh503_073] へー……これは、どっちだろう？
[koh503_074] 私……今までそういうこと、全然気にしてなかった
[koh503_075] ……はぁー……
[koh503_077] あったよ。ほら、お祖父ちゃんに剣道の練習をつけてもらってたときとか
[koh503_078] なんか……いいね。お兄ちゃん
[koh503_079] そういう真剣な表情……なんかね、いいと思う。えへへ……
[koh503_080] あれ？お母さんから電話だ……
[koh503_081] もしもし？え？あ、ううん、今日はアルバイトじゃないよ。今、お兄ちゃんと一緒
[koh503_082] え？廉兄じゃないよ。……うん、そう、お兄ちゃん
[koh503_083] ええ！？お父さんが怒ってる？帰る帰る、すぐに帰るよ
[koh503_085] 大丈夫だよ。怒ってるって言っても、ちょっと不機嫌になってるぐらいだから。すぐに帰れば大丈夫
[koh503_087] それにほら、お姉ちゃんから感想を求められてたでしょ？
[koh503_088] だから、あの練り切りとっても美味しかったって伝えておいてね
[koh503_089] それじゃあお兄ちゃん、バイバイ
[koh504_002] 綺麗にしてるんだね。やっぱり旅館の人が掃除してくれてるの？
[koh504_003] これ、お姉ちゃんが味を決めたの？
[koh504_005] それはいいんだけど……私、役に立てるかな？
[koh504_006] まあ、そういうことなら
[koh504_008] ん～……結構いい匂いがする
[koh504_010] お店で取り入れることになったら、私も覚えないとね
[koh504_011] で、できるかな……ちょっと自信なくなっちゃいそう
[koh504_013] ――うっ……う、うん。美味しいんじゃ……ないかな……あと、香りはいい！
[koh504_014] え？本当？私もお団子いただきま。す、あむ……もぐもぐ
[koh504_015] はぁぁ、お団子美味しい。……
[koh504_016] あ……こっちの方が飲みやすいかも。お団子は……
[koh504_017] んん。、お団子美味しい。……
[koh504_018] え！？じゃあ私も……ずず……
[koh504_019] あっ！本当だ、味もしっかりあるのに飲みやすくて……あっ、あれ？お砂糖入れてないのに……甘味もある？
[koh504_020] 私は……んーっと……真ん中か右端のどちらかなら、って感じかな
[koh504_021] うん。確かに、他のとは味が違ってたよ
[koh504_022] ちなみにお姉ちゃんは、どれがいいと思ってるの？
[koh504_023] うん、私もそれでいいと思う
[koh504_024] え？あ、うん……でも、なんで厨房？
[koh504_025] お兄ちゃん？
[koh504_026] うっ……それは、その……はい
[koh504_027] だって、そういうことしてたら、お姉ちゃんの役に立てない気がして
[koh504_028] というか……気付いてたんだ？
[koh504_029] ……ごめんなさぁい
[koh504_030] うん。ありがとう、お兄ちゃん
[koh504_031] お兄ちゃん、よくあんなに苦い物を飲めるね、苦いの美味しいの？
[koh504_032] あっ、それは私も。苦かったけど……でも、他にも味がちゃんとしたから
[koh504_033] うー……それもこれも、お兄ちゃんや廉兄が私をイジメたからだよ
[koh504_034] ……うん……ありがとう、お兄ちゃん
[koh504_035] えへ……えへへ……なんか、こうしてると……本当に昔を思い出すかも
[koh504_036] 昔も、私が泣いたときにはお兄ちゃんがこうして慰めてくれた気がするから
[koh504_037] でも……あの頃とは、全然違うね。お兄ちゃんの手、すっごくおっきくなってる
[koh504_038] おっきくて、ごつごつしてて……男の人って感じがする……えへへ
[koh504_039] お、お兄ちゃんがおっきくなりすぎてるんだよ！
[koh504_040] 本当に？ウチのバカ兄にはよく『可愛げがない』って言われるけど
[koh504_041] お、お兄ちゃんってば、そんな褒めても何も出ないよ、えへへへ
[koh504_042] あっ……美味しい……。インスタントとは全然違うね、これ
[koh504_046] うんっ！
[koh504_047] 私も！甘い物にちゃんと合うと思うよ
[koh504_048] バイバイ、お兄ちゃん
[koh504_049] よかったね、お姉ちゃん。珈琲が決まって
[koh504_050] そうだったね、ちょっと気が早かったかも
[koh504_051] よかったね、お兄ちゃんをアルバイトに誘って
[koh504_052] まだダメなの？
[koh504_053] そうだよ、お兄ちゃんは凄く頑張ってるよ。一日でも早く戦力になれるようにって！
[koh504_054] お皿を割ったりしたわけでもないし、掃除やおじさんの手伝いはそつなくこなしてるみたいだし
[koh504_055] そりゃ確かに、接客は不慣れかもしれないけど……でもね！でもね！凄く頑張ってるんだよ！
[koh504_057] すっごく真面目に勉強してるんだから！きっとすぐにお店の戦力になれるはずだよ！だからお姉ちゃんも信じてあげて欲しい――
[koh504_058] なっ……なに？
[koh504_059] え？そうかな？たまたまその時、一緒にいたから
[koh504_060] 頑張ってるんだから、ちゃんとそのことは認めてあげて欲しいだけだよ
[koh504_061] 色々……
[koh504_062] 私も驚いちゃったよ。お兄ちゃんは優しいけど、廉兄と一緒に騒いでた印象ばっかりだったのに……
[koh504_063] 真面目な顔つきはすっかり大人になってて……身体も成長してて……実は、ちょっとドキッとすることがあったりなんかしたり
[koh504_064] うぇ！？ちょ、ちょっとだけだよ？
[koh504_065] そっ、そりゃ、したのは本当だけど……でもちょっと！本当にちょっとだけだから！
[koh504_066] ――しゅきっ！？
[koh504_067] それはお姉ちゃんが変なこと訊くからぁ！
[koh504_069] でも、別にお姉ちゃんが思ってるようなことじゃないから！　そういうのは邪推って言うんだよ！
[koh504_070] だからそういうのじゃ――もう！知らない！私帰るから！
[koh504_071] おはようございまーす
[koh504_072] ………？お姉ちゃん、なんだか今日はご機嫌だね
[koh504_074] おおおお、おはっ、おはよう、ございます
[koh504_075] そっ、そうだね、準備しないと。だから……だから……私着替えて来るっ！
[koh504_076] あ、あの、抹茶パフェと……プリンの用意、お願いします
[koh504_077] じゃ、じゃあ、よろしくねっ
[koh504_078] なっ、なに！？お兄ちゃん
[koh504_079] で、電池なら……白玉粉や小麦粉を保管してる隣の棚の引き出しにあるはずだから
[koh504_080] あっ、お、お客さんが呼んでるから行かなくっちゃ！
[koh504_081] ……チラっ
[koh504_082] ……チラっ、チラっ
[koh504_083] なっ、なに！？
[koh504_085] わ、私っ、休憩に入らせてもらうね！
[koh504_087] お姉ちゃんが変なこと言ったりするから……お兄ちゃんの顔、真っ直ぐ見れない……
[koh504_088] そりゃドキッとすることはあったし……お兄ちゃんは格好いいと思うけど……でも従兄なんだから
[koh504_090] ………
[koh504_092] もっと普通にしなきゃ、こんなんじゃ変に思われちゃうよぉぉぉ～～～～……っ！
[koh504_093] ぅぅ……ぅぅ……
[koh504_094] はっ、はいっ
[koh504_095] う、うん……ごめんね、心配をかけちゃって。でも平気だから
[koh504_096] 今はちょっと変かもしれないけど、すぐにいつも通りに戻る！あ、あんまり気にしないで、えへへ
[koh504_097] そんなことないよ！お兄ちゃんは、優しくて、頼りがいもあるよ！
[koh504_098] ………。。。。ッ！？
[koh504_100] ッッ！？
[koh504_101] あ、ちがっ、ちょっとビックリしただけだから。嫌じゃないよ！嫌じゃない！
[koh504_102] むしろお兄ちゃんに撫でてもらえると嬉しくて……疲れも吹き飛んじゃうぐらい
[koh504_103] うん。えへ……えへへ……
[koh504_104] 今日は……なんかごめんね、避けるみたいなことして
[koh504_105] 明日からはまた、いつも通りに戻ってるから
[koh504_106] うん……ありがとう、お兄ちゃん。えへへ……
[koh504_107] さすがにもういいよ、おかげで疲れも吹き飛んだから
[koh504_108] それじゃあ、お先に失礼します
[koh504_109] いいよいいよ、気にしないで。ちょっと１人で歩きたい気分なんだ
[koh504_110] 顔を冷ましてから帰らないと……廉兄にバカにされちゃう
[koh504_111] なんでもない、あは、ははは
[koh504_112] とにかく今日は本当にごめんね。あと……ありがとう、お兄ちゃん。それじゃあまた！
[koh505_001] おはようございます、レナ先輩
[koh505_002] まあ、廉兄はいつも嫌々働いてるもんねぇ
[koh505_003] 嫌々働いてるから、注意されることも多いんじゃないの？
[koh505_004] な、なに……その目は
[koh505_005] ………？なにそれ、どういう意味……？
[koh505_006] ―――ッ
[koh505_007] ばっ、バカバカ！廉兄ってば、変なこと言わないでよ！そっ、そんなことないもんっ！
[koh505_008] あっ……あわっ……あわわわ……っ
[koh505_009] 。。。。。。ッ
[koh505_010] わ、私っ、先に行くからっ
[koh505_011] お兄ちゃん
[koh505_012] 今日はシフトに入ってたよね？
[koh505_013] あのっ、あのっ……い……
[koh505_014] 一緒に行かない？
[koh505_015] それは、だから……ほらっ！珈琲！
[koh505_016] 今日から珈琲を出してみるって言ってたから。その様子を見に行こうかなって
[koh505_017] うん、ありがとう……えへ、えへへ……
[koh505_019] なんか……緊張するね
[koh505_020] え？お、お兄ちゃんも緊張してるんだ？
[koh505_021] ……あっ……そ、そうだね。うん、売れてるといいよね
[koh505_022] ……？お兄ちゃん？どうかした？
[koh505_023] ………。はぁぁっ！？
[koh505_024] なっ、なに！？急に何を言ってるの、お兄ちゃん！？
[koh505_025] そのっ、あのっ……う、嬉しいけど、嬉しいんだけど……ここ、通学路だよ？他にも人が、いるのに……
[koh505_026] ううん、ビックリしたけど……嬉しかった……えへへ
[koh505_027] ……お兄ちゃん？どうかした？
[koh505_028] 珈琲、売れてるといいよね
[koh505_029] ………………え？
[koh505_030] お兄ちゃん、今なんて言ったの？
[koh505_031] 待ってよ、お兄ちゃん。もう一回、今の言葉をもう一回
[koh505_033] はぁ、はぁ……え？
[koh505_034] これって、まさか……？
[koh505_036] おめでとう！
[koh505_038] あ、うん。珈琲のこと、気になって
[koh505_039] そっか。本当によかったね、お姉ちゃん
[koh505_040] ……お姉ちゃん……
[koh505_041] あっ、邪魔してごめんね
[koh505_042] うん。ありがとう
[koh505_044] あ、ううん。もう平気
[koh505_045] それじゃあ私は、そろそろ帰ろうかな。珈琲も本当に好調みたいで安心したから
[koh505_046] お会計、お願いします。はい、１０００円
[koh505_047] あれ？このガーベラ、前からあったっけ？
[koh505_049] ………
[koh505_050] やっぱりそれ、好きな人からもらったんじゃないの？
[koh505_051] だって……その花を見つめる目が、全然違うもん。優しい目をしてた
[koh505_052] そういうわけじゃないけど……ね、この花、誰からもらったの？ねー、ねー
[koh505_054] しっ、進展とか！　そもそもそんなのじゃないしっ。そもそも、い、従兄妹だし
[koh505_055] もっ、もー！からかうのは止めて、お姉ちゃん！それよりもお釣り頂戴！
[koh505_056] ……むぅぅ……やっぱりからかってるっ。もう知らないっ
[koh505_057] はぁ……もう、お姉ちゃんってば……
[koh505_058] おばさん、お疲れ様です
[koh505_059] いえ、珈琲の様子を窺いに
[koh505_060] おじさんが？
[koh505_061] だ、大丈夫なんですか？ただでさえ、大変そうなのに
[koh505_062] くすくす、それは言いすぎですよ
[koh505_063] あはは……それは……私の口からはなんとも……
[koh505_065] ……え？
[koh505_066] ……お兄ちゃんから……
[koh505_068] い、いえ。こちらこそ、すみませんでした
[koh505_069] はい、お先に失礼します
[koh505_071] お兄ちゃんから……でも、お姉ちゃんのあの顔は……
[koh506_001] おはようございま。す！
[koh506_002] あれ？みんなで集まってどうしたの？なにか……問題？
[koh506_003] あっ！お煎餅だ！これ、食べてもいいやつですか？
[koh506_004] ありがとうございますっ！
[koh506_005] いただきま。す
[koh506_007] 私は好きです、お煎餅。確かに甘い物が好きな人は多いと思いますけど、苦手な女の人もいますから
[koh506_008] こういうこと言っちゃうと身も蓋もないかもしれませんけど……美味しければ、古めかしいとか関係ありませんよ、きっと
[koh506_009] ……やっぱり……お姉ちゃん、も？
[koh506_010] ううん、なんでもないっ
[koh506_011] お兄ちゃん、どうかした？
[koh506_012] ２人で一緒に？でもそれだと……
[koh506_013] ……お姉ちゃん……
[koh506_014] う、うん……
[koh506_015] 本当！？やったぁ。っ！
[koh506_016] あっ……あはっ、あははっ。ごめんなさい。つい、食い意地が
[koh506_017] は。い
[koh506_018] お兄ちゃん、お待たせ
[koh506_019] お疲れ様です。お先に失礼します
[koh506_020] そうだね。お客さん、いっぱいだもんね
[koh506_021] お煎餅も、上手くいくといいなぁ……おじさんのお煎餅、美味しいもん
[koh506_022] どこら辺が？
[koh506_023] す、ストーカー！？さすがにそれは考え過ぎだよ、お兄ちゃん
[koh506_024] 私みたいな子に、ストーカーなんて
[koh506_025] ………。あ、ありがとう……お兄ちゃん
[koh506_027] 本当に……相談したら、力を貸してもらえるのかな？
[koh506_028] 仲良し４人組……
[koh506_030] ……そっか……そうだね。ありがとう、お兄ちゃん
[koh506_031] でも、ウチのバカ兄は除外して、３人組でいいよ
[koh506_032] うん、決めた。ちょっとお姉ちゃんに相談してくる
[koh506_033] 今じゃないとダメなの。だから、お兄ちゃんは先に帰ってて
[koh506_034] それはダメ。これは、女の子の悩みだから
[koh506_035] そういうわけだから、お兄ちゃんは気にしないで
[koh506_036] お姉ちゃん！
[koh506_037] うん。実はね、お姉ちゃんに相談したいことがあって。是非力を貸して欲しいの
[koh506_038] 実は、その……お兄ちゃんとの事なんだけど
[koh506_039] その……何から言えばいいかな？えっと。えーっと……
[koh506_040] ごめんなさい、私、こういうことに慣れてないから、単刀直入に言うね
[koh506_042] 吹けてないよ、お姉ちゃん
[koh506_043] 怒ってるかも
[koh506_045] ……私が怒ってるのも、相談したいのも、ソコじゃないからね
[koh506_046] 確かに私は……お兄ちゃんのことが……す、す、好き……
[koh506_047] 従兄妹だってわかってるけど、好きになっちゃった……
[koh506_048] でもね、お姉ちゃんだってお兄ちゃんのことが好きでしょ？
[koh506_049] 状況証拠としてはその反応だけで十分なんだけど
[koh506_050] あの大切そうに見てたガーベラ、お兄ちゃんからもらったくせに
[koh506_051] 廉兄みたいに子供だと思ってたけど、実はお兄ちゃんには頼りがいがあって、年下だと思ってたのに、ドキッとしたんでしょ？
[koh506_052] 端から見てればわかる、お姉ちゃんの気持ち。気付かないはずないよ……
[koh506_053] だってそれは……私と同じ気持ちなんだもん
[koh506_054] やっぱりそうなんだ……？
[koh506_055] う、うん。それ、わかる……手の平とかもおっきくて、力強くて、温かくて……一緒にいると、安心できるの
[koh506_056] 昔通り、真面目で優しい……でも昔と違って、どこか余裕を感じさせて……大人な感じもして……
[koh506_057] そう！そうなの、お姉ちゃん！
[koh506_059] ……はは、あははは
[koh506_060] うん、見抜いて当然だよ
[koh506_061] 私と同じなのに……お姉ちゃんは、諦めちゃうの？
[koh506_062] ……私は……逆かな
[koh506_064] 簡単に諦めちゃってるのはお姉ちゃんだよ。どうして１人で勝手に決めちゃうの？
[koh506_065] そんなことされても……私、嬉しくない。寂しいよ
[koh506_066] それにね、お兄ちゃんの気持ちだってあるから。どっちかが諦めれば解決するものじゃないよ
[koh506_067] お兄ちゃんの周りには、魅力的な人がいっぱいいるもん
[koh506_069] だからお姉ちゃん、譲り合うなんてやめよう？
[koh506_070] お兄ちゃんのことは好きだよ……でも私、お姉ちゃんのことも大好き
[koh506_071] 子供の頃からずっと一緒だったんだもん。だから私は……お互いに遠慮しない方がいい
[koh506_072] うらみっこなし
[koh506_073] 仲のいい幼馴染のまま。私は……それがいいな
[koh506_074] そういうことなら、私の望むのとは違う結果になっても……きっと、祝福できると思う
[koh506_075] どうかな、お姉ちゃん？
[koh506_076] ちゃんとお姉ちゃんの口から聞かせて欲しい
[koh506_077] ま、負けないもんっ
[koh506_078] わ、私だって、み、魅惑のナイスバディだもん。ぬ、脱げば凄いんだから！
[koh506_079] あっいやっ！いいいい今のは言葉の綾ってやつで！
[koh506_082] 頑張ろうね、お姉ちゃん
[koh507_001] おはよう、お兄ちゃん！
[koh507_002] はい。レナ先輩もおはようございます
[koh507_003] お兄ちゃんと一緒に、学院に行きたいなって
[koh507_004] ううん、そういうわけじゃないよ
[koh507_005] ただ、一緒に行きたいなって……迷惑だった……かな？
[koh507_006] う、うん。でも本当に深い意味はないんだよ。たまには一緒にって思っただけで
[koh507_007] べ、別に……いいんじゃないかな。その……か、勘違いじゃない……かも、だから……
[koh507_009] それよりも遅刻しないうちに早く行こう、お兄ちゃん！
[koh507_010] ……ふふ
[koh507_011] そうかな？
[koh507_012] なに？
[koh507_013] あ、うん。それならもう大丈夫。お姉ちゃんに相談して、解決したから
[koh507_014] 心配させてごめんね。あと……ありがとう、えへへ
[koh507_015] そ、そう……かな？
[koh507_016] ……うん。お姉ちゃんに相談して、吹っ切れたからかも
[koh507_017] うんっ
[koh507_018] ううん、歩くのが遅いのは私だから。お兄ちゃんは気にしないでいいよ
[koh507_019] じゃあ……こうさせてもらっても、いいかな？
[koh507_021] い、嫌なら嫌って、ちゃんと言ってね！？
[koh507_022] で、でもね、こうしてる方が、離れないと思うから
[koh507_023] それに、いくらなんでも、てっ、てっ、手を、握るのは……無理だから。心臓、爆発しちゃう……
[koh507_024] う、うん……早く行かないと、遅刻しちゃうもんね
[koh507_026] え？
[koh507_027] そ、そうだっけ？
[koh507_028] そんなことあったっけ？ぜ、全然覚えてない……
[koh507_029] １つしか違わないくせに
[koh507_030] そうだったかなぁー……うーん……
[koh507_031] あっ、うん
[koh507_032] えへ……えへへ……ふふふ
[koh507_033] なんでもなぁ。い。えへへ
[koh507_034] あっ、お兄ちゃん
[koh507_035] おはよう！
[koh507_036] うんっ！
[koh507_037] それはいいかも。前に、海外の人にもお煎餅は人気あるって見たことあるよ
[koh507_039] それに……お煎餅があると、私も嬉しい
[koh507_040] えへへ……食い意地張っててごめんなさい
[koh507_041] おじさんの作るお煎餅なら、好評間違いなしだよね
[koh507_043] えっへっへ……バレちゃった？
[koh507_044] そっ、そこまでいやしくないもんっ
[koh507_045] 確かに、そうかも
[koh507_046] 何言ってるの、お姉ちゃん。このお店の商品について喋ってただけだよ。？
[koh507_047] えへへへへ
[koh507_048] それは確かにそうかも……
[koh507_049] じゃあ、お兄ちゃんがお菓子作りを覚えるのは？
[koh507_050] お煎餅！お煎餅を焼こうよ、お兄ちゃん
[koh507_051] 違うよ、そんなのちょっとしか思ってないよ
[koh507_052] でも本当に少しだけ。私がお煎餅っていったのは、それが今から新しく始めるものだからだよ
[koh507_053] 凄い！お兄ちゃんの焼いたお煎餅、とっても美味しいよ！
[koh507_054] お世辞じゃないってば！
[koh507_055] ほらほら、やっぱり美味しいんだよ！
[koh507_056] お兄ちゃんなら、新しい味を増やしていけるよ
[koh507_057] 困ったことがあれば、私も手伝うからね
[koh508_001] うんっ、美味しい！はぁ。……しあわせ。……止まらないよ
[koh508_002] この芳ばしい香りがなんとも……ん。……
[koh508_004] 種類も増えてるし。こっちの味噌も香りがよくて……はぁぁ～……本当に幸せぇ
[koh508_005] うん。美味しそう
[koh508_006] 和三盆かぁ……楽しみだなぁ。、本当に美味しそう
[koh508_007] お兄ちゃん、早く作って
[koh508_008] ……でも、期待してもいいよね？
[koh508_009] えへへ、本当に楽しみだよ
[koh508_010] 仕事の邪魔するのなら帰ってよ
[koh508_011] ……かしこまりました、お客様
[koh508_012] 廉兄は静かに待てないの？はい、お待たせいたしました。ご注文の珈琲です
[koh508_013] ふっふっふーん、どう？降参する？
[koh508_014] まっ、またペタン子って――
[koh508_015] ぐぬぬぬ……
[koh508_016] ふっふっふーん。それ焼いたの、お兄ちゃんだよ、参ったか
[koh508_017] むぅー……お兄ちゃん、私の言葉じゃダメなの？
[koh508_018] お煎餅に関して、そんなことはしたりしないよ
[koh508_019] お兄ちゃんはちゃんと自信を持っていいよ
[koh508_020] あっ……えへ……えへへ……
[koh508_021] すっごく美味しいよ！もっと焼いて！お兄ちゃん！
[koh508_022] うん。今日も忙しくて結構大変だったね。でも……不思議と満足感もあるんだよね
[koh508_023] あっ、そっか……そうかも。えへへ……
[koh508_025] すっ、好き――！？
[koh508_026] そ、そっか……好き……じゃあ、もりもり食べちゃおうかな
[koh508_027] ううっ……お兄ちゃんってば、嫌なこと言うよね……
[koh508_028] でも、お兄ちゃんの言う通りかも……。どうせ付くなら、胸に付けばいいのに……はぁ……
[koh508_029] 廉兄もよくバカにするし。今日だってぺっ、ぺっ、すぺぺぺぺっ、ペタン子って……
[koh508_030] そうだといいけど……やっぱり胸がないとお兄ちゃんも損だと思うよね？
[koh508_031] 全部私に関係ないんですケド
[koh508_032] お、お兄ちゃんも……大きい方が好きなんだよね？
[koh508_033] お兄ちゃん……
[koh508_034] ぷっ……はは、あはははは！真面目な顔でおっぱい、おっぱいって……あははは
[koh508_035] ゴメンナサイ。でもお兄ちゃん、本当に真面目な顔で……
[koh508_036] あははは、だから余計にだよ。はぁー……はぁー……面白かった
[koh508_037] やっぱりお兄ちゃんと一緒だと楽しい。それに……色んな相談も、素直にできる
[koh508_038] あのバカ兄はすぐに茶化すんだもん。相談する気にならないよ
[koh508_039] ねえ、お兄ちゃん……ついでにもう一つ、教えて欲しいことがあるんだ
[koh508_040] 私……少しは大人になってると思う？
[koh508_041] 私はね……昔からずっと、お姉ちゃんとお兄ちゃんが……廉兄と一緒にいることが羨ましかった
[koh508_042] 小さいから仲間に入れなくて……ずっとね、大きくなりたいって思ってた
[koh508_043] お兄ちゃんは今までにも、仲良し４人組だって言ってくれたよね？
[koh508_044] だから……少しは大人になれたのかな、って
[koh508_045] ……そ、そっか……えへへ……ありがとう、お兄ちゃん
[koh510_001] ありがとう、お祖父ちゃん！
[koh510_002] ちなみにね、そのお煎餅はお兄ちゃんが焼いたんだよ、凄いでしょ？
[koh510_003] あはは。お姉ちゃん、すっごくご機嫌だね
[koh510_004] じゃあ私も覚える！お店のお手伝いをしたいから
[koh510_005] そうなんだ？
[koh510_006] そ、そうなの、お兄ちゃん？
[koh510_007] ……えっ
[koh510_008] お姉ちゃん？
[koh510_009] お姉ちゃん……うんっ。ありがとう
[koh510_010] それは……２人だけの秘密。たとえお兄ちゃんでも言えないこと
[koh510_011] それよりも、お煎餅が上手くいってよかったね
[koh510_012] それだけの努力を、お兄ちゃんがしたからだよ、この結果は
[koh510_013] そういえば……さっきも、言ってたね。喜んでくれる人の顔を思い浮かべるって
[koh510_014] はっ、はいっ
[koh510_015] う、うん。そうだね、私も焼き方を覚えないと
[koh510_016] お兄ちゃん……それって……
[koh510_017] ―――ッ！？
