=== yos (yos) 剧情配音文本 ===
共计 3208 句台词

[yos001_001] 初めまして、朝武芳乃です
[yos013_031] 茉子も一緒にどう？
[yos013_032] もちろん
[yos013_033] よろしいわけありませんよ！素で聞き返さないで下さい
[yos013_034] 茉子も何を言ってるのよ、もう！
[yos013_035] 本気にされたら困るじゃない！ほら、変なこと言ってないで行くわよ
[yos013_036] 湯冷めしないうちに、寝た方がいいですよ
[yos013_037] はい。もう寝るつもりだったんですが……なんだか喉が渇いてしまって
[yos013_038] いえ、そこまでして頂かなくても平気ですから
[yos013_039] ん……ぷぁ、はぁ……
[yos013_040] はっ、ふぅぅ……
[yos013_041] そんなことはないと思いますが……
[yos013_042] ―――ッ
[yos013_044] あっ、あの！
[yos013_045] こういうことも、その……友達としては普通なんでしょうか？
[yos013_046] ち、違います、そういうことでは決してないんです。ただ、その……
[yos013_047] こんな風に熱を測ってもらうのも、友達同士なら普通なのかなって、疑問に思っただけで……
[yos013_048] い、いいんです。本当、嫌なわけではありませんから、気にしないで下さい
[yos013_049] でも……思っていた以上に恥ずかしいですね。むしろそのせいで、熱が出てしまいそうです
[yos013_054] む、ムラサメ様、いつからそこに！？
[yos013_055] ―――ッ！？
[yos013_056] そんなの言えるわけないじゃないですかぁ
[yos013_058] これはムラサメ様が変なことを言って、からかうからじゃないですか
[yos013_059] し、進展って……
[yos013_060] あ、はい。そうですね、そういう意味でしたら
[yos013_061] ですから、そんな昔のことは言わないで下さいぃ。、自分でも反省しているんですからぁ
[yos013_062] も、もう！私は寝ます、おやすみなさい！
[yos013_063] ……はぁ……
[yos013_064] うぅ、寝るつもりだったのに……落ち着かなくなっちゃった
[yos013_065] 叫んだら、また喉が渇いちゃった。せっかくお茶を飲んだところだったのに
[yos013_067] ……そんなこと
[yos013_068] なんだろ、これ……
[yos013_069] ……ぅ。。……
[yos013_070] 本当に何なんだろ、これぇ。。。
[yos013_071] ね、寝よう！お布団に入ってれば眠れるはず！
[yos013_072] おやすみなさいっ
[yos013_073] ぅ。。ん……ぅ。。ん……眠れない
[yos013_075] んっ、んんん……んん……
[yos013_076] すぅー……すぅー……
[yos013_078] ………
[yos014_001] すー……すー……
[yos014_003] んっ、んぅぅぅ……
[yos014_005] ……いやれす……お断り、しましゅー……すー……
[yos014_007] んっ、んん……
[yos014_009] んんっ……むぎゅぅぅぅ……
[yos014_010] んっ……んぅぅ……
[yos014_011] ……ほぇ……？
[yos014_012] ほぇぇぇぇぇ！？
[yos014_014] そ、それになんで、一緒に寝て――
[yos014_015] い、一緒に……寝て……ッッ！？
[yos014_016] ひわぁっ！？
[yos014_017] あ、あれ……ここは、私の部屋じゃない……！？
[yos014_018] よよよよ夜這いっ！？
[yos014_020] それは……わ、私もどうしてこんなところで寝ているのか覚えがなくて……
[yos014_022] ～～～～～～ッ
[yos014_023] そっ、そうですよ。こんなの絶対に変です
[yos014_024] そうですね……昨日は……胸がざわついて、とても寝苦しかったです
[yos014_025] い、今ですか？えーっと……その……
[yos014_026] まだ胸のドキドキが治まっていなくて、よくわかりません……すみません
[yos014_027] まさか、祟り神が……？
[yos014_028] やっぱり赤い憑代が原因ですか？
[yos014_029] そのせいで、私は……憑代に乗っ取られた……？
[yos014_030] つまり……昨日のざわつきは全部、憑代の信号のせいだった……そっか、そうよね。よかった、理由がハッキリして……
[yos014_031] いいいえ、何でもありません！それよりも、何か対策を早めに考えないといけませんね
[yos014_033] そう言われても無理ですよ、緊張しないはずありません。そもそも、巫女服のままで寝るなんて初めてです
[yos014_034] それになによりも……
[yos014_035] 不安をあおるような言い方は止めて下さい。余計に心配になるじゃないですか……
[yos014_036] ……よろしくお願いしますね
[yos014_037] では……お、おやすみなさい
[yos014_039] ……まだです
[yos014_041] ……まだ
[yos014_043] ですからまだです
[yos014_045] ……ぅぅ……もうっ！　なんですか、嫌がらせですか！？
[yos014_046] そんな何度も何度も声をかけられた上に、ジッと見つめられていたら眠れません！
[yos014_047] もう少し時間がかかりそうですから、向こうに行ってて下さい
[yos014_048] 部屋には茉子に残ってもらいますから
[yos014_049] 大体……よく考えたら寝顔を見られちゃうじゃないですか、このままだと……
[yos014_050] とにかく緊張しますから、あっちで待機しておいてくださいっ
[yos014_052] ………
[yos014_054] ふぇ……あっ、あれ？　私、部屋で寝ていたはずなのに、一体何が……
[yos014_055] ひゃぁぁ！ど、どうして私は、有地さんに抱かれて――抱かれて！？
[yos014_056] ち、近いですっ、離れて下さいっ
[yos014_058] 祟り神が七分に山が三分！？
[yos014_059] でっ、でで、でもこんなのどうやって――ああ、来る！来てます！すぐそこまで来てますよ！
[yos014_060] あ……有地さん。大丈夫ですから、そろそろ下ろしてもらえますか？
[yos014_061] いえ。助けて頂いて……ありがとうございました
[yos014_062] そ、それよりも私が寝ている間に何があったんですか？
[yos014_063] で、でも……間違いではないと思います
[yos014_064] それに発生してしまった以上、このまま放置するわけにも……
[yos014_065] でも、どうやって？まさか真正面から挑むわけじゃありませんよね？
[yos014_066] まさかこんなことが……っ？
[yos014_067] チャンス？
[yos014_068] あ、有地さん！？大丈夫ですか？
[yos014_069] きゃぁ！？
[yos014_070] 茉子？
[yos014_071] ダメ、止めて、茉子！
[yos014_072] え、あ！はい！
[yos014_073] これって、終わった……んですよね？
[yos014_074] もう！無茶なことしないで！本当にびっくりして、怖かったんだから……
[yos014_075] 憑代の赤い点滅も治まっていますね……
[yos014_076] あ、はい
[yos015_001] ムラサメ様、準備は整っています
[yos015_002] はい。ムラサメ様に言われて、舞を奉納したんです
[yos015_003] 本当に、憑代が全部……
[yos015_004] わ、私、お父さんを呼んできますね！
[yos015_005] 今後とも、よろしくお願い致します
[yos015_006] な……なに、お父さん。妙に生暖かい目で……どうかしたの？
[yos015_007] お、お父さん！恥ずかしいことしないでよ、もうっ！
[yos015_008] それが恥ずかしいって言ってるの！
[yos015_009] お、お父さん……だから、そういう姿が恥ずかしいって……
[yos015_011] あ……
[yos100_001] ……はぁ……
[yos100_002] え、あ、有地さん、何してるんですか？竹刀まで持って……
[yos100_003] 不審者でもいましたか？
[yos100_004] それは構わないと思いますが……こんな時間から？下手したら有地さんが不審者にされますよ？
[yos100_005] まあ、夜に参る人なんてそういないとは思いますが……
[yos100_007] その言葉に従って休んではみたものの……どうにもこうにも落ち着かなくて
[yos100_008] 部屋にいてもモヤモヤする一方で……これならいつも通りにした方がスッキリすると思って
[yos100_009] こんな時間にとは思ったんですが……結局やっちゃいました
[yos100_010] それに……
[yos100_011] 本当にこれで終わったんだという実感がどうしても湧かなくてつい見に来てしまうんです……
[yos100_012] あんなに呪いを解こうと頑張っていたのに、いざ解けたら戸惑うなんて……
[yos100_013] なんだか変な感じです
[yos100_014] って、まだ完全に解けたかどうかはわからないんですよね
[yos100_015] なんだかすっかり気が緩んでしまってますね……私……
[yos100_016] ………。有地さん
[yos100_017] 憑代のこと……その……ありがとうございます。有地さんには、沢山お世話になりました
[yos100_018] それと、失礼なこともいっぱい言いました。本当にすみません
[yos100_019] でもですね、今回のことは有地さんがいなければ――
[yos100_020] それはもちろん、他の方にしても感謝しています
[yos100_021] え？いや、私が含まれると言いますか、むしろ私が迷惑の中心と言いますか……
[yos100_022] とにかくお礼を言われる立場ではないと思います
[yos100_023] そういう態度は相手に失礼だと思います
[yos100_025] どうして、私に何かあると思ったんですか？
[yos100_026] ……むぅ……なんか……見透かされてるみたいで悔しいです
[yos100_027] 有地さん……
[yos100_028] それはアレですか？社交辞令的な感じで、軽く受け流した方がいいんでしょうか？
[yos100_029] あはは、冗談です。あまりに悔しかったから、せめてもの意趣返しです
[yos100_030] でも、そうですね。じゃあ……頼らせてもらってもいいですか？
[yos100_031] 正確には愚痴ではないんですが……
[yos100_032] 呪いのこと、実感がわかなくて、気持ちの切り替えができていないのは、さっき言った通りです
[yos100_033] そうだとは思うんですが……その……
[yos100_034] 私が困っているのは、茉子やお父さんたちの方が嬉しそうにしていることなんです
[yos100_035] あっ！勘違いしないで下さいね、私だって嬉しいと思ってはいるんですよ
[yos100_036] ただ……私より周りの方が盛り上がっているようで……ですから、えっと……なんて言えばいいんだろう……
[yos100_037] そうっ！それです！そのせいで余計に戸惑ってしまって
[yos100_038] それに、この欠片のことがもっと早くにわかっていたら、もしかしたらお母さんにも……
[yos100_039] 考えても仕方ないことだとはわかっているんです。でもやっぱり、素直に喜べない部分もあったりして……
[yos100_040] ですから、えっと、その……すみません。だからどうとも言えない、取り留めのない話ですね
[yos100_041] でもこんな話を茉子やお父さんにすると……要らぬ不安を煽ってしまいそうで
[yos100_042] そのせいで、モヤモヤが倍増してるような気がします
[yos100_043] やりたいことですか？
[yos100_044] 別にこの町でも買い物は十分できていますよ？
[yos100_045] でも私は、気持ちの切り替えができなくて、先の事を考えられてない
[yos100_046] 言われてみると思い当たる節が……あるかもしれません
[yos100_047] やりたいこと……やりたいこと、ですかぁ……いつの間にか、呪いを解くことが第一になっていましたから
[yos100_048] ……そうかもしれませんね
[yos100_049] ちなみに参考までに、有地さんはやりたいことってあるんですか？
[yos100_050] やっぱり、色々ありますよね
[yos100_051] 穂織に縛られる理由がなくなったんですから。都会に戻って楽しみたいこととか
[yos100_052] そうですか……よかった。ちょっと安心しました
[yos100_053] 有地さんがいなくなったら寂しいですから。だって有地さんは、私にとって――
[yos100_054] ――初めてできた友達ですから
[yos100_055] 別に茉子のことを軽視するわけじゃありません。でも子供の頃からずっと一緒に居ましたから
[yos100_056] 茉子は友達というよりも……もっと近い存在……世話焼きな妹みたいな感じです
[yos100_057] どういう意味ですか、私の方が子供っぽいって言いたいんですか？
[yos100_058] 今、誤魔化しましたね？話をそらそうとしてますよね？
[yos100_059] ……ジー……
[yos100_060] まあ、いいですけどっ
[yos100_062] 有地さんには感謝してもしきれませんね。いつも助けてもらっています
[yos100_063] もし、叢雨丸に選ばれたのが有地さんじゃなかったら……私はまだ、こんなこと考えていなかったと思います
[yos100_064] な、なんで笑うんです？何かおかしなこと言いました？
[yos100_065] それでも私は……本当に、感謝してるんですっ
[yos100_067] ………
[yos100_068] うぇ？あ、いや、その……ッッ
[yos100_069] い、いえっ、そうじゃないんです。嬉しくないということではなくて、あの……ですね
[yos100_070] そんなことを言われると思っていなかったので……返答に困ると言いますか反応に困ると言いますかリアクションに困ると言いますか
[yos100_071] と、とりあえず、ありがとうございます……？
[yos100_072] だ、だって……だって……ぁーぅー……ッッ
[yos100_073] 変な返答をしたら、申し訳ないじゃないですか。わざわざ気遣ってもらっているのに……
[yos100_074] それを言うなら、私だって本心ですよ
[yos100_076] ……わかってない……全然わかってません
[yos100_077] 本当、有地さんは失礼です
[yos100_078] ……もういいです。とにかく今日は話を聞いてくれてありがとうございました。少しスッキリしました
[yos100_079] ……はぁぁ……気持ちいい……
[yos100_080] やりたいこと……
[yos100_081] やりたいこと、かぁ……
[yos100_082] 今なら、伝えることができたのかな……？お母さん……
[yos100_083] ……ううん、やっぱり伝えることは、私にはまだできないかも
[yos100_084] ……悔しい……
[yos100_085] ……でも、私だけの問題？大体、人が真面目に本心を打ち明けたのに、笑うなんて失礼です
[yos100_086] 本当……失礼な人……
[yos100_087] なにか……なんでもいいから、ほんの一欠片だけでも伝えられれば
[yos100_089] もしもし、茉子？
[yos100_090] ちょっと……お願いがあるの
[yos101_001] こ、こんな感じでいいの……？
[yos101_002] それで……こ、こう？
[yos101_003] いいの？そんなことをしても
[yos101_004] それはだから、最初に話した通り、ちょっとしたお礼……みたいなもの
[yos101_005] え！？も、もう帰ってきた！？
[yos101_006] ま、茉子、次、次、助けてぇ！
[yos101_007] え！？あ、ムラサメ様っ、これは、その――
[yos101_008] あっ、わっ、まままま茉子ぉ、早く来て
[yos101_009] はい、有地さん。お醤油、使いますよね
[yos101_010] あ……
[yos101_011] ありがとうございます
[yos101_012] 有地さん、お代わりしますよね
[yos101_013] 半分ぐらいでいいんですよね
[yos101_014] いえ、お茶を淹れるついでですから
[yos101_015] な、なに……２人して、ジッと見たりして……
[yos101_016] だからなんなの？２人して変なこと言って
[yos101_018] な、何言ってるの！ちっ、違うっ、そんな変なこと言わないで！
[yos101_019] これは夫婦とかじゃなくて、一緒に過ごしていれば普通にわかることじゃないっ
[yos101_020] そういう話でしたね……婚約……してたんですよね、一応
[yos101_021] な、なんですか、なにか言いたいことでもあるんですか……？
[yos101_022] そっ、そんな昔の話を蒸し返さなくてもいいじゃないですかぁ！
[yos101_023] 何度も言いますが、あの時は巻き込んではいけないと思っていたから、ああして突き放した方がいいと思っただけです
[yos101_024] ッ！？ちょ、ちょっと茉子、その話はぁ！
[yos101_025] それは……
[yos101_026] いつも通り、ちゃんと断っておいて下さい
[yos101_027] 誰も、そこまでは言ってません……っ
[yos101_028] 笑いごとじゃない
[yos101_029] ２人で……
[yos101_030] 気が早ぁいっ！重要な段階を一つすっ飛ばしてるじゃないっ
[yos101_032] ………………
[yos101_033] あっ
[yos101_034] い、いえ、違います。そういう事ではありません。問題ありませんから、気にしないで下さい
[yos101_035] ひゃっ！？
[yos101_036] き、気付かれちゃった……
[yos101_037] あの、ちょっと……お尋ねしたいことがありまして……
[yos101_038] トレーニング……
[yos101_039] あの……トレーニングって、私が見ても大丈夫ですか？
[yos101_040] 構いません。ただの興味ですから。有地さんだって舞を見ていたりするじゃないですか
[yos101_041] はい。よろしくお願いします
[yos101_042] あ、いえ。１人で見ているより、ムラサメ様も一緒にいてもらった方が私としては助かります
[yos101_043] あ、今日は有地さんのトレーニングを見学させてもらうことになりまして
[yos101_044] もしお邪魔でしたら、言っていただきたいのですが
[yos101_045] ありがとうございます
[yos101_046] はい。どうか私のことは気にせず、よろしくお願いします
[yos101_048] あの、大丈夫ですか？
[yos101_049] 今日は見学させていただき、本当にありがとうございました
[yos101_050] はい。今日はゆっくり疲れを癒して下さい
[yos101_051] は、はい、そうですね
[yos101_052] ……それは……チラ……チラチラ……
[yos101_054] ひゃい、そうですねっ
[yos101_055] あの……
[yos101_056] 今日はトレーニングを見せてくれて、ありがとうございました
[yos101_057] 凄いんですね、剣道の練習って。激しくて、本当に驚きました
[yos101_059] でも有地さん、防戦一方でしたね
[yos101_060] 玄十郎さんの動きには、無駄がないように見えましたね
[yos101_061] アレだけでも、見に行ってよかったと思います。ずっと……あんな風に頑張っていたんですね
[yos101_062] 面っ！なんちゃって……
[yos101_063] え？あっ、違います。そういう愚痴ではなくて、えっと……
[yos101_064] え？あ、はい。なんでしょう？
[yos101_065] っっ！？なぜ！？それを……っ！？
[yos101_066] すみません……
[yos101_067] 食べただけでわかるぐらい……茉子のお弁当とは違って、不味かったということですよね？
[yos101_068] 有地さん……
[yos101_069] そのフォローに見せかけて突き落すのは止めてもらえませんか。正直、どう受け止めればいいのか……微妙です
[yos101_070] そんな些細な違いで、私が作ったって気付くんですか？
[yos101_072] ……あっ
[yos101_074] そ、そうでした……有地さんは、甘い卵焼きが嫌いなんでした……お弁当を作ることに必死で、そこを忘れるなんて……
[yos101_076] ちっ、違うんです……あれは、その……決して、嫌がらせではなくて……っ！
[yos101_077] ね、寝坊をしてしまったんです。本当なら１時間前には起きるはずだったのに……３０分前まで、ボーっとしてしまって……
[yos101_078] ……お……怒ってますか？
[yos101_079] なっ、どうして笑うんですか？
[yos101_080] そっ、そんなことしたりしませんっ！これは本当に、その……ちょっとしたうっかりで……
[yos101_081] といいますか、その、迷惑……でしたか？
[yos101_082] だって、茉子のお弁当の方が美味しいでしょうから。それに卵焼きを甘くしてしまって……
[yos101_083] ……本当に？
[yos101_084] い、いえ、こちらこそ、ありがとう、ございます
[yos101_085] アレは……お礼、です
[yos101_086] 今までお世話になったことに……少しでも、その、何かお返しできたら、と思って
[yos101_088] 私が律儀なんじゃなくて、有地さんが適当過ぎるんです
[yos101_089] いくらお礼を言ってもいつも軽く受け流して、まともに取り合ってくれない
[yos101_090] だから言葉だけじゃなく、お弁当を作ってみたんじゃないですか
[yos101_091] 怒っていません
[yos101_092] それに……お礼なのに、失敗してしまうなんて……
[yos101_093] そんなお情け必要ありません。『良いも悪いも正直に言った方が相手のためになる』ってさっき言ってたじゃないですか
[yos101_094] だから……何か思うことがあれば、ちゃんと言って下さい
[yos101_095] か、構いません。どんな厳しい言葉でも、それが正直な感想なのでしたら聞かせて下さい
[yos101_096] それって……
[yos101_097] でも、どうしてそんなに悔しそうに言うんですか？
[yos101_098] あは、あはは。なんですかそれ。子供みたい、勝ち負けの問題なんですか
[yos101_099] できるだけ自分で作りたかったので……もちろんアドバイスはしてもらいましたが、基本的には私だけで
[yos101_100] そう言ってもらえるなら、嬉しいような……悔しいような……
[yos101_101] ミスはミスです。納得のいかない物を褒められるのって、ちょっと微妙です
[yos101_102] そ、そうですか……それは何より、ですが……
[yos101_103] 本当に喜んでもらえましたか？
[yos101_104] そっ、それじゃあ！明日も……お弁当、私が作ってもいいですか？
[yos101_105] 今度はちゃんと、甘くない卵焼きにしますから。雪辱を晴らす機会が欲しいです
[yos101_106] 些細なことかもしれませんが、これが今、私のやりたいことです
[yos101_107] ですからむしろ、食べて感想を聞かせてもらったりする方が……私としても嬉しいです
[yos101_108] はい、ありがとうございますっ
[yos101_109] ………？なんですか？
[yos101_110] ……それ、嫌味……じゃないですよね？
[yos101_111] でも有地さん、失礼なことをよく言いますから……
[yos101_112] じゃあ、本当に期待してる……んですか？
[yos101_113] ……そ、そうですか
[yos101_114] ま、まあ……仕方ありませんね。その期待に応えてあげなくも……ありませんよ？
[yos101_115] ほら！また失礼なことを言いましたぁ！
[yos101_116] 本当に失礼です。ぐうの音も出ないようなお弁当を作って、明日も敗北を認めてもらいますから
[yos101_117] ―――ッ、やっぱり嫌味じゃないですかぁ！
[yos102_001] それじゃあ、有地さん。その……今日のお弁当です
[yos102_002] 今日こそは、ちゃんと甘くない卵焼きにしていますから
[yos102_003] あ、ありますとも
[yos102_004] だ、大丈夫……のはず……ちゃんと作れたはず……作れてるわよね、茉子
[yos102_005] 美味しさ以前の問題です。お礼として作った物で妥協なんてできません
[yos102_006] ですから気を遣わずに、忌憚ない感想をよろしくお願いします
[yos102_007] 違います
[yos102_008] ぁっ……ぅ……
[yos102_009] そ、そうですよね……でも、ここではまだ人目も多いですから
[yos102_010] 有地さんは今日もトレーニングですよね？
[yos102_011] でしたら、そちらを優先させて下さい。話はその後で大丈夫ですから
[yos102_012] まっ茉子ぉ！？そういう事は言わないでいいからっ！
[yos102_013] え！？話が長くなる！？は、話が長くなるほど大きな失敗がありましたか……？
[yos102_014] え、あ、ちょっと、有地さん……っ！？
[yos102_015] な、なんだろう……長くなるかもしれない話って……
[yos102_016] や、やっぱり甘くない卵焼きなんて初めて作ったから、なにかミスをした！？
[yos102_017] でも……それなら長くなるかもしれない話ってなに？
[yos102_019] ……お疲れ様です……
[yos102_020] ありがとうございました。猪谷さんにもお伝えください
[yos102_021] もちろんです
[yos102_022] あんな意味あり気な言い方をされて、気にならないはずありませんよっ
[yos102_023] はい
[yos102_024] 話が長くなるかもしれないなんて言われたら、普通は気になります
[yos102_025] ……はい……
[yos102_026] あっ、ストップ！やっぱりちょっと待って下さいっ
[yos102_028] ど、どうぞ。よろしくお願い致します
[yos102_029] ………………で？
[yos102_030] でもさっきは話が長くなるかもって言ったじゃないですか
[yos102_031] そ、そう……だったんですか……
[yos102_032] お、お粗末様でした……
[yos102_033] あっ、で、でも、あれはまだ完璧というわけではなくて味見はどうしても熱いうちにしますが冷めてからだと味が変わってしまいその差を考慮した味付けがまだできなくて
[yos102_034] ですが適当に妥協した味付けなわけではなくて、今の私に出来る精一杯でちゃんと作っていますから
[yos102_035] そ……そうですか……喜んでもらえたのなら、何よりです
[yos102_036] これでようやく安心ができました
[yos102_037] まったくです。これからは言い方に注意を払って下さい
[yos102_038] ……なんですか？
[yos102_039] 嘘です。さっきの視線は絶対に何か意味があったはずです
[yos102_040] それがなにか？
[yos102_041] そっ、それはもちろん、お礼……ですから
[yos102_042] そ、そうですか……
[yos102_043] 私、ですか？
[yos102_044] はい。そうですが……どちら様でしょうか？失礼ですが、以前に面識が……
[yos102_045] 誠に申し訳ありませんが、お断りさせていただきます。予定もありますので
[yos102_046] それでは失礼します
[yos102_047] ……はぁ……わかりました。一応受け取りは致しますが、ご期待には応えかねると思います
[yos102_048] はぁ……
[yos102_049] とにかく写真は受け取りました。ご用件は、それだけで十分把握しております
[yos102_050] それでは失礼します
[yos102_052] すみません、有地さんを巻き込んでしまって
[yos102_053] よく、と言うほどの頻度ではありませんが、まあたまに
[yos102_054] 逃げたりしても諦めてくれずにずっと待たれてしまうので。受け取るのが一番手っ取り早いんです
[yos102_055] お父さんに渡します。然るべき経路から断りの連絡を入れてもらいます
[yos102_056] 今後、ああいう迷惑なことをされると困ると、釘を刺す必要もありますから
[yos102_057] 見るだけ無駄です。どうせ断るんですから
[yos102_058] それに、そんな風に少しでも興味がある素振りを見せてしまうと、相手もしつこくなってしまいますから
[yos102_059] はい？
[yos102_060] なんでしょうか？
[yos102_061] ……はい？
[yos102_062] ……有地さん……
[yos102_063] 人をグーで殴るかパーで引っ叩くかで悩むなんて初めてです、私
[yos102_064] 一体何なんですか、急に
[yos102_065] そんなのは言うまでもなく、呪いの件があったからに決まっているじゃないですか
[yos102_066] だから……同性愛ですか？さすがにそれは発想が突飛すぎますよ
[yos102_067] 確かに今は、多少余裕はできたかもしれません
[yos102_068] でも『それじゃあすぐにお見合いを！』なんて、気持ちが切り替わったりしませんよ
[yos102_069] そっ、れは……その……もちろん、興味ぐらいはありますとも……
[yos102_070] 恥ずかしい事、言わせないで下さいっ！なんなんですか、もうっ
[yos102_072] ………？　それって……あっ、お父さんが押し付けた婚約に関わるってことですね
[yos102_073] 続きというと……お弁当の事ですか？
[yos102_074] そ、そうなんですか？そんな風に言ってもらえるのは嬉しいです……ふふ………………あれ？
[yos102_075] でもさっき、これ以上は過剰すぎるって言いましたよね？
[yos102_076] お礼じゃない方が、とは……
[yos102_077] ……はあ？
[yos102_078] ……はあ……
[yos102_079] ――はあ！？
[yos102_080] あ、いえ、その……そ、そういうの……困りますよ
[yos102_081] だ、大体っ、私なんかのどこが――
[yos102_082] ……絶対バカにしてますよね？
[yos102_083] わー！わー！いいです、もういいです！そんな列挙はもうしなくていいですからぁ！
[yos102_084] ……もしかして、私の反応を見て面白がってません？
[yos102_085] そんなに何度も何度も言わなくていいです！わかりました、わかりましたから！
[yos102_086] その、お気持ちはわかりました。嬉しいとも思います……。でも、私は……
[yos102_088] 嘘吐き……
[yos102_090] 理由がなくても、勝手に首を突っ込んじゃうお節介な人じゃないですか
[yos102_091] じゃあ一番最初、無理矢理お祓いについてきた時、私のことが好きだから助けてくれたんですか？
[yos102_092] ほら。それでも有地さんは、私を助けてくれたんじゃないですか
[yos102_093] 好きとか、そういうことは関係なくお節介を焼いちゃう人なんですよ、有地さんは
[yos102_094] それはもう
[yos102_095] 本当に今さらです
[yos102_096] でも……有地さんが、お節介を焼いてくれたからこそ、私はこうしていられる。感謝しかありませんよ
[yos102_097] そうですね。ダメって言っても、お節介な有地さんは諦めてくれない人でした……
[yos102_098] 私は、今まで沢山の人を傷つけてきました
[yos102_099] 茉子も、お父さんも、お母さんも……自分の近くにいてくれる人ほど傷つけてます
[yos102_100] だから私は……本当はずっと疎ましいと思っていたんです、巫女姫という肩書きを
[yos102_101] お見合いの話は……そんな巫女姫に持って来られるものです
[yos102_102] そんなもの、受けるつもりにはなれません。この肩書きに振り回されるのは……コリゴリです
[yos102_103] いつかの有地さんの言葉を借りるなら……
[yos102_104] 顔を合わせる度に負い目を感じるなんてのはゴメン、ということです
[yos102_105] かといって、私の勝手で肩書きを捨てることもできません。この地に根付いていますから
[yos102_106] だから……こんな私は、このままずっと１人でいるのが一番いいのかもしれませんね
[yos102_107] そっ、それは違いますっ
[yos102_108] それっ、は……
[yos102_110] ……違う……そんな……
[yos102_111] そんなバカなことあるはずないじゃないですか、バカッ！
[yos102_113] 他の人と同じだなんて思えるはずありませんっ
[yos102_115] あっ………………す、すみません。一番失礼なのは、私ですね……
[yos102_116] え！？罵ってしまったのに……？もしかしてそういう趣味なんですか……？
[yos102_117] そんなの、無理ですよ……
[yos102_118] ……無理です……これ以上信じるなんて、できません
[yos102_120] 私が信じられないのは……むしろ自分です。こんなの、初めてなんですから
[yos102_121] 色々戸惑うことも多くて、なんだか喩えようもない不安が胸の中にあって……
[yos102_122] もう……傷つけたくないんです……
[yos102_123] 大切な人を傷つけることは……悔しくて、辛いんです……
[yos102_124] その言い方はあまりにも卑怯です……
[yos102_125] お弁当……作っているとき、楽しいって思ったんです
[yos102_126] 美味しいって褒められると嬉しくて……だから今朝も、頑張れました
[yos102_127] こんな風に、楽しい日が続けばいいかなって……思いました
[yos102_128] だから私……ッ……っ……でも、でも………………
[yos102_129] ……ごめんなさい。私はやっぱり……ダメです
[yos102_130] でも私……変わりたい……って、最近になって思うようになりました
[yos102_131] もう少しだけ……一緒にいてもらえませんか……？
[yos102_132] 自分勝手で、卑怯だなって、わかってはいるんです。これが、とても不誠実なお願いであることも
[yos102_133] でも、もう少しだけ……時間が欲しいんです。とても大切な答えですから、私も……ちゃんと答えたい……
[yos102_134] ……ありがとうございます
[yos102_135] ……はい……
[yos102_144] 恥ずかしいことを……言ってしまった……
[yos102_145] 何言ってるんだろ、何言ってるんだろぉぉぉ……ッッ！？
[yos102_146] 恥ずかしいっ、青臭いっ、メルヘンっ！私は本当になんてことを口走ってるの！？
[yos102_148] ～～～……おふぅッ！　ぅぅぅぅぅぅぁぁぁあああっ、胸を焦がすとか、なんというポエム……っ！
[yos102_149] もうやだ！こんな恥ずかしい事ばっかり考えたくない！
[yos102_150] ……こうして目を閉じれば
[yos102_151] どうしようっ、目を閉じたらまた恥ずかしい事を思い出しちゃう……っ
[yos102_153] ～～～……くはッッ！？　やっぱり、まだ無理そう……
[yos102_154] ダメだなぁ、私……箍が外れちゃいそうなぐらい、浮かれてるんだ
[yos102_155] ぅぅ……リフレッシュしよう
[yos102_156] 恥ずかしいのは、未だに変わらないけれど
[yos102_157] ……気付いてくれたんだ
[yos102_158] ありがとうって言ってくれた。それに……
[yos102_159] ……好きって……言われた
[yos102_160] ……私って本当に最低だ……そんなことを考えるなんて
[yos102_161] ここで逃げたら、私は一生変われない……
[yos102_163] あっ、熱いっ、このままじゃのぼせちゃいそう、ちょっと休憩！
[yos102_164] ――くちゅんっ！！
[yos102_165] んー……んぅぅー……
[yos102_166] あっ、あれ……もう、朝……？
[yos102_167] はぁ……起きないと。それでお弁当を作らないと
[yos102_169] ダメ……全然マシになってない……
[yos102_170] え？ううん、別に何でもない
[yos102_171] うん、ちゃんと作る
[yos102_172] ――くちゅんッ
[yos103_001] お……おはよう、ございます……
[yos103_002] こんな格好のままで、すみません
[yos103_004] はい。お弁当を作るためには、これぐらいに起きないと
[yos103_005] 今日はその……お詫びとして作りますから。食べてもらえると嬉しいです……
[yos103_006] その、昨日の対応はとても不誠実でしたから……そのお詫びに
[yos103_007] ……今は、これで精一杯です
[yos103_008] ……はい
[yos103_009] ――ハッ！？ま、茉子にムラサメ様っ、いつからそこに！？
[yos103_010] そ、そうでした……失礼しました
[yos103_011] そ、そんなことしなくていいから……っ！朝の挨拶をしてただけ！
[yos103_012] さ、さあ、早くお弁当を作らないと
[yos103_013] あ、あの……っ
[yos103_014] い……いってらっしゃい
[yos103_015] 。。。……はぽんっ！？
[yos103_017] え……えっと、どうかした？
[yos103_018] すっ――好きっ！？
[yos103_019] あ、ああ……うん。そういうこと
[yos103_020] う、うん。食べたことがないだけという事も多いけど
[yos103_021] あくぅ……っ
[yos103_022] いえ、ちょっと太陽が眩しかっただけで……平気です、平気
[yos103_023] え？な、なに？
[yos103_024] ぁっ……
[yos103_025] 別にそこまで大げさにするほどのことじゃ――
