=== 马庭芦花 (rok) 剧情配音文本 ===
共计 1426 句台词

[rok001_002] ……んー……あの
[rok305_024] 男の子って、急に成長するんだね。驚いたよ
[rok305_025] まー坊、町おこしのことだけど、アタシもアイデア考えてみるよ
[rok305_026] それから、もっとたくさんの人に相談してみた方がいいんじゃないかな
[rok305_027] ううん、アイデアを出すところから、参加してもらった方がいいと思う
[rok305_028] まー坊は、自分が御神刀を抜いたから、ちょっと思いつめすぎてるんじゃない？
[rok305_029] これは穂織全体の問題なの。だからこの間、会議で話題になったのよ
[rok305_030] どんなことも、一人で抱え込まない、これとても大事なこと
[rok305_031] ちょっとホラーな光景だよ……
[rok308_001] いらっしゃいま――、まー坊
[rok308_002] すっごい汗だよ、ほら、拭かないと
[rok308_003] で、どうしたの？
[rok308_004] そ、そうなんだ
[rok308_005] わかった、すぐ用意するから。まー坊はそこで座って休んでて
[rok310_001] いらっしゃませ――あ、まー坊
[rok310_002] 大歓迎だよ！
[rok310_003] 神様、仏様、将臣様っ！
[rok310_004] え？あ、あなたは……あ、もしかして
[rok310_005] あっ、すみません！
[rok310_006] 安心してください、アタシはまー坊の姉みたいなものですから
[rok310_007] ムラサメ様の大事な人を取ったりはしません
[rok310_008] ……はあ、そう見える？
[rok310_009] はい、抹茶プリン８人分
[rok310_010] まー坊達、これからここで町おこし会議の続きでしょう？
[rok310_011] アタシも参加しようかなってね
[rok310_012] もちろん、お客さんが来たら中座させてもらうよ
[rok310_013] でも、それまでは参加する
[rok310_014] 町おこしは、この店の存続にも関わってるもの。アタシも何かしなきゃだよ
[rok310_015] それで、何をやるつもりなの？
[rok310_016] 大掛かりなことをするなら、早めに町長さんにも言わないといけないよ
[rok310_017] そうなんですか？！
[rok310_018] まったく、全然、何もですか？！
[rok310_019] 終わった……！
[rok310_020] そ、そうですね……！
[rok310_021] え、えっと……
[rok310_022] 穂織にオ○○○ックを誘致するとかは？
[rok310_023] 穂織は特殊な土地柄だからね……
[rok310_024] 廉太郎くらいの歳なら、普通はこんなことは考えないよ
[rok310_025] ここは良くも悪くも独立独歩だから
[rok310_026] 舞の奉納、頑張って下さいね
[rok310_027] そうね、それに常陸さんもね
[rok312_001] あ、まー坊、それにムラサメ様！
[rok312_002] 聞いたよ、御神刀イベントの復活のこと
[rok312_003] 玄十郎さんに、またシゴかれてるんだって？
[rok312_004] あはは、それだけ真剣ってことなんだよ
[rok312_005] それより、悪いね
[rok312_006] 祟り神のことといい、今回の町おこしといい
[rok312_007] アタシ達、まー坊に頼りきりだよ
[rok312_008] 町内会でも、話題になってた
[rok312_009] 穂織の救世主だねって
[rok312_011] ……へぇ
[rok312_012] 感心しただけ
[rok312_013] すっかり、男らしくなっちゃって
[rok312_014] ちょっと前までは、芦花姉ちゃん、芦花姉ちゃんってアタシについてきた可愛い弟みたいだったのに
[rok312_015] 何だか、ちょっと寂しいな。もう甘えてもらえないね
[rok312_016] 甘えてたよ、すぐ抱きついてきた
[rok312_017] あはは、仲いいんだね
[rok312_018] じゃあ、アタシはお店でイベント用の試作品を作るから、そろそろ行くね
[rok312_019] よいしょっと
[rok312_020] え？いいよいいよ、すぐそばだし
[rok312_021] 忙しいんでしょ？まー坊
[rok312_022] うーん、でも……
[rok312_023] ごめんね、助かったよ
[rok312_024] お茶くらい、飲んでく？
[rok312_026] ……さっきのまー坊の手、大きかった……
[rok312_027] ホントにたくましくなっちゃったんだね……
[rok312_029] あ、いけないいけない
[rok312_030] ぼーっとしてたらいけないね、アタシも頑張らないと
[rok417_002] いいから二人とも！　こっち来て、アタシのパフェを食べていってよー
[rok417_003] お仕事って志那都荘ですよね？それなら、お姉さんから連絡しとくから、ね？ね？お願い！
[rok417_004] あっ！もしもし、ひょっとして猪谷さんですか？いつもお世話になってますー
[rok417_005] いえいえ、実はそれがですね？
[rok417_006] さあ、許可は取れたよ！レナちゃんも安心してね？
[rok417_007] じゃあ、小春ちゃん？例のパフェを二人に運んで来て
[rok417_008] 大丈夫大丈夫、アタシを信じなさい
[rok417_009] お客様、こちら新作の『わさびパフェ』でございます
[rok417_010] まだ誰にも出してない試作品だよ！まー坊とレナちゃんは、ラッキーだったね
[rok417_011] 大丈夫だから、大丈夫だから一口も食べないで帰ろうとしないで！
[rok417_012] 本当に美味しく作ったから、本当に本当だからっ
[rok417_013] せめてまー坊だけでも食べていって、感想を聞かせてよー！
[rok417_014] だから、これは観光のお客さん向け！それなら、思わず注文したくなるインパクトも大事だよね？
[rok417_015] １回注文してもらえれば充分だって、言ってるのに
[rok417_016] なッ、また？お父さんこそ、アタシにお店を任せてくれるんじゃなかったの！
[rok417_017] もーっ、この頑固者！頑固者！頑固者ぉーっ！！
[rok417_018] まー坊、レナちゃん……ありがとう！
[rok417_019] ほーらね！自信作なんだから、小春ちゃんは驚きすぎ！
[rok417_020] ううん……わさびが入ってるかどうかわからないくらいの刺激じゃ、わさびパフェの意味がない……
[rok417_021] だけど、わさびに慣れてない海外の人には……刺激が強すぎるってことだから
[rok417_022] ……失敗、だったかな
[rok417_023] うっ……ご、ごめんなさい
[rok417_024] ……お父さん？
[rok417_025] わ、わかってたんだったら、最初から教えてくれればいいのに
[rok417_026] もう、何時代の職人さんなんですかねー？今時そういうの流行らないと思う
[rok417_027] これだから嫌だねー、昔の人は？
[rok417_028] 今時そんなことしたら、ＤＶかパワハラで訴えられるよ？
[rok417_029] ないない、本当にケンカばっかりなんだよ？
[rok417_030] ん？どうしたの？
[rok417_031] いや、誰かもなにも、この人だよ
[rok417_032] 鉄オタ？ＳＬオタ？どっちにしろ、この人には聞かない方がいいかも
[rok417_033] ほら、もう話したくてうずうずしてるみたい
[rok417_034] これは長くなるかもねー
[rok417_035] けど、どうして急にＳＬのことなんて聞こうと思ったの？
[rok419_001] ごめんね、せっかくだけどアタシはお仕事があるから
[rok419_002] 社会人はいろいろ大変なんだよー
[rok419_003] でもせっかくだし、なにか差し入れくらいはしてあげてもいいかな？
[rok419_004] もちろん。レナちゃんには、こないだのパフェのお礼もあるから
[rok419_005] ふふふ、期待してくれていいよ
[rok420_001] 約束通り、差し入れ持って来たよー
[rok420_002] オー、イエース！どういたしまして、レナちゃん？
[rok420_003] おやまっ、これは男の子じゃなくても、顔を埋めたくなっちゃうかもね
[rok501_001] おかえり、小春ちゃん
[rok501_002] ん？あ、まー坊
[rok501_003] 何言ってんの、変な遠慮なんてしなくていいに決まってるでしょ
[rok501_004] いらっしゃいませ、こちらにどうぞ
[rok501_005] ご注文がお決まりになりましたら、お呼び下さい
[rok501_006] なにをバカなこと言ってるの、まー坊
[rok501_007] 何人でもお客様はお客様。折角来てくれたお客様をお断りするのは申し訳ないけど、それでまー坊を追い出したりはしません
[rok501_008] 気にせずゆっくりしていって
[rok501_009] ありがとうございますぅ。
[rok501_010] はい。すぐ参ります
[rok501_011] では、決まりましたら、いつでもお呼び下さい
[rok501_012] 熱いお茶かなにかいる？
[rok501_013] しょっぱいもの？んー……あっ、メニューには載せてないけど、今なら磯部焼き餅があるよ
[rok501_014] 甘さ控えめで焼こうか？
[rok501_015] でも大丈夫？無理して食べなくてもいいんだよ？
[rok501_016] 畏まりました。では少々お待ち下さい
[rok501_017] 増やさないと思うよ
[rok501_018] 磯部焼き餅とほうじ茶、お待たせしました
[rok501_019] んー……値段がねぇ……。磯部焼き餅、２個で６００円ってどう思う？
[rok501_020] そうだよね、やっぱり高いよね
[rok501_021] お餅は仕方ないにしても……お醤油や砂糖もね、結構こだわってるから
[rok501_022] 美味しさも重要だけど、値段も重要ってことを理解してくれないかなぁ……はぁ……
[rok501_023] そんな格好いいものじゃないってば。ただの頑固親父なんだから
[rok501_024] 大体、裏方の人を増やさないのだって、自分以外の人間が店の味に触れるのが嫌だ、っていうワガママなんだから
[rok501_025] いや、一番の理由はコストだけどね。恥ずかしながら……
[rok501_026] 平日はそれで十分手が回ってるんだけど、休日とか連休とか旅行のシーズンとかがねぇ
[rok501_027] そういうスポット的な人手は欲しいけど、そんな時だけ都合よく手伝ってもらうわけにはいかないから
[rok501_028] 廉太郎？
[rok501_029] じゃあ、お兄ちゃんって？
[rok501_031] まー坊が、ウチで？　そりゃ、やってくれるなら助かるけど……
[rok501_032] そこら辺は、常識的な対応をしてくれれば。細かいことは後々覚えてくれればいいよ
[rok501_033] それにね、まー坊が来てくれると助かるかも
[rok501_034] こんな小さなお店でもね、使う材料は結構多いんだよ。それに、接客だけが仕事じゃないからね
[rok501_035] 開店閉店時には力仕事も結構あるから、接客と裏方の両方できる人の方がより助かる
[rok501_036] んー……さすがにいいお給料は出せないかな
[rok501_037] でもさすがに時給２５０円なんてブラックなことは言わないから
[rok501_038] まー坊さえよければ、真面目に考えてみてもらえないかな？
[rok501_039] ありがとう！よろしくね
[rok501_040] あっ、でも嫌だったら嫌って言ってくれていいから
[rok501_041] なんだとぉ！生意気な。！
[rok501_042] 決めたら返事聞かせてね。本当に、嫌なら言ってくれていいから
[rok502_001] わっ、び、ビックリした……。なに？いきなり
[rok502_003] ぷっ、あははは！
[rok502_005] うん。職場での挨拶は大事だもんね、偉い偉い
[rok502_006] 別にバカにしてるつもりはないから。ただね、まー坊も成長してるんだなぁって
[rok502_007] 身体だけじゃなく、ちゃんと中身もね
[rok502_008] うん。おはようございます、今日からよろしくお願いします
[rok502_009] さてと、せっかく来てもらったんだから、さっそく働いてもらおうかな
[rok502_010] そうだね、とりあえずはお父さんの手伝いかな？
[rok502_011] 味に関わることを他の人に任せたくないとは言ってるけど、力仕事も多いからね
[rok502_012] まー坊はまず、そういう部分でお父さんの手伝い
[rok502_013] で、厨房の方が落ち着いたら……そうだね、パフェとかの作り方を覚えてもらおうかな
[rok502_014] あー、そうそう。あとメニューの品と値段も覚えてもらわないと
[rok502_016] 昨日話した新しいアルバイト、まー坊だから
[rok502_017] じゃあ、ひとまずまー坊はお父さんに任せるから
[rok502_018] おはようございます
[rok502_019] まだ話してませんでしたね。今日から１人、新しくアルバイトを雇うことにしたんです
[rok502_020] アタシも準備しないと
[rok502_021] 和パフェ２つ、お願いしまーす
[rok502_022] ありがとうございましたー
[rok502_023] お疲れ様
[rok502_024] だから、社長は止めて下さいってば。それよりも、今のうちに休憩を取っちゃいましょう
[rok502_025] 小春ちゃんと千代さんは、先に休憩に入っちゃって下さい
[rok502_026] まー坊、お疲れ様
[rok502_027] まー坊も休憩に入っちゃっていいんじゃないかな？
[rok502_028] ダメです。６時間を超える労働では、休憩を取ってもらわないとウチが困るの
[rok502_029] そういう法律があるんです
[rok502_030] だから、いくら大丈夫だと思ってもちゃんと休憩は取るように。お昼だってまだでしょう？
[rok502_031] からかうのはやめなさいっての
[rok502_033] いらっしゃいませ。こちらにどうぞ
[rok502_034] どれもこだわって作っていますから美味しいですよ
[rok502_035] 個人的な意見を申し上げますと……プリンなどは如何でしょう？
[rok502_036] 卵や牛乳、砂糖も厳選した材料で作ったプリンで、甘過ぎないんですが、決して薄味というわけではありません
[rok502_037] 夕方前に売り切れてしまう日もあります
[rok502_038] 大きなお荷物、こちらでお預かりしましょうか？
[rok502_039] こちらにどうぞ。もしよろしければ、クッションを用意することはできますが
[rok502_040] はい。少々お待ち下さい
[rok502_041] お客様
[rok502_042] いえ、大丈夫ですよ。それよりも、もしミルクが必要でしたら、こちらで温めることもできますので、お気軽に申し付け下さい
[rok502_043] はい、もちろんでございます
[rok502_044] あ、まー坊。ちょうどいいところに
[rok502_045] このミルク、お母さんに持って行ってくれる？
[rok502_046] よろしくね
[rok502_047] ありがとう
[rok502_048] お待たせしました、お客様
[rok502_049] はい、いらっしゃいませ
[rok502_050] お疲れ様でーす
[rok502_051] さてと、それじゃ掃除をしてしまいますかね
[rok502_052] 内藤さんはもう結婚してるから、家の夕食を作らないといけないんだよ
[rok502_053] それに、掃除だけならアタシたちだけでもなんとかなるから
[rok502_054] うん、お願い。さてと、洗い物を片付けちゃわないとね
[rok502_055] 平気平気。これぐらいは慣れたモノだよ。――よっと
[rok502_056] おっとっと……ッ
[rok502_057] と……？
[rok502_058] こりゃ……どうも
[rok502_059] あはは。ごめんごめん、心配かけちゃったね
[rok502_060] 何言ってんの。新人にそんなこと押し付けたりするわけないでしょ
[rok502_061] でも、ここはお言葉に甘えて……アタシはフロアの掃除をしちゃおうかな
[rok502_062] にしても……
[rok502_063] いや、まー坊も……男になったんだなぁ、と思って
[rok502_064] まあ、男の子ではあったけどね
[rok502_065] うん。よろしくお願いします
[rok502_066] ２人とも、お疲れ様。
[rok502_067] 特にまー坊は初日お疲れ様。本当にありがとうね
[rok502_068] それで、どうだったかな？これからも働いてくれる？
[rok502_069] そうなの？まー坊は真面目だね。うん、そういうところは相変わらずで、いい子だ
[rok502_070] こちらこそ、よろしくお願いします
[rok503_001] いらっしゃいませ……って、あれ？まー坊
[rok503_002] どうしたの？今日はシフトの日じゃないよね？
[rok503_004] ふふっ、まー坊は本当に真面目だねぇ。まー坊にお願いしてよかったよ
[rok503_005] わかった。じゃあゆっくりしていって
[rok503_006] はい。かしこまりました
[rok503_007] あれ？廉太郎に小春ちゃん？
[rok503_008] 気にしないでいいよ。ゆっくりしていって
[rok503_009] いらっしゃいませお客様。ご注文はお決まりでしょうか？
[rok503_010] 畏まりました
[rok503_011] はーい、ストップストップ。店の中で揉め事はおやめ下さい、お客様
[rok503_012] こちら、和紅茶とほうじ茶でございます。お待たせいたしました
[rok503_013] というかだね……いい歳なんだから、廉太郎はもう少し大人になりなさい
[rok503_014] 小春ちゃんも。変に突っかからない
[rok503_015] 廉太郎はおバカなんだから、小春ちゃんが大人にならないとしょうがないでしょう？
[rok503_016] くすくす……確かに。廉太郎は成長しないねぇ
[rok503_017] はいはい、だからやめー。お店の中で喧嘩しなーい
[rok503_018] まー坊も笑ってないで２人を止めなさい
[rok503_019] はーい、少々お待ち下さい
[rok503_020] 行かないと。２人とも喧嘩しない。雰囲気悪くなったらまー坊が止める。わかった？
[rok503_021] 任せたからね
[rok503_022] はーい
[rok503_023] お待たせ致しました。ご注文でしょうか？
[rok503_024] あんみつがお１つですね、かしこまりました。少々お待ち下さい
[rok503_025] お待たせしました、あんみつでございます
[rok503_026] それと……こちら、サービスでございます
[rok503_027] 違う違う、新メニューの開発の試作品
[rok503_028] こういう『ザ・和風』みたいなメニューを増やすと、外国からのお客さんには受けがいいんじゃないかと思って
[rok503_029] 食べて、感想を聞かせてもらえるかな？
[rok503_030] それじゃあよろしく、お２人さん
[rok503_031] あれ？小春ちゃんは帰っちゃったんだ
[rok503_032] そっか、美味しかったのか
[rok503_033] んー……どうだろ？正直、コスパが悪いんだよね。作っちゃうと日持ちもしないし
[rok503_034] それに練り切りは本当にお父さんしかできないでしょ？負担ばっかり増えてくから
[rok503_035] 限定かぁ……それもありと言えばありかな
[rok503_036] でもなぁ、儲けは低いだろうなぁ……。限定とかにしたら、めちゃくちゃこだわって作りそう……
[rok503_037] 想像しただけで、胃がキリキリしてくるよ……はぁぁ……
[rok503_038] 考え方としてはアリだと思う。でもねぇ、練り切りって珍しくはないから
[rok503_039] こだわりはお客さんの満足度を上げることにはなるけど、人を集めるのとはちょっと違うかな
[rok503_040] うん……難しい……アタシもね、学生の頃はずっと思ってたんだ
[rok503_042] でもね、実はそんなに簡単じゃなかった
[rok503_043] 人を集めることだけじゃない。お店を維持するだけでも……すっごい大変だって実感してる
[rok503_044] ……あー……あはは、そりゃ楽ではないけどね。借金で首が回らないとかじゃないよ
[rok503_045] ごめんね、まー坊にまで心配かけちゃって。ちゃんとお給料は払いますので、ご安心を
[rok503_046] ……え……
[rok503_047] いやいや、今のはアタシが悪い。まー坊は真剣に心配してくれたのに、茶化しちゃったね
[rok503_048] なんか情けないな、アタシ……
[rok503_050] ……ぷっ、あはは。確かにね、まー坊は偉そうに言えないかも
[rok503_051] でも……ありがとう、まー坊
[rok503_053] してないしてない。でも……もう情けない姿は見せちゃったし……今さら見栄を張っても仕方ないか
[rok503_054] じゃあ……ちょっとだけ、話を聞いてもらってもいい？
[rok503_055] といっても、そんなに大した話でもないけどね
[rok503_056] ちゃんとお店の役に立ってるのかなー……なんてね、最近考えるの
[rok503_058] 勘違いしないで。ダメだって言われたことが悔しいんじゃないんだよ
[rok503_059] 味とか、手に入る原料とか、色々な兼ね合いがあっての結論だから。それはいいんだ
[rok503_060] ただ……結局、試作品を作ったり、味を決めたり、全部お父さんの手腕なんだよね
[rok503_061] でも……お父さんもそれぐらいのことは考えてたと思う。きっと踏ん切りがつかなかっただけで
[rok503_062] だからアタシは、自分の力で、新たな収益を上げたいって思ってるんだけど……これがなかなか
[rok503_063] ……焦っても仕方ないとは思ってるんだけどね
[rok503_065] 飲み物かぁ……
[rok503_066] 炭酸……でも、お店の雰囲気と違わない？
[rok503_067] 抹茶ソーダ……それなら、雰囲気は壊れないかも……夏にはいいかも
[rok503_068] その話ならアタシも知ってる。実際、置いてあるお店もあるからね
[rok503_069] ただ昔に『合わないことはないが、いまいちだ。邪道な感じもする』って、お父さんがね。却下されちゃったんだ
[rok503_070] その時は確か……インスタントコーヒーと一緒に
[rok503_071] ……え？
[rok503_073] ………
[rok503_074] ……ウチに合わせた珈琲……
[rok503_075] でも……アタシにできるかな？珈琲の味なんて、よくわからないから
[rok503_076] そっか……うん……うん……
[rok503_077] うんっ！ありがとう、まー坊。そのアイディアいただき！
[rok503_078] いいのいいの、まー坊は気にしないで。ダメでも責任を押し付けようなんて思ってないよ
[rok503_079] それに……具体的な目標を持てたことが、今は一番嬉しい
[rok503_080] ううん。ここから先は、アタシが努力すべきこと。これ以上頼ってたら、結局役立たずのままだよ
[rok503_081] うん、そういう時には遠慮なく頼らせてもらおっかな
[rok503_082] というか……早速だけど、一つお願いがあるんだけど
[rok504_002] ゴメンね、こんな時間にお邪魔して
[rok504_003] ほほぅ……意外としっかりしてるんだね。子供の頃は甘ったれだったくせに
[rok504_004] そうだったそうだった。準備してきたよ
[rok504_005] お店の人と相談して豆の種類や比率を変えてみながらね
[rok504_006] まあね。大規模でやってるわけでもなし、すぐにできそうなことはすぐにやる方がいいから
[rok504_007] お父さんに見られたくない
[rok504_008] こういうことって、途中でなにか言われるのが一番ムカッとするからね
[rok504_009] だから、最初から答えを提示して、是非を問いたいの
[rok504_010] アタシはいろいろ考えちゃうから。直感的に味の感想を言える人が欲しいんだよ
[rok504_011] だから、よろしくお願いします
[rok504_012] ありがとう、２人とも。それじゃあ早速、淹れてみようか
[rok504_013] 最初に蒸らすのが大切なんだって
[rok504_014] そこら辺はインスタントとレギュラーの大きな差かもね
[rok504_015] ちゃんと淹れ方も教えてもらったんだよ
[rok504_016] こうして丁寧にお湯を注いでー、雑味が出ないように気を付けてー……
[rok504_017] 結構難しいんだよねー、意外と。同じ豆を使っているはずなのに、同じ味に出来なかったりして
[rok504_018] ちゃんと練習すれば大丈夫だよ
[rok504_019] ちょっとまー坊、そんな言い方は止めてもらえないかな
[rok504_020] アタシはこれを主力選手にするつもりで頑張ってるんだから
[rok504_021] わかってくれれば、よろしい。って、こんなものかな
[rok504_022] さぁ、どうぞ。と言いますか、左端から味の確認よろしくお願いします
[rok504_023] どうでしょう？
[rok504_024] そっか。ちょっと濃いかもしれないか
[rok504_025] じゃあ真ん中のはどうかな？
[rok504_026] ふむふむ、なるほど。小春ちゃんは？
[rok504_027] ２人とも真ん中の方が好み、ってことだね
[rok504_028] そっか。真ん中か右端か……
[rok504_030] そっかぁ……高いには高いなりの理由がちゃんとあるんだねぇ
[rok504_031] そっちは普通。価格を考えると、現実的なブレンドかな
[rok504_032] アタシ？実は……なんかねー、色々飲み過ぎて自分ではわけわかんなくなっちゃって……この３つの中なら……って感じで
[rok504_033] でも、２人の意見を聞いて、真ん中で勝負しようかなーって気にはなってるかな
[rok504_034] そっか！ここなら、人が沢山いるもんね！ちょ、ちょっと行ってくるよ
[rok504_035] それぐらいのことはわかってるから。２人は珈琲とお団子を楽しんでて
[rok504_036] よしっ、頑張るよ。お父さんが何か言っても、そう簡単に引き下がらない
[rok504_037] 邪道とかそういう印象の話じゃなくて、味で決めてもらうようにする
[rok504_038] ありがとう、２人とも
[rok504_039] 今日はこんな時間までごめんね
[rok504_040] いいって。アタシはもう、れっきとした大人ですので。小春ちゃんもアタシが送って行くから
[rok504_041] 気持ちはありがたいけど、帰りはまー坊が一人になるじゃない
[rok504_043] じゃあね、まー坊。今日は本当にありがとう
[rok504_044] はぁ。。。……
[rok504_045] ありがとう、小春ちゃん。でも……本番はこれからだよ
[rok504_046] でも旅館で色んな感想を聞けて、少しは自信が出てきたよ。はぁ……これもまー坊のおかげだね
[rok504_047] うん、本当に。あとは……お店の戦力になってくれる日を待つだけかな
[rok504_048] 覚えが悪いとか、足を引っ張ってるわけじゃないんだけどね。もうちょっと……自分で仕事の流れを読めるように
[rok504_049] っていうのは、欲張り過ぎだね。初めてのバイトだって言ってたし、むしろ十分過ぎるかも
[rok504_050] ……ふぅ。ん
[rok504_051] 小春ちゃん、まー坊のことをよく見てるなぁ。、と思って
[rok504_052] だから、別に認めてないわけじゃないってば。むしろ優秀だからこそ、欲が出ちゃっただけ
[rok504_053] 本当に感謝してるよ、色々とね
[rok504_054] しかし、まー坊ってば本当に成長したもんだね……ちょっと驚いちゃった
[rok504_055] へぇ。……ドキッとするんだ？
[rok504_056] ちょっとでもなんでも、ドキッとしたんでしょう？
[rok504_058] もしかしてぇ……まー坊のこと、好き？
[rok504_059] おっと、顔が赤くなったねぇ。
[rok504_060] えー、そんな照れなくても。ほら、何か困ったことがあったら、お姉ちゃん相談に乗っちゃうよ。？
[rok504_061] で？で？どうなの、小春ちゃん
[rok504_062] ごめんごめん、怒らないで。っていうか、置いていかないでー
[rok504_064] これを、お店の新しい飲み物として展開していきたいの
[rok504_065] お父さん、何も言わずにこれを飲んでみて下さい
[rok504_066] この珈琲はそれだけで飲んでも美味しいし、ウチの味も邪魔しないと思うんだよね。だから……どうかな？
[rok504_067] えぇ！？なんかさっき『なかなかやるじゃねぇか』みたいな息だったのに！？
[rok504_068] お母さんはどう思う？
[rok504_069] 邪道とかそういう気持ちは別にして、味で判断して欲しいの
[rok504_070] お父さんも味にプライドを持ってるのなら、この珈琲も味でちゃんと正直に答えて
[rok504_071] そ、それじゃあ……いいの？
[rok504_072] じゃあ、好きにさせてもらうから。試しに出して、お客さんの反応を見てみるからね
[rok504_073] わかってるよ。他の商品の邪魔をするぐらいなら、すぐにやめるから
[rok504_074] うん！
[rok504_075] えー……何が気に入らないの？
[rok504_076] でもそうするとコクがなくなっちゃうかもしれないから……
[rok504_077] やった……やった、ふふふっ
[rok504_078] はーい
[rok504_079] まー坊、まー坊！お父さん、認めてくれたよ。アタシの決めた珈琲を
[rok504_080] そ、そうだね。いけないいけない。でも、つい嬉しくって。
[rok504_081] うん！ありがとう、まー坊！
[rok504_082] 流石に準備が整ってないから、今日は無理かな
[rok504_083] でも、お父さんの気が変わらないうちに出しちゃうつもりだから
[rok504_084] その時はまー坊も、ちゃんと淹れ方を覚えてね
[rok504_085] うん、よろしくね
[rok504_086] あっ、小春ちゃんに内藤さん。今日も一日、よろしくお願いしますね
[rok504_087] ふふふ、気になる？
[rok504_088] 小春ちゃんのこと、気になる？
[rok504_089] もしかして！？
[rok504_090] ……はぁ？怒る？どうして？
[rok504_092] なんでもない。ちょっとまー坊の鈍さにげんなりしただけ
[rok504_093] ……まー坊……
[rok504_094] はぁぁ……もういい。とりあえず、怒ってるわけではないと思うよ
[rok504_095] それじゃあね、まー坊
[rok504_096] 仕入れ業者さんとの打ち合わせにね。珈琲の味の調整についても、相談しなくちゃいけないから
[rok504_097] そういうわけで、お店は任せた
[rok504_098] だから社長はやめなさいってば
[rok504_099] お疲れ様、まー坊
[rok504_100] あ、はい。お疲れ様です
[rok504_102] ……まー坊ってば、ナマイキ
[rok504_103] はーい
[rok504_104] ……ジー……
[rok504_105] まー坊ってば、本当にナマイキ。そんなことしてもらわなくても結構です
[rok504_106] 今のは邪魔しちゃいけないと見てただけ
[rok504_107] それはまあいいから、まー坊、この後ちょっとだけいい？
[rok504_108] 新しい珈琲豆のブレンドのサンプルを作ってもらったから、味わってみない？
[rok504_109] やっぱりそう思う？
[rok504_110] 悔しいけど、認めざるを得ないんだよね。お父さんのアドバイスを聞き入れた方が、美味しいって
[rok504_111] あ。あっ、年下に慰めてもらうなんて情けない
[rok504_113] んん？
[rok504_115] なに、これ……どうしたの？
[rok504_116] あ、うん……あ、ありがとう……まー坊
[rok504_117] 綺麗……アタシ、花なんてもらったの、初めてかも
[rok504_118] まさか、まー坊がこんな気の利かせ方をするなんて……
[rok504_119] キザっぽーい。ナマイキー
[rok504_120] だってしょうがないじゃない。子供の頃しか知らないんだから
[rok504_121] そんなことしない、するわけないでしょう。レジにでも飾らせてもらうよ
[rok504_122] お疲れ様
[rok504_123] 花……もらっちゃった……
[rok504_125] あー……マズイなー……この不意打ちはちょっとマズイよ、まー坊……
[rok504_126] まさかこんな辱めを受けてしまうなんて……
[rok504_127] なんか想像以上に嬉しい……
[rok504_128] でもマズイ……これはマズイってば……
[rok505_001] あっ、まー坊。あれ？それに小春ちゃんも
[rok505_002] うん。ブイッ！
[rok505_003] 好評＆好調。結構急ぎで初めたから、宣伝も十分じゃなかったんだけどね
[rok505_004] お客さんが結構買って行ってくれるの。持ち歩きできるように準備しておいてよかったぁ……
[rok505_005] ありがとう、２人とも。って……本番はこれからだけどね
[rok505_006] うん。よろしく
[rok505_007] あ、まー坊
[rok505_008] 今回の事、まー坊のおかげだと思うから。本当にありがとうね
[rok505_009] ………？まー坊？
[rok505_010] ……素直じゃないなー。感謝してるんだから、黙って頷けばいいんだよ、ここは
[rok505_011] あはは、ナマイキだぞ
[rok505_012] ところで……小春ちゃん、今日はどうしたの？シフトじゃないよね？
[rok505_013] ごめんね、心配かけちゃって。でも平気だから。ちゃんと手応えを感じた
[rok505_014] これならきっと……いけると思う
[rok505_015] ありがとう。これも協力してくれた小春ちゃんと……まー坊のおかげだよ
[rok505_016] さてと、お仕事しないと
[rok505_017] 邪魔なんてことはないってば。ゆっくりしていって
[rok505_018] 小春ちゃん、お代わり飲む？
[rok505_019] お預かりします。おつりが――
[rok505_020] あー、これ？ちょっとね、人からもらったの。捨てるわけにはいかないから
[rok505_022] 本当に、そんなんじゃないんだよ……
[rok505_023] だから違うってば。なんで？
[rok505_024] そ、そうかな？あ、アタシ、普段そんなに怖い顔、してる？
[rok505_025] それは……内緒……
[rok505_026] あっ、アタシのことより！小春ちゃんの方こそ、どうなの？まー坊と何か、進展あった？
[rok505_027] むふ。知ってる？従兄妹って結婚できるんだよ？
[rok505_028] はいはい。でも、からかってるわけじゃないから。むしろ応援してる
[rok505_029] 困ったことがあれば、いつでもお姉さんが力を貸すからね
[rok505_030] くすくす……ありがとうございましたー
[rok505_031] ……小春ちゃんは、可愛いなぁ。反応がわかりやすい
[rok505_033] そっか……やっぱり小春ちゃん、好きなんだ……
[rok506_001] なんか対抗心を燃やしてるみたい
[rok506_002] 珈琲の売れ行きが好調だから、負けるわけにはいかないって
[rok506_003] そうなんだよね。それにほら、アタシの珈琲って甘い物に合わせて選んだものだから
[rok506_004] 今の店のイメージに煎餅はねぇ……まあ、そういう店だって言い張れば別にいいんだけど
[rok506_005] お煎餅を店先で焼けば、人目には付くと思うし。ライブクッキング、みたいな感じで
[rok506_006] そうなんだよねぇ……問題はそこなんだよ
[rok506_007] お父さん
[rok506_008] わかってるなら……なんで？
[rok506_009] 急にそんなこと言われても……う。ん……
[rok506_010] ん。。……煎餅かぁ……
[rok506_011] まー坊？何のこと？
[rok506_012] ……まー坊……
[rok506_014] わかった。何か考えてみる。美味しい商品なら、売り方はあるはずだしね
[rok506_015] 安定した売り上げになるならウチとしても助かるから
[rok506_016] アタシは普段から素直です
